[20.41s -> 22.41s]  We're in Sunnydale, California.
[226.58s -> 228.58s]  audience. I'm not sure what that was for.
[228.58s -> 230.58s]  I think he saw something he didn't like while he just
[230.58s -> 232.58s]  barrels himself out of the corner. And they're back
[232.58s -> 234.58s]  in the center of the ring.
[234.58s -> 236.76s]  Really wish somebody would win this.
[236.76s -> 238.76s]  As Jay Buffay goes down
[238.76s -> 240.76s]  on his back. It seems Jerma has the upper hand
[240.76s -> 242.76s]  now. Can he potentially?
[242.76s -> 244.76s]  Nope. No. He's going to go on his back.
[244.76s -> 246.76s]  You know, you could let go of each other's hands.
[246.76s -> 248.76s]  What a jumping jack there by Jerma. As he gets
[248.76s -> 250.76s]  back on his feet. And you heard the
[250.76s -> 252.76s]  buzzer. That means someone else is going to be coming
[252.76s -> 254.76s]  in here to crowd the ring up. At number
[254.76s -> 256.76s]  four. The most acclaimed
[256.76s -> 258.76s]  Demon Slayer of all time.
[258.76s -> 261.00s]  Carl Griffinstein.
[261.00s -> 263.00s]  From Castle Griffinstein.
[263.00s -> 265.00s]  Looking very regal.
[265.00s -> 267.00s]  Wearing his knightly drape.
[267.00s -> 269.00s]  And jeans.
[269.00s -> 271.00s]  And blue, regular blue sneakers.
[271.00s -> 273.00s]  He comes into the ring and gets right
[273.00s -> 275.00s]  in there. He's going right to the disco
[275.00s -> 277.00s]  diaper. I'm not sure what he's doing. He still has
[277.00s -> 279.00s]  his giant spectral long blade.
[279.00s -> 281.00s]  Saying some type of prayer.
[281.00s -> 283.00s]  While Jerma gets punched. Two punches. Three punches.
[283.00s -> 285.00s]  Wow. He goes right to the gut. Right in Jerma's
[285.00s -> 287.00s]  big fat stomach. That's a big target for him.
[287.00s -> 289.00s]  Jesus. He just
[289.00s -> 291.00s]  stabbed him. He just mercy killed
[291.00s -> 293.00s]  the disco diaper. He's still unconscious.
[293.00s -> 295.00s]  Who's coming out?
[295.00s -> 297.00s]  It's Burger Boy. Why is Burger Boy
[297.00s -> 299.00s]  out here right now? He's supposed to wait another 30 seconds
[299.00s -> 301.00s]  before he can come in. I didn't see a countdown.
[301.00s -> 303.00s]  But big double clothesline off the top
[303.00s -> 305.00s]  rope. Nonetheless, Burger Boy
[305.00s -> 307.00s]  currently in retirement
[307.00s -> 309.00s]  has come out of retirement to be part of
[309.00s -> 311.00s]  Germarubble live. Big elbow drop
[311.00s -> 313.00s]  onto Jerma. He is fired up
[313.00s -> 315.00s]  and so is this crowd. Following it up
[315.00s -> 317.00s]  with a drop kick. And let's take another look
[317.00s -> 319.00s]  at that. The fruit eat it up on the replay.
[319.00s -> 321.00s]  Burger Boy on the top ropes. Jerma and Jay
[321.00s -> 323.00s]  still holding hands. One of them could
[323.00s -> 325.00s]  have let go. But neither decided
[325.00s -> 327.00s]  to. And it led to a vicious
[327.00s -> 329.00s]  double clothesline off the top rope. Speaking of clothesline
[329.00s -> 331.00s]  Jerma gets Carl Griffinstein with one.
[331.00s -> 333.00s]  And not very much real estate
[333.00s -> 335.00s]  in this ring for anyone
[335.00s -> 337.00s]  to move around.
[337.00s -> 339.00s]  And it's gonna get much, much
[339.00s -> 341.00s]  worse. Five competitors
[341.00s -> 343.00s]  in the ring were about to add a
[343.00s -> 346.01s]  sixth. And here
[346.01s -> 348.18s]  we go.
[348.18s -> 350.18s]  Waiting in the wings backstage at number six
[350.18s -> 353.64s]  is Glueman.
[353.64s -> 356.33s]  Gabe the Glueman
[356.33s -> 358.33s]  Degrosie. The fourth
[358.33s -> 360.33s]  appearance in Germarubble history.
[360.33s -> 362.33s]  The original shit character.
[362.33s -> 364.33s]  And the original superhero.
[364.33s -> 366.33s]  He's here to prove once and for all
[366.33s -> 368.33s]  that he can take on any piece of shit
[368.33s -> 370.33s]  in this ring. And we're gonna see it right now.
[370.33s -> 372.33s]  Everyone's scared of him. Carl Griffinstein's gonna take
[372.33s -> 374.33s]  a punch. Jay Buffay's gonna take a punch.
[374.33s -> 376.33s]  Jerma's gonna get knocked down. Burger Boy's gonna get knocked down.
[376.33s -> 378.33s]  Glueman has cleared this
[378.33s -> 380.33s]  ring. Just simply untouchable.
[380.33s -> 382.33s]  Jerma gets another one. Jay Buffay another
[382.33s -> 384.33s]  one. And Jerma's back up immediately.
[384.33s -> 386.33s]  I think he bounced off the ropes. He's getting
[386.33s -> 388.33s]  really close. One punch. They're trading back
[388.33s -> 390.33s]  and forth. Glueman and Jerma. Glueman
[390.33s -> 392.33s]  and Jerma. Wait a minute.
[392.33s -> 394.33s]  Wait a minute. He's got Jerma by the
[394.33s -> 396.33s]  neck. Getting really close to those ropes.
[396.33s -> 398.33s]  Jerma's gonna.
[398.33s -> 400.33s]  Through the table. Over the
[400.33s -> 402.33s]  top ropes. Through the table. Jerma
[402.33s -> 404.33s]  has been eliminated. The first
[404.33s -> 406.33s]  elimination of Germarubble live.
[406.33s -> 408.33s]  Being taunted.
[408.33s -> 411.34s]  A very, very
[411.34s -> 413.34s]  strong appearance. Gabe the Glueman
[413.34s -> 415.34s]  Degrosie. And
[415.34s -> 417.58s]  not sure.
[417.58s -> 419.58s]  Not sure what we're watching right now but that was terrible wrestling.
[419.58s -> 421.58s]  Anyways Jay Buffay seems
[421.58s -> 423.58s]  to be sweating through his shirt. Look at him.
[423.58s -> 425.58s]  It's almost like he's wearing a different colored
[425.58s -> 427.58s]  suit. Wait a minute. Dangerous place to be.
[427.58s -> 429.58s]  He's gone. That's
[429.58s -> 431.58s]  a second elimination from Gabe the Glueman.
[431.58s -> 433.58s]  Capitalizing on an
[433.58s -> 435.58s]  extremely costly mistake.
[435.58s -> 439.42s]  And now we've only got four people
[439.42s -> 441.42s]  in the ring. We've got two or three
[441.42s -> 443.42s]  exhausted wrestlers while Glueman
[443.42s -> 445.42s]  has plenty of vitality just coming in.
[445.42s -> 447.42s]  Burger Boy going off the ropes.
[447.42s -> 449.42s]  Into a rock bottom. Beautiful rock
[449.42s -> 451.42s]  bottom. That looked like it actually
[451.42s -> 453.42s]  hurt. And that was
[453.42s -> 455.42s]  a terrible snap there. But here comes number
[455.42s -> 457.42s]  seven. The most iconic video
[457.42s -> 459.42s]  game character of all time. You've
[459.42s -> 461.42s]  heard me gush about him. You've heard me talk about him.
[461.42s -> 463.42s]  It's Pac-Man. The most
[463.42s -> 465.42s]  beloved person in all of
[465.42s -> 467.42s]  gaming history. And as I
[467.42s -> 469.42s]  watch his entrance I'm reminded of all the wonderful
[469.42s -> 471.42s]  times I had playing Pac-Mania.
[471.42s -> 474.42s]  I don't think he knows where
[474.42s -> 476.86s]  he's going. I think he's having
[476.86s -> 478.86s]  somebody had to come out here and try to tell him where to go. I don't think he knows where
[478.86s -> 481.42s]  to go. He needs to get
[481.42s -> 483.42s]  in the ring. He's not getting
[483.42s -> 485.42s]  in the ring. Pac-Man has decided
[485.42s -> 487.42s]  not to get in the ring. I have no idea
[487.42s -> 489.42s]  where he's going.
[489.42s -> 491.42s]  I think it looks like he's leaving the arena.
[491.42s -> 493.59s]  As we come back to the ring, big sweet
[493.59s -> 495.59s]  chin music by Glueman who is just
[495.59s -> 497.59s]  dominating the opponents right now.
[497.59s -> 499.59s]  Oh, he's doing his patented move. That's called
[499.59s -> 501.59s]  a sword slash. And
[501.59s -> 503.59s]  just want to bring up real quick. Jerma
[503.59s -> 506.15s]  is still on the ground out here.
[506.15s -> 508.15s]  He's just gonna leave me out there?
[508.15s -> 510.15s]  That's pretty messed up. Somebody should probably
[510.15s -> 512.15s]  come and get me. But Bergeboy now
[512.15s -> 514.15s]  on the back of Glueman doing a reverse
[514.15s -> 516.15s]  choke. Glueman has seemed to lost
[516.15s -> 518.15s]  a little bit of steam here. Bergeboy
[518.15s -> 520.15s]  taking the advantage doing some submission moves
[520.15s -> 522.15s]  and really working that leg
[522.15s -> 524.15s]  into the knee area on
[524.15s -> 526.15s]  Glueman who now seems to be in a little
[526.15s -> 528.15s]  bit of trouble. Can't seem to get his bearings
[528.15s -> 530.15s]  up while Carl Griffenstein now going for a right hand
[530.15s -> 532.15s]  onto Bergeboy gets thrown
[532.15s -> 534.15s]  back into the corner
[534.15s -> 536.15s]  where he has spent a lot of time
[536.15s -> 538.15s]  in this rumble while Glueman really connecting those
[538.15s -> 540.15s]  sword slashes. You can just feel the impact
[540.15s -> 542.15s]  when he connects with those sword slashes.
[542.15s -> 544.15s]  And Bergeboy now trying to go for a close line
[544.15s -> 546.15s]  no one gets rock bottomed again.
[546.15s -> 548.15s]  And here comes number eight.
[548.15s -> 550.15s]  The ultimate bag of shit.
[550.15s -> 552.15s]  Ladies and gentlemen, please stand
[552.15s -> 554.15s]  for some...
[554.15s -> 556.15s]  He just threw a bottle into the crowd. He was trying
[556.15s -> 558.15s]  to hit somebody with a fucking bottle.
[558.15s -> 560.15s]  By the way, that's not our belt.
[560.15s -> 562.15s]  I have no idea where he got that. It's not ours.
[562.15s -> 564.15s]  But anyways, here's Sonic the Hedgehog
[564.15s -> 566.15s]  coming into the ring for the fourth time
[566.15s -> 568.15s]  in German rumble history. Really going real fast.
[568.15s -> 570.15s]  You see how fast he's going. Just
[570.15s -> 572.15s]  blazing up those stairs at Sonic's speed
[572.15s -> 574.15s]  as the character's title suggests
[574.15s -> 576.15s]  that he's getting in the ring. Welcome Sonic
[576.15s -> 578.15s]  the Hedgehog as Glueman is
[578.15s -> 580.15s]  choking Bergeboy with his cape
[580.15s -> 582.15s]  in the corner while Carl Griffenstein...what is he doing?
[582.15s -> 584.15s]  Sonic the Hedgehog's charging up a move.
[584.15s -> 586.15s]  Oh, a devastating
[586.15s -> 588.15s]  Sonic dash. His signature
[588.15s -> 590.15s]  move. And it's a remarkable
[590.15s -> 592.15s]  feat that he didn't lose the cigarette
[592.15s -> 594.15s]  hanging out of his mouth. I can't believe
[594.15s -> 596.15s]  he did that. What a true
[596.15s -> 598.15s]  testament to his ability to do
[598.15s -> 600.15s]  things like that. And I don't even know what the fuck
[600.15s -> 602.15s]  I was just saying. But ladies and gentlemen, now Carl
[602.15s -> 604.15s]  Griffenstein is coming over and punching
[604.15s -> 606.15s]  Bergeboy with Sonic.
[606.15s -> 608.15s]  You'd think that they would want to team up on Sonic as he just
[608.15s -> 610.15s]  got in, but apparently not. They're both
[610.15s -> 612.15s]  working on Bergeboy as...and no, no,
[612.15s -> 614.15s]  Sonic the Hedgehog now throwing Carl Griffenstein
[614.15s -> 616.15s]  in the corner and is
[616.15s -> 618.15s]  going to do absolutely nothing to him.
[618.15s -> 620.39s]  Well, I think this is a good enough time to do one of our
[620.39s -> 622.39s]  two legally required advertisements.
[622.39s -> 624.39s]  So let's check out some fruit. Fruit.
[624.39s -> 626.39s]  Not just a healthy snack,
[626.39s -> 628.39s]  but also very cheap and affordable.
[628.39s -> 630.39s]  Go to your local grocery store and buy it by
[630.39s -> 632.39s]  weight. You can do it with apples, you can
[632.39s -> 634.39s]  do it with bananas, or you can even juice some oranges
[634.39s -> 636.39s]  with your son. Fruit.
[636.39s -> 638.39s]  Eat it up. As we get
[638.39s -> 640.39s]  back to the action here and Bergeboy is in trouble. Bergeboy gets
[640.39s -> 642.39s]  dumped over the top ropes. No! Just
[642.39s -> 644.39s]  barely does not get eliminated. He held
[644.39s -> 646.39s]  on for dear life. Thank God we got back
[646.39s -> 648.39s]  in time, as now he's trying to get himself
[648.39s -> 650.39s]  over the ropes where Glooman now gets a right punch
[650.39s -> 652.39s]  allowing Bergeboy an opportunity to
[652.39s -> 654.39s]  gracefully get over the top ropes again
[654.39s -> 656.39s]  and find his way back into the ring.
[656.39s -> 658.39s]  Almost eliminated as Glooman
[658.39s -> 660.39s]  big right hand into Bergeboy's face.
[660.39s -> 662.39s]  That really happened.
[662.39s -> 664.39s]  Let's get a replay. That's not a
[664.39s -> 666.39s]  joke. That actually happened. He really punched
[666.39s -> 668.39s]  him right in his nose. Take a look at the fruit.
[668.39s -> 670.39s]  Eat it up in the replay.
[670.39s -> 672.39s]  Punched him right in the face in real life.
[672.39s -> 674.39s]  I don't think I've mentioned this yet, but
[674.39s -> 676.39s]  don't fucking do this at home. Don't try this.
[676.39s -> 678.39s]  Fuck. This knocked over my fucking drink.
[678.39s -> 680.39s]  Anyways, we got Glooman
[680.39s -> 682.39s]  has got Bergeboy in a
[682.39s -> 684.39s]  pedigree, it seems. He's got him
[684.39s -> 686.39s]  lifting him up in the air. No, he can't seem
[686.39s -> 688.39s]  to lift him. He pushes him into the corner.
[688.39s -> 690.39s]  Bergeboy now is trying to get him under the top ropes.
[690.39s -> 692.39s]  We're gonna see a big move here.
[692.39s -> 694.39s]  Potentially a huge slam.
[698.60s -> 700.60s]  Well, at number nine, we got a new contestant coming in.
[700.60s -> 702.60s]  This is a fan favorite.
[702.60s -> 704.60s]  This is none other than Dick Dastardly
[704.60s -> 706.60s]  Richard from the rat movies.
[706.60s -> 708.60s]  He is a criminal. He is an
[708.60s -> 710.60s]  outlaw. And he's also a master
[710.60s -> 712.60s]  of taekwondo. As you see him
[712.60s -> 714.60s]  showing off his moves there for the
[714.60s -> 716.60s]  cameras getting into the ring for the second time
[716.60s -> 718.60s]  in German Rumble history. Getting up behind Sonic the Hedgehog
[718.60s -> 720.60s]  throwing him down to the ground.
[720.60s -> 722.60s]  Sonic the Hedgehog wasn't really prepared for that
[722.60s -> 724.60s]  while we have him. What are
[724.60s -> 727.16s]  these two doing? This is just
[727.16s -> 729.16s]  awful. This is the worst wrestling
[729.16s -> 731.16s]  I've ever seen in my life. And you got Carl
[731.16s -> 733.16s]  unconscious in the corner
[733.16s -> 735.16s]  doing nothing, just sitting there, while
[735.16s -> 737.16s]  Dick Richards is kicking the shit out of Sonic the Hedgehog.
[737.16s -> 739.16s]  I don't know what to look at. I'm not sure what's
[739.16s -> 741.16s]  worse to talk about. We are getting
[741.16s -> 743.16s]  a maybe three percent
[743.16s -> 745.16s]  effort performance from these two.
[745.16s -> 747.16s]  I would appreciate like five percent
[747.16s -> 749.59s]  effort. And they're dancing now.
[749.59s -> 751.59s]  They're dancing. That's fantastic.
[751.59s -> 753.59s]  Well, we cut to Dick Richards adjusting his mask
[753.59s -> 755.59s]  and kicking Sonic, while Glooman now
[755.59s -> 757.59s]  getting punches in the back and he's going over the top
[757.59s -> 759.59s]  ropes. Are you serious?
[759.59s -> 761.59s]  Well, Sonic is on the other side as well
[761.59s -> 763.59s]  and Dick Richards is gonna be going for a
[763.59s -> 765.59s]  slide tackle, knocking Sonic
[765.59s -> 767.59s]  the Hedgehog out. He is eliminated.
[767.59s -> 769.59s]  That is it. See you later, Sonic the Hedgehog.
[769.59s -> 771.59s]  You are
[771.59s -> 773.59s]  gone. As we cut
[773.59s -> 775.59s]  back into the ring and we see Glooman now is in trouble.
[775.59s -> 777.59s]  Burger Boy does the same slide tackle
[777.59s -> 779.59s]  and eliminates Glooman.
[779.59s -> 781.59s]  Glooman is out. He is eliminated.
[781.59s -> 783.59s]  He was dicking around too much
[783.59s -> 785.59s]  and got too gassed and exhausted
[785.59s -> 787.59s]  and he is gone. It's too
[787.59s -> 789.59s]  bad. Maybe next year, Glooman,
[789.59s -> 791.59s]  when you don't look like such a fucking ripped up
[791.59s -> 793.59s]  sock as we get back to the ring.
[793.59s -> 795.90s]  Burger Boy riling the crowd up a little bit
[795.90s -> 797.90s]  here, trying to get some energy
[797.90s -> 799.90s]  into the arena.
[799.90s -> 803.67s]  Getting the
[803.67s -> 805.67s]  boo, Dick Dastardly Richard.
[805.67s -> 808.55s]  Wow, it seems to
[808.55s -> 810.55s]  go and he gets a knee in his stomach for his troubles.
[810.55s -> 812.55s]  Got under Dick Richards skin there.
[812.55s -> 814.55s]  You don't want to do that. He'll get you with that
[814.55s -> 816.55s]  clothesline, a devastating one. I'm sure
[816.55s -> 818.55s]  he can see real fine through that mask.
[818.55s -> 820.55s]  As we have the next contestant.
[820.55s -> 822.55s]  If I could please have your
[822.55s -> 824.55s]  attention. For the
[824.55s -> 826.55s]  first time ever.
[826.55s -> 828.55s]  Someone in the audience
[828.55s -> 830.55s]  will be the next contestant
[830.55s -> 832.55s]  in the Dremel Rumble. So
[832.55s -> 834.55s]  if you could please look under your
[834.55s -> 836.55s]  seat and if you have number A14
[836.55s -> 838.55s]  you are the next
[838.55s -> 840.55s]  contestant in the Dremel
[840.55s -> 842.55s]  Rumble. What a true
[842.55s -> 844.55s]  honor that is. Wow.
[844.55s -> 846.55s]  What lucky audience member
[846.55s -> 848.79s]  is going to be the next
[848.79s -> 853.40s]  contestant in our sold out
[853.40s -> 856.60s]  crowd.
[856.60s -> 858.60s]  There he is ladies and gentlemen.
[858.60s -> 860.84s]  The audience member.
[860.84s -> 862.84s]  Rounding us out at number 10.
[862.84s -> 864.84s]  We are at the halfway point of Dremel Rumble
[864.84s -> 866.84s]  live. As he gets into the ring
[866.84s -> 868.84s]  rips off his shirt. He's going up against
[868.84s -> 870.84s]  two top seeded competitors.
[870.84s -> 872.84s]  How can a regular fucking guy
[872.84s -> 874.84s]  deal with these two?
[874.84s -> 876.84s]  That's a question we need to get answered.
[876.84s -> 878.84s]  While the Burger Boy gets an opportunity here. Gets a left handed
[878.84s -> 880.84s]  swing slapper onto Dick Dastardly
[880.84s -> 882.84s]  Richard. And no he gets reversed.
[882.84s -> 884.84s]  Going into the ropes and Burger Boy is
[884.84s -> 887.91s]  That was the worst elimination
[887.91s -> 890.09s]  in the whole rumble. So he's out. Burger Boy
[890.09s -> 892.09s]  is eliminated. Which leaves us with
[892.09s -> 894.09s]  Carl Griffinstein, Dick Dastardly Richard and the
[894.09s -> 896.09s]  audience member who went for
[896.09s -> 898.09s]  a sneak attack but forgot to do the attack
[898.09s -> 900.09s]  part of the sneak. And now they're doing a test
[900.09s -> 902.09s]  of strength. This is the second test of strength
[902.09s -> 904.09s]  we've seen so far in this rumble.
[904.09s -> 906.09s]  Remember guys. The test of strength
[906.09s -> 908.09s]  is also defined as extreme
[908.09s -> 910.09s]  filler for untrained
[910.09s -> 912.09s]  unprofessional losers.
[912.09s -> 914.65s]  What's going on? More bullshit?
[914.65s -> 917.08s]  Really? There's no competitor
[917.08s -> 919.08s]  that's coming out right now. There's no new contestant.
[919.08s -> 921.45s]  Wait a minute.
[921.45s -> 923.45s]  Oh Jesus. No, no, no, no,
[923.45s -> 925.45s]  no, no. What's he doing here?
[927.45s -> 929.45s]  That's
[929.45s -> 931.45s]  Demon Lord Zaraxas.
[931.45s -> 933.45s]  He's not supposed to be here.
[935.45s -> 937.45s]  He's very upset.
[943.45s -> 945.45s]  I'm not sure what to say.
[945.45s -> 947.45s]  Oh shit, he's looking for me.
[947.45s -> 949.75s]  Oh no, he's not.
[952.31s -> 954.31s]  Whoa! He just threw it!
[954.31s -> 956.31s]  He just threw a shitty CG
[956.31s -> 958.31s]  fireball at Jerma and he's burning.
[958.31s -> 960.31s]  Jerma is burning alive right now.
[960.31s -> 962.31s]  This is insanity.
[962.31s -> 964.31s]  What's he doing?
[964.31s -> 966.31s]  No, no, no, no.
[966.31s -> 968.31s]  He's...oh God!
[968.31s -> 970.31s]  He's casting a giant spell.
[970.31s -> 972.31s]  We're in deep shit.
[972.31s -> 974.31s]  Oh God. I can't even...
[974.31s -> 976.31s]  It's hard for me to even talk. Dick Richard
[976.31s -> 978.31s]  just went over the top rope.
[978.31s -> 980.31s]  No, no, no. This is it.
[980.31s -> 982.31s]  He's gonna kill us all. This is the end.
[984.68s -> 986.68s]  Wait a minute. Wait a minute.
[986.68s -> 988.68s]  That's the apple.
[988.68s -> 990.68s]  That's the apple.
[990.68s -> 992.68s]  Ladies and gentlemen, the apple has come to
[992.68s -> 994.68s]  rescue the rumble. Thank
[994.68s -> 996.68s]  goodness for the apple.
[996.68s -> 998.68s]  And speaking of apples, cool and crisp
[998.68s -> 1000.68s]  with a refreshing crunch. It's no
[1000.68s -> 1002.68s]  wonder it's the doctor's favorite. At just
[1002.68s -> 1004.68s]  95 calories, it's the guilt-free
[1004.68s -> 1006.68s]  party fruit. Invite some friends
[1006.68s -> 1008.68s]  over or just enjoy one in your
[1008.68s -> 1010.68s]  home. Apples, nature's
[1010.68s -> 1013.37s]  candy. And that's gonna
[1013.37s -> 1015.37s]  bring us to a...
[1015.37s -> 1017.37s]  Okay, alright.
[1017.37s -> 1019.37s]  Look, there's another competitor coming in right now.
[1019.37s -> 1021.37s]  You can stop booing.
[1021.37s -> 1023.37s]  Did someone ask for an egg?
[1023.37s -> 1026.06s]  Because it's the egg.
[1026.06s -> 1028.06s]  Fun trivia for you here. This is
[1028.06s -> 1030.06s]  only the second video the egg has ever
[1030.06s -> 1032.06s]  been in. You've got to go back five
[1032.06s -> 1034.06s]  years for the last one.
[1034.06s -> 1036.06s]  So thank you for the dedication here, egg,
[1036.06s -> 1038.06s]  making your appearance after five years
[1038.06s -> 1040.06s]  missing in action. As he gets
[1040.06s -> 1042.06s]  up to the ring, the crowd really loves him. People
[1042.06s -> 1044.06s]  in the ring not so much. He's sort of getting
[1044.06s -> 1046.06s]  laughed at by the audience member. I wouldn't
[1046.06s -> 1048.06s]  do that if I were you, as Carl Gryffenstein
[1048.06s -> 1050.06s]  is standing up and...
[1050.06s -> 1052.06s]  He's
[1052.06s -> 1054.06s]  leaving the ring. He just bumped into
[1054.06s -> 1056.06s]  the egg. The egg didn't even try to get out of the way.
[1056.06s -> 1058.06s]  The egg has been eliminated.
[1058.06s -> 1060.06s]  And Carl Gryffenstein has been eliminated.
[1060.06s -> 1062.30s]  What the fuck is going on?
[1062.30s -> 1064.71s]  I don't know.
[1064.71s -> 1066.71s]  But nonetheless, we have a
[1066.71s -> 1068.71s]  wrestling event to get back to. That's right, this is still
[1068.71s -> 1070.71s]  a wrestling event.
[1070.71s -> 1072.71s]  I would like to get back to doing that.
[1072.71s -> 1074.71s]  As the EMT, our medical
[1074.71s -> 1076.71s]  professional on staff, is going to try
[1076.71s -> 1078.71s]  to use his skills to
[1078.71s -> 1080.71s]  salvage what he can of the egg.
[1080.71s -> 1082.71s]  And hopefully we see a swift full recovery
[1082.71s -> 1084.71s]  of the egg. But
[1084.71s -> 1086.71s]  it looks pretty dire. It also looks pretty
[1086.71s -> 1088.71s]  dire for Jerma as well.
[1088.71s -> 1090.71s]  Looks like he may have at least one broken bone
