[37.37s -> 39.17s]  Hello, everyone. Hello.
[1564.42s -> 1566.58s]  Demons spilling from the ruins.
[1567.06s -> 1568.18s]  Kill us all.
[1568.18s -> 1571.09s]  Interesting. Ruins.
[1572.01s -> 1575.31s]  What is he talking about?
[1575.31s -> 1577.23s]  Come, I'll explain.
[1577.23s -> 1579.63s]  Turn it up. It was OK.
[1579.63s -> 1583.65s]  OK, I'll put it a little higher.
[1583.65s -> 1585.57s]  There is evil staring in the room.
[1585.57s -> 1586.81s]  All right.
[1587.21s -> 1590.05s]  That poor monk back there must have gone inside.
[1591.40s -> 1593.32s]  In this game, it's like MMO.
[1593.32s -> 1597.64s]  I know it's like MMO, whatever he saw is like MMO internal temperature here.
[1597.64s -> 1604.49s]  Right.
[1604.49s -> 1606.85s]  Oh, wait, I'm going to slow down.
[1610.55s -> 1612.95s]  All right, that's the heel.
[1612.95s -> 1617.47s]  If Devmir is taking up all the space by the fire, just give him a shove.
[1620.46s -> 1622.82s]  What's that? You say something.
[1623.06s -> 1628.46s]  OK, fire is looking good, but I should watch it a little longer
[1629.42s -> 1632.14s]  to make sure it doesn't go out.
[1632.14s -> 1635.26s]  All right. Could you protect us from whatever is out there?
[1636.26s -> 1639.54s]  We have nowhere else to turn.
[1639.58s -> 1643.80s]  There is evil lurking in those ruins.
[1643.80s -> 1648.18s]  I will drag it into the light of day.
[1648.18s -> 1649.90s]  Oh, thank you.
[1649.90s -> 1651.94s]  Are you wearing a periodic periodic table?
[1659.32s -> 1664.18s]  Oh, this is this is embarrassing
[1664.18s -> 1669.18s]  because this is a periodic table of all the Star Wars characters that's ever existed.
[1672.78s -> 1675.14s]  I don't know why I own all these shirts.
[1676.82s -> 1678.74s]  I don't know why I have all these.
[1678.74s -> 1681.98s]  I think they were I think most of them were gifts.
[1691.98s -> 1693.94s]  That's a shirt for a 12 year old.
[1693.98s -> 1698.38s]  It's you know, maybe one day I'm going to give all these Star Wars shirts to somebody.
[1704.63s -> 1715.00s]  It's going to kill me.
[1715.00s -> 1717.72s]  Gold. Oh, it's heels.
[1717.72s -> 1723.34s]  OK, Q is an instant heel and then it's a heel over time.
[1723.34s -> 1728.41s]  That's interesting.
[1728.41s -> 1732.66s]  Didn't I level up? Hold on.
[1732.66s -> 1738.35s]  I leveled up, didn't I?
[1738.35s -> 1741.23s]  I want to compare. Oh, I don't have gloves on.
[1741.23s -> 1749.11s]  All right. Abilities on Earth.
[1749.11s -> 1751.82s]  OK, hold on a second.
[1751.82s -> 1752.86s]  So this is the skill tree.
[1752.86s -> 1755.50s]  I guess I have not looked at anything of this game.
[1756.26s -> 1758.34s]  I know absolutely nothing.
[1758.34s -> 1761.90s]  I saw like two or three little videos just kind of describing the game as it
[1762.82s -> 1765.42s]  sort of turned into what it is today.
[1765.42s -> 1769.58s]  But I've deliberately avoided almost everything.
[1769.58s -> 1771.46s]  So it looks like it's a big.
[1771.46s -> 1774.70s]  So you start up here and then you can go down this way and then this way
[1775.22s -> 1778.34s]  and then this way and then this way and then this way and then this down here.
[1778.34s -> 1782.43s]  OK, well, what can I do? Spark.
[1784.14s -> 1786.66s]  Is that what I have right now? No.
[1786.66s -> 1789.54s]  Launch a bolt of lightning that shocks an enemy four times.
[1790.94s -> 1796.41s]  Frostbolt. Oh, firebolt.
[1796.69s -> 1798.77s]  It's kind of like the character's name is internal temp.
[1798.77s -> 1804.78s]  It makes sense for me to have this flaming and it's a burn and Arc Lash.
[1804.90s -> 1807.67s]  What do you think? Should I go? Let us pick.
[1807.67s -> 1810.31s]  OK, what do I do? Let us choose. Yeah, that's fine.
[1812.08s -> 1814.92s]  Thematically, it does kind of have to be firebolt, but I'll let you decide.
[1816.12s -> 1819.72s]  Spark, frostbolt, firebolt or Arc Lash.
[1819.72s -> 1823.04s]  Let's go pull up two minutes less than two minutes.
[1824.74s -> 1827.30s]  Unleash arcing lightning that does 13 damage to enemies in front of you.
[1827.30s -> 1830.66s]  Every 10 times Arc Lash swipes, it stuns all enemies.
[1830.70s -> 1843.53s]  Why does it seem like the best thing here?
[1843.53s -> 1846.06s]  It is the best one. Yeah, but do we want to?
[1846.06s -> 1846.94s]  I don't want to do the thing.
[1846.94s -> 1849.02s]  Wait a minute. I might veto this.
[1849.02s -> 1852.54s]  Does every sorceress that you've seen on Twitch pick this?
[1852.54s -> 1854.58s]  Because I want to I don't know, I want to do something different.
[1854.58s -> 1864.97s]  Enhanced spark, percent crit strike.
[1871.05s -> 1873.21s]  You're going to make the worst character.
[1873.21s -> 1874.77s]  Why are you such a hipster?
[1874.77s -> 1875.93s]  I'm not. I just don't know.
[1875.93s -> 1878.01s]  It's a beta. I want to be able to showcase the other stuff.
[1883.38s -> 1885.35s]  What about down here?
[1885.43s -> 1890.96s]  Incinerate. Are these out of five or are these just three points?
[1892.54s -> 1895.14s]  So what it would be would be eight points to max it out.
[1898.53s -> 1900.31s]  Those are one. OK.
[1900.31s -> 1902.79s]  What is the cap? 50 level 50 is the cap.
[1902.79s -> 1909.12s]  So you realistically, realistically, you really only could be able to add level 50.
[1912.81s -> 1915.61s]  Only get a handful of these, right?
[1915.61s -> 1918.25s]  Interesting. OK, so you really have to kind of decide.
[1919.13s -> 1921.82s]  We want fire. What is it at right now?
[1921.82s -> 1923.26s]  All right, we'll go with fire.
[1923.26s -> 1925.06s]  That's what I would have picked anyways.
[1925.06s -> 1927.58s]  All right. Fire bolt.
[1927.58s -> 1931.30s]  Here it is. Oh, so this is now here, but I want it here.
[1932.18s -> 1933.22s]  Oh, it's locked.
[1936.01s -> 1938.55s]  Oh, how much man it is to use.
[1950.17s -> 1956.45s]  Oh, yeah. So Nancy Drew is a game that we're going to be checking out today.
[1956.45s -> 1960.09s]  Diablo four happens to be not functioning that as we have intended.
[1961.01s -> 1965.49s]  Nancy Drew is going to be the game that we are going to be taking a look at today.
[1969.30s -> 1971.02s]  God damn it. Wait, wait, wait, wait, wait.
[1971.02s -> 1973.55s]  Hold on. I think I'm still in.
[1973.55s -> 1974.75s]  Am I still good?
[1974.75s -> 1976.27s]  Wait, I think I'm still good.
[1976.27s -> 1985.84s]  Shit, I really wanted to play Diablo four.
[1997.33s -> 2002.14s]  What does that mean? Just restart the game.
[2002.14s -> 2007.68s]  OK. Well, we start restart the game.
[2007.68s -> 2010.92s]  Won't I have to go back into the queue for like a fucking hour?
[2018.15s -> 2025.47s]  Don't restart, people saying.
[2025.47s -> 2028.31s]  I unlocked one move and I know I can't play anymore.
[2033.62s -> 2040.02s]  Shit. It says restart.
[2040.02s -> 2048.91s]  You need to restart. You're playing day one.
[2050.32s -> 2054.44s]  Well, I mean, day one of two days for a beta.
[2055.54s -> 2065.42s]  It's not it's day one of two or three days, one of three.
[2065.94s -> 2071.16s]  OK, I'm going to just restart it and see how long it takes to get back in.
[2071.16s -> 2079.39s]  And then I'm going to play Nancy Drew three days next weekend.
[2079.47s -> 2086.83s]  Yeah, it's still all right. Let's try it.
[2087.78s -> 2092.67s]  I'm hoping for like less than five minutes.
[2092.67s -> 2099.06s]  I was just getting good.
