[0.31s -> 16.74s]  Why hello there everybody, Jerma here with a Team Fortress 2 uncrating unboxing extravaganza video.
[278.01s -> 294.93s]  Oh, there we go. Are you sure? Yes. Come on. Give me another hat. Another hat. Come on. Strange equalizer. That's good. Almost at the halfway point.
[294.93s -> 312.06s]  I can't believe I haven't gotten any paints. Strange brass beast. Oh, my God. Come on. I am, like, shaking right now. My, like, body is, like, strange eternal reward.
[312.06s -> 330.83s]  That's actually really cool. I want that. Gives me a reason to use it. Getting to 34 here now. Oh, I thought it was a hat. I thought it was an unusual. More loot. More loot.
[331.83s -> 345.70s]  Strange atomizer. Oh, come on. I'm going to get lucky right here at some point. I have to. Oh, strange. Actually, that's cool. That's cool.
[345.70s -> 356.60s]  All right. Now we're at the halfway point. Hopefully, you know, we're going to go backwards now. Actually, no, no. Let's stay at 37. Let's not go backwards. 37. Halfway point.
[356.60s -> 376.76s]  Come on. Unusual. Three unusuals in one crate. Strange big earner. Oh, good, good, good, good, good. I like that. Oh, come on. Come on, unusuals, please. Oh, that's okay. I like that.
[376.76s -> 398.65s]  37. These are, okay, so 37. Then we got 38. I mean, 39. Then it goes to 40. 41. Sorry, 41. Oh, if you're as excited as I am. Oh, another bizarre bargain. Bastard. You bastard.
[398.65s -> 423.50s]  What's it going to be? Oh, yes. Yes. I am very happy about that. Strange liberty launcher. Come on, give me another hat. I only got one hat out of this so far. Come on. That's cool. I am okay with that.
[423.50s -> 439.70s]  What we got? It's going to be number 42. It's going to be the last one. I'm going to get an unusual. Strange dead ringer. I bet you I get an unusual at 42. This one. Or crate number 40, whatever you want to call it.
[439.70s -> 465.10s]  Oh, damn it. Come on. I want to get an unusual. Give it away to the community. Strange quick fix. Cool. Hey, at least this is filling my backpack up again. At least it's all different items. That's a good thing.
[465.10s -> 479.20s]  Strange overdose. 39. Come on. 39 is my lucky number. Papa needs a new pair of shoes. Come on, baby. Oh, my first paint. Is that green? Or what is that, like puke?
[479.20s -> 498.65s]  All right, we're coming down to the final 10. Final 10. This is it. Come on. Oh, another overdose. I mean, there's only like a one or two percent chance to get an unusual, but it could still happen. It could happen.
[498.65s -> 517.70s]  Yes. Yes, yes, yes, yes, yes. That's exactly what I wanted. Strange lock and load. Hell yeah. It almost makes it all totally worth it. Nice. I'm so happy about that. Thank God I got that. I would have been so annoyed.
[517.70s -> 530.78s]  Oh, bloke's bucket hat. Going sniping. All right, all right. See, this is... Okay, now we're starting to get some cool stuff here. Let's see. Let's see if the luck keeps going if it runs out.
[530.78s -> 554.76s]  Strange bat. All right, we're almost at the final five. Got to pray. Got to pray to the TF2 gods that I get something cool. Strange diamond back. Oh, final five. Final five. This is it, guys. Oh, no. No, come on. Unusual.
[554.76s -> 572.44s]  Maybe if I spell it. U-N. U-S. I forget. Hold on. Oh, I just... All right. Final three. This is it. I'm going to get it right now. I'm going to get a shearing towering pillar of hats.
[572.44s -> 593.25s]  Strange pistol. Here it is. Final two. What's it going to be? What? Buildings destroyed. Strange part. Oh, that's right. Oh, that's awesome. I don't know who I'm going to give that to.
[593.25s -> 610.66s]  Oh, wow. All right. Final crate. This is it. Before I do this. All the lords and ladies in heaven of Team Fortress 2 gods, please let it be something cool. Here we go.
[610.66s -> 633.85s]  That's a strange bottle. Oh, well, here you go. All this. This is really cool. This is amazing. I'm so glad I got that. And I got the two hats and a bunch more strangers to refill my collection.
[633.85s -> 644.84s]  So hopefully this was entertaining to watch me uncrate. And yeah, thanks for watching, guys. I will see you guys in the next video. So take care, everybody.
