[6.78s -> 16.10s]  Hey, what is going on everybody? Jerma here with a Team Fortress 2 gameplay commentary and tonight.
[410.10s -> 415.10s]  He's like, oh, yeah, this computer is top of the line. It's got an i7. It's got a bunch of memory.
[415.10s -> 418.10s]  It's fantastic. And the first question you ask this guy is this.
[418.10s -> 421.10s]  Does this computer have a dedicated graphics card?
[421.10s -> 425.34s]  And he's going to go, no, but, um, you know, yeah.
[425.34s -> 429.34s]  And you can catch him off guard right there because a lot of people don't expect that question.
[429.34s -> 431.34s]  They don't expect you to ask them that.
[431.34s -> 438.34s]  So make sure you keep in mind that you don't want to spend a ton of money on something that you're not going to get the full potential of.
[438.34s -> 441.03s]  So that is going to wrap up this video, guys.
[441.03s -> 443.03s]  Thank you all so much for watching. I really do appreciate it.
[443.03s -> 447.03s]  And hopefully some of this information could help you guys be better computer buyers
[447.03s -> 451.03s]  or better shoppers in your destination of your computer greatness.
[451.03s -> 453.21s]  So, yeah, I'll see you guys all soon.
[453.21s -> 456.21s]  And, of course, take care, everybody.
