[0.31s -> 13.82s]  Hey, what is going on, everybody? Jerma here with a Team Fortress 2 gameplay commentary.
[295.88s -> 297.88s]  It was hysterical.
[297.88s -> 298.88s]  Why did that happen?
[298.88s -> 300.88s]  You can't do that in Call of Duty.
[300.88s -> 302.88s]  You can't do that in Battlefield.
[302.88s -> 307.88s]  You can't do that in any other game besides the hilarious Team Fortress 2.
[307.88s -> 311.50s]  And with that, that's going to wrap up the video guys.
[311.50s -> 319.50s]  So in the comment section again, please, if you can remember, leave me what you think your funniest Team Fortress 2 moment has been thus far.
[319.50s -> 320.50s]  And thank you so much for watching everybody.
[320.50s -> 321.50s]  You really do appreciate it.
[321.50s -> 323.50s]  And I'll talk to you all next time.
[323.50s -> 325.50s]  And of course, take care everybody.
