[1.66s -> 3.66s]  Just because.
[157.90s -> 160.52s]  That's Vinnie! Vinnie!
[160.52s -> 162.52s]  Hey, I made it!
[162.52s -> 164.52s]  Let me see your character. What is, what is this character?
[164.52s -> 166.52s]  My character is loathsome looking.
[166.52s -> 169.27s]  Let me see yours.
[169.27s -> 171.27s]  Yeah, I hate my character. At least, at least you're a dude looks like.
[171.27s -> 173.64s]  You're about to say me.
[173.64s -> 176.33s]  You're about to say looks like me.
[176.33s -> 179.59s]  You think that's what I look like?
[179.59s -> 181.59s]  No. Well hey, I mean, if anything, we could be in a band called The Stooges.
[181.59s -> 183.59s]  I look like Iggy Pop. You look like the drummer.
[183.59s -> 185.59s]  So I guess we're good.
[185.59s -> 187.96s]  Let me add you to a posse.
[187.96s -> 190.14s]  I think we can do that now.
[190.14s -> 192.14s]  No, this looks like the taxi driver from The Muppets.
[195.78s -> 198.41s]  Don't make fun of my face ever again!
[198.41s -> 200.41s]  Alright, so now we're friends.
[200.41s -> 202.41s]  That was a friend punch.
[202.41s -> 205.03s]  So, get your hat.
[205.03s -> 207.53s]  You look like Solid Snake from the third one.
[207.53s -> 212.18s]  Squeeze the hop.
[212.18s -> 214.18s]  Oh yeah, I started the cycle.
[214.18s -> 216.68s]  I got a posse.
[216.68s -> 218.68s]  You must be able to pay fee to create a posse.
[218.68s -> 221.30s]  I must be able to pay fee?
[221.30s -> 223.74s]  Fuck you, Rockstar.
[223.74s -> 225.74s]  That's like a funny laugh out loud Rockstar
[225.74s -> 227.74s]  is taking payment joke, right?
[227.74s -> 230.34s]  Uh huh. Oh, it's real though.
[230.34s -> 232.34s]  You're on my all temporary posse.
[232.34s -> 235.78s]  Alright, so invites.
[235.78s -> 238.86s]  Your tent has been moved
[238.86s -> 240.86s]  to Vinesauce's camp.
[240.86s -> 243.35s]  So we share a camp now.
[243.35s -> 246.04s]  Yeah.
[246.04s -> 248.04s]  Let's just do a quick test.
[248.04s -> 250.54s]  Alright, let me use your hat though.
[250.54s -> 253.42s]  I'm ready for my picture.
[253.42s -> 255.42s]  Alright, friendly fire is confirmed off.
[255.42s -> 257.42s]  Which is good because I didn't know if that was going to work.
[257.42s -> 259.42s]  But I have to figure out which one of our hats
[259.42s -> 262.10s]  I like better on my hat.
[262.10s -> 264.73s]  I hate my hat, so.
[264.73s -> 266.90s]  Where did you get this thing?
[266.90s -> 268.90s]  It was a default, like jabroni hat.
[268.90s -> 270.90s]  So is this one.
[270.90s -> 273.85s]  Then why is mine dirtier than yours?
[273.85s -> 275.85s]  I don't know actually. What have you been doing?
[275.85s -> 277.85s]  What have you been rolling around in the mud?
[277.85s -> 279.85s]  I think so. Last time I played this, I think that's what I did.
[279.85s -> 282.73s]  Alright, let's go have fun.
[282.73s -> 284.73s]  Yeah, I don't know where that is.
[284.73s -> 286.73s]  So this is a bunch of random missions.
[286.73s -> 288.73s]  Have you done any online at all?
[288.73s -> 291.22s]  I've done some of the missions online, yeah.
[291.22s -> 293.22s]  I've done like a death match.
[293.22s -> 295.72s]  I've done some of the team based stuff.
[295.72s -> 298.09s]  It was fun, I enjoyed it. Cool, cool.
[298.09s -> 300.09s]  Whoa, what was that? Lightning?
[300.09s -> 302.90s]  There's a lightning mission starting.
[302.90s -> 305.46s]  We have horses, don't we?
[305.46s -> 307.77s]  Somewhere we have horses.
[307.77s -> 310.20s]  My horse is coming from behind here.
[310.20s -> 312.89s]  This is interesting. Showdown series.
[312.89s -> 314.89s]  Large match. Oh, this is the stuff I did.
[314.89s -> 319.30s]  This stuff is pretty fun.
[319.30s -> 321.30s]  You want to just ride off and like...
[321.30s -> 323.30s]  You want to just lasso people and torture them?
[325.30s -> 327.54s]  Oh yeah, that's the first thing you want to do when you get online.
[327.54s -> 329.54s]  Why don't we torture people?
[329.54s -> 333.00s]  That sounds like fun.
[333.00s -> 338.94s]  Like this guy.
[338.94s -> 342.01s]  He's pulling out his gun. Well, we killed him.
[342.01s -> 344.01s]  He's dead.
[344.01s -> 346.01s]  I guess we did torture him.
[346.01s -> 348.01s]  He was tortured in life.
[348.01s -> 350.01s]  We got a murder trophy?
[350.01s -> 352.01s]  I guess that means we're bad.
[352.01s -> 354.01s]  I was wondering why...
[354.01s -> 356.01s]  Are you a good guy or are you a bad guy in these games?
[358.01s -> 360.01s]  I'm more or less a good guy online.
[360.01s -> 362.01s]  Though I've done some horrendously questionable things.
[362.01s -> 364.01s]  How about you?
[364.01s -> 366.01s]  I'm always a good guy.
[366.01s -> 368.01s]  No matter what.
[368.01s -> 370.01s]  Any opportunity that presents itself, I always do the right thing.
[372.38s -> 374.38s]  Is that going to be a problem for this stream?
[374.38s -> 376.68s]  I'm not sure.
[376.68s -> 378.68s]  We may have some disagreements.
[378.68s -> 381.18s]  I fed someone to an alligator.
[381.18s -> 385.46s]  I hear gunshots.
[385.46s -> 387.46s]  Okay, that's a good deed.
[387.46s -> 389.46s]  Just trying to do good deeds over here.
[389.46s -> 392.54s]  Yeah, that seems like it was a good deed.
[392.54s -> 394.54s]  For sure.
[394.54s -> 396.54s]  I just ran past that guy's horse.
[396.54s -> 398.54s]  That poor, frightened, scared horse.
[398.54s -> 400.54s]  He just killed its owner.
[400.54s -> 402.54s]  I was trying to help that guy.
[402.54s -> 404.54s]  There was flies around his head.
[404.54s -> 407.10s]  I was trying to get rid of them.
[407.10s -> 409.34s]  This is like his camp.
[409.34s -> 412.09s]  Oh man, that guy just good-guided me.
[412.09s -> 414.09s]  Get that good guy down there.
[414.09s -> 416.26s]  I got him.
[416.26s -> 419.59s]  Can you help me?
[419.59s -> 421.77s]  Yeah, let me find you.
[421.77s -> 423.77s]  Is this left or dead?
[423.77s -> 426.71s]  I think so.
[426.71s -> 428.71s]  You're bleeding out and you're dead.
[430.71s -> 436.34s]  That guy's whole camp just disappeared.
[436.34s -> 439.80s]  I'm going to do an emote.
[439.80s -> 441.80s]  I'm going to wave. I want to be friends.
[441.80s -> 443.80s]  Are you going to be friends with this guy?
[443.80s -> 445.98s]  I'm going to try to be friends with him.
[445.98s -> 448.86s]  I'm going to offer the twig of peace.
[448.86s -> 450.86s]  What's the emote wheel?
[450.86s -> 452.86s]  You hold L2, you press R1,
[452.86s -> 454.86s]  and then you get an emote.
[454.86s -> 456.86s]  You can do an emote wheel.
[458.86s -> 462.57s]  Please tell this guy
[462.57s -> 464.57s]  over the fake voice chat.
[464.57s -> 466.57s]  Oh, never mind.
[466.57s -> 469.13s]  What?
[469.13s -> 471.13s]  I didn't try to do anything.
[471.13s -> 473.13s]  I think he has his flag up.
[473.13s -> 476.78s]  I don't think we can do anything to him.
[476.78s -> 478.78s]  I didn't know that was a thing, but I'm glad it is.
[478.78s -> 481.08s]  I'm going to farewell handshake this guy.
[481.08s -> 483.08s]  Never mind.
[483.08s -> 485.08s]  I tried.
[489.69s -> 491.69s]  It's just like GTA Online.
[491.69s -> 493.69s]  Excuse me, partner.
[493.69s -> 498.15s]  You go.
[498.15s -> 501.35s]  Over the table, quick.
[501.35s -> 505.96s]  Don't let him get away.
[505.96s -> 507.96s]  I don't think we can
[507.96s -> 509.96s]  do a whole lot with this dude.
[509.96s -> 511.96s]  I feel like the game has
[511.96s -> 513.96s]  some safety checks in place.
[513.96s -> 515.96s]  This dude wants to be peaceful
[515.96s -> 517.96s]  and we're just trying to run him down with all the horses.
[517.96s -> 520.26s]  All right.
[520.26s -> 522.26s]  That was fun.
[522.26s -> 524.26s]  Yeah, I enjoyed that for all
[524.26s -> 526.26s]  three seconds.
[526.26s -> 528.26s]  There's another thing here.
[528.26s -> 530.26s]  I set a waypoint off.
[530.26s -> 532.26s]  You can see it, but there seems to be a group of people.
[532.26s -> 534.26s]  What are you doing?
[534.26s -> 536.26s]  I just figured I was going to come over here.
[536.26s -> 538.26s]  I'm not a very good driver.
[538.26s -> 540.26s]  My horse does not have
[540.26s -> 542.26s]  the load-bearing potential for this kind of thing, right?
[542.26s -> 544.26s]  It's all right. Trust me.
[544.26s -> 546.26s]  If I drive one of these cars,
[546.26s -> 548.26s]  I'm going into a bench post.
[548.26s -> 550.26s]  All right. Fair enough.
[550.26s -> 556.52s]  So, you know,
[556.52s -> 558.82s]  hot air balloon?
[558.82s -> 560.82s]  Yeah. Pretty much how it works is
[560.82s -> 562.82s]  you go up in the air.
[562.82s -> 564.82s]  And why are these people all ghosts?
[564.82s -> 566.82s]  I don't know. What is this?
[566.82s -> 568.82s]  They're made of vapor.
[568.82s -> 570.82s]  Why are they like Metal Gear Solid
[570.82s -> 572.82s]  invisible? Why are they able to shoot us?
[572.82s -> 574.82s]  Hold on. We'll take care of this.
[574.82s -> 581.80s]  Wait, they're ghosts, but they can shoot us still.
[581.80s -> 583.80s]  How does it
[583.80s -> 585.80s]  make any sense? Kill the NPC.
[585.80s -> 588.04s]  Kill the NPC.
[588.04s -> 590.04s]  Trying.
[590.04s -> 592.04s]  Fuck their flight path giver.
[592.04s -> 594.41s]  Just like the Crossroads back in the early 2000s.
[594.41s -> 596.58s]  The NPC is the Irishman.
[596.58s -> 598.58s]  What's his name?
[598.58s -> 600.58s]  Sean.
[600.58s -> 602.58s]  I don't understand why we can't interact with these guys.
[602.58s -> 604.58s]  They can't interact with us.
[604.58s -> 606.58s]  That seems very unfair.
[606.58s -> 608.58s]  Oh, this is fair.
[608.58s -> 611.85s]  Wait, wait. Did you just do that?
[611.85s -> 614.98s]  Why are ghosts?
[614.98s -> 616.98s]  No, I didn't do that. The ghost bullies
[616.98s -> 618.98s]  are taking care of all this.
[618.98s -> 621.42s]  Alright, well, we found
[621.42s -> 623.72s]  a strange happening here.
[623.72s -> 627.18s]  This online doesn't make
[627.18s -> 629.18s]  a whole lot of sense to me right now.
[629.18s -> 631.18s]  So they're in a different server and they're able to interact with our server.
[631.18s -> 633.18s]  I don't know.
[633.18s -> 635.93s]  There's a
[635.93s -> 637.93s]  mission here, but we can't do it because
[637.93s -> 639.93s]  we're in a danger zone or something.
[639.93s -> 641.93s]  That's too bad. You know what? I was going to
[641.93s -> 643.93s]  sabotage their vehicles.
[643.93s -> 647.05s]  Vehicles? Yeah.
[647.05s -> 649.05s]  I can't even sabotage their vehicles.
[649.05s -> 651.05s]  Oh, that guy got out of
[651.05s -> 653.05s]  the phase for a second. No.
[653.05s -> 655.05s]  I saw that. This is really
[655.05s -> 657.05s]  Westworld shit.
[657.05s -> 659.05s]  Yeah, it's kind of not fair.
[659.05s -> 661.74s]  So hot air balloons, you fill
[661.74s -> 663.74s]  them with air and they go up into the sky.
[663.74s -> 665.74s]  Yeah, and then you eat all the passengers to stay alive.
[665.74s -> 668.17s]  Okay, cool.
[668.17s -> 670.17s]  Oh, I understand.
[670.17s -> 672.17s]  Like in a video game.
[674.17s -> 676.17s]  In one of those video games.
[676.17s -> 678.17s]  What's a video game where you eat stuff
[678.17s -> 680.17s]  when you're
[680.17s -> 682.17s]  traveling?
[682.17s -> 686.14s]  Do you know? Any idea?
[686.14s -> 688.14s]  No.
[688.14s -> 690.89s]  When you fly around...
[690.89s -> 692.89s]  The Oregon Trail. Yeah, yeah, yeah, yeah.
[692.89s -> 694.89s]  Except that one you drive on.
[694.89s -> 696.89s]  You're on an Oregon
[696.89s -> 698.89s]  on the trail.
[698.89s -> 701.83s]  You know,
[701.83s -> 703.83s]  I don't...
[703.83s -> 705.83s]  That's fucking disgusting. Why would I ever...
[705.83s -> 707.83s]  Oh boy, what have I done?
[707.83s -> 709.83s]  I'm assuming there's a lot
[709.83s -> 711.83s]  to the story that I'm unaware of.
[711.83s -> 713.83s]  So I'm just going to let you do you.
[713.83s -> 715.83s]  No, no, I just...
[715.83s -> 717.83s]  I...
[717.83s -> 720.20s]  It's been a while since I was in the air, so...
[720.20s -> 722.20s]  Jerma, do you have a horse reviver?
[722.20s -> 724.20s]  I think I just killed my horse.
[724.20s -> 726.20s]  I killed mine too.
[726.20s -> 728.20s]  Are you serious?
[728.20s -> 730.20s]  Yeah, I jumped off the cliff. Did you jump off
[730.20s -> 732.20s]  this one? Yeah, I jumped off this one.
[734.57s -> 736.57s]  Oh, now he's...
[736.57s -> 739.13s]  Oh.
[741.75s -> 743.75s]  I hope you have horse insurance.
[743.75s -> 745.75s]  I think I do. Well, whatever. These are like shitty
[745.75s -> 747.75s]  default free ones.
[747.75s -> 749.75s]  Yeah, but I named mine Oatmeal.
[753.21s -> 755.21s]  No, don't shoot oatmeal!
[755.21s -> 757.58s]  There you go.
[757.58s -> 760.78s]  If anything, at least turn him into food.
[760.78s -> 763.14s]  It won't let me stab oatmeal.
[763.14s -> 765.14s]  Well, now we have to walk.
[765.14s -> 767.14s]  Alright, well there's a whole gang hideout
[767.14s -> 769.14s]  over here. You want to go kill some stuff?
[769.14s -> 771.14s]  Let's go light some people up.
[771.14s -> 773.70s]  Okay.
[775.70s -> 777.70s]  Wait a minute.
[777.70s -> 779.70s]  I think I can skin my horse.
[779.70s -> 781.70s]  Can I skin your horse?
[781.70s -> 785.03s]  No.
[785.03s -> 787.40s]  I think these are the bad guys.
[787.40s -> 791.30s]  So we can take this place out.
[791.30s -> 793.30s]  That guy was like a pinball machine.
[793.30s -> 795.93s]  That was pretty good.
[795.93s -> 797.93s]  That was really good.
[797.93s -> 799.93s]  Earn, earn. We got you.
[799.93s -> 802.23s]  That's how a cowboy says yes
[802.23s -> 804.23s]  just in case you didn't know. They say earn, earn.
[804.23s -> 806.23s]  Earn, earn?
[806.23s -> 808.23s]  They say earn, earn.
[808.23s -> 810.41s]  Earn, earn.
[810.41s -> 812.41s]  Minister.
[816.71s -> 820.10s]  No more tears.
[820.10s -> 822.10s]  I just fucking died.
[822.10s -> 824.10s]  I was too busy paying attention to earn, earn.
[824.10s -> 826.10s]  I'm sorry.
[826.10s -> 828.47s]  The local fucking dentist.
[828.47s -> 830.78s]  You know what I mean, earn?
[830.78s -> 833.53s]  I've become a bit of a psychopath
[833.53s -> 837.05s]  it seems.
[837.05s -> 839.05s]  Ernest, Ernest.
[841.05s -> 844.76s]  Alright, I'm coming to rescue you.
[844.76s -> 848.34s]  Don't worry. Don't worry. If you die I got a horse
[848.34s -> 850.65s]  reviver. I'll take care of you.
[850.65s -> 853.08s]  Okay.
[853.08s -> 855.08s]  It works on people too. Same drug.
[855.08s -> 857.58s]  There's only a couple dudes left
[857.58s -> 859.58s]  so we just have to like
[859.58s -> 861.58s]  kill the main dude who's like on the docks
[861.58s -> 863.58s]  I guess. Alright, so you can stab him a hundred times.
[863.58s -> 866.58s]  Watch this.
[866.58s -> 870.98s]  Alright, we got him.
[870.98s -> 873.16s]  Fuck him up.
[873.16s -> 875.53s]  Ooh, that was, okay.
[875.53s -> 878.98s]  He's in the water now.
[878.98s -> 880.98s]  So we split every piece of treasure
[880.98s -> 882.98s]  every treasure chest we find, it's fifty-fifty, right?
[882.98s -> 884.98s]  Yes.
[884.98s -> 887.86s]  This we do.
[887.86s -> 894.26s]  Alright, come watch me stab this guy.
[894.26s -> 896.26s]  Oh, you're fighting the main guy. I'm fighting like his
[896.26s -> 898.26s]  I'm fighting his uncle out here.
[898.26s -> 900.26s]  I just slit his throat.
[900.26s -> 902.26s]  You got the guy with lumbago?
[902.26s -> 905.98s]  Alright. Wait, wait, wait, wait.
[905.98s -> 909.88s]  Don't touch anything.
[909.88s -> 912.38s]  How many hats did he have?
[912.38s -> 914.38s]  He only had one and it says you cannot store this hat.
[914.38s -> 916.38s]  Well, we're gonna have to cut it in half.
[916.38s -> 920.09s]  Because that's the only way that's fair.
[920.09s -> 922.09s]  It says here you can get your free Arabian
[922.09s -> 924.09s]  horse from the strawberry stables.
[924.09s -> 926.09s]  Someone in chat said so. If you want to
[926.09s -> 928.09s]  get a non-shitty horse in a bit
[928.09s -> 930.09s]  maybe that'll be a good thing to do on stream.
[930.09s -> 932.09s]  That'll be a good fun thing to do.
[932.09s -> 934.09s]  Is there any
[934.09s -> 936.09s]  loot box in here
[936.09s -> 938.09s]  or something? There's a cabinet.
[938.09s -> 940.09s]  It costs three rock star gold to open, yeah.
[940.09s -> 942.26s]  Once purchased, looted,
[942.26s -> 944.26s]  or crafted consumables. It's so dark over here.
[944.26s -> 947.27s]  Oh, I got a guy.
[947.27s -> 949.90s]  There's a guy in there.
[949.90s -> 951.90s]  Where'd you get that guy from?
[951.90s -> 955.54s]  He was in the cabinet.
[955.54s -> 957.54s]  I guess we just get to take this guy.
[957.54s -> 959.54s]  Maybe we can sell him somewhere?
[959.54s -> 962.10s]  Pretty sure we can do that.
[962.10s -> 964.10s]  Let's do that.
[964.10s -> 966.10s]  I dropped him in the water and
[966.10s -> 968.10s]  you have to bring him to the iPhone store.
[968.10s -> 970.10s]  The water damage is like
[970.10s -> 972.10s]  you just can't fucking recover it.
[972.10s -> 974.10s]  I just got disconnected.
[974.10s -> 976.92s]  And just like that
[976.92s -> 978.92s]  you're gone.
[978.92s -> 980.92s]  Did you get DC'd?
[980.92s -> 982.92s]  I don't know if I got DC'd
[982.92s -> 984.92s]  but I can't loot anybody right now.
[984.92s -> 986.92s]  The cycle never ends.
[986.92s -> 989.42s]  You would think
[989.42s -> 991.42s]  Vegas would have good internet.
[991.42s -> 993.42s]  I got
[993.42s -> 995.42s]  a greater internet at the moment.
[995.42s -> 997.42s]  For some reason my connection to rock star
[997.42s -> 1002.28s]  I don't know why.
[1002.28s -> 1007.06s]  This is what was happening to me before too.
[1007.06s -> 1009.06s]  Are you still in the game?
[1009.06s -> 1011.06s]  I'm still in game.
[1011.06s -> 1013.50s]  Let me know when you're back online.
[1013.50s -> 1018.10s]  I can invite you.
[1018.10s -> 1020.10s]  What the...
[1020.10s -> 1022.41s]  Can I swear?
[1022.41s -> 1024.41s]  I swear a little.
[1024.41s -> 1027.67s]  Shit.
[1027.67s -> 1029.67s]  What the shit?
[1029.67s -> 1032.94s]  I'm sorry.
[1032.94s -> 1034.94s]  By rights we shouldn't even be friends.
[1034.94s -> 1036.94s]  I'm a New York Yankees guy.
[1036.94s -> 1038.94s]  What?
[1038.94s -> 1040.94s]  What?
[1040.94s -> 1044.20s]  I can't believe you
[1044.20s -> 1046.20s]  just fucking said that.
[1046.20s -> 1049.91s]  The truth is though
[1049.91s -> 1051.91s]  I don't really care.
[1051.91s -> 1053.91s]  I was told I was a Yankees fan when I was a child.
[1053.91s -> 1055.91s]  I was told
[1055.91s -> 1057.91s]  I was a Yankees fan.
[1057.91s -> 1059.91s]  I was told that I was.
[1059.91s -> 1061.91s]  You know
[1061.91s -> 1063.91s]  watched a couple games here and there.
[1063.91s -> 1066.34s]  I'm supposed to be angry at you
[1066.34s -> 1068.34s]  according to the laws of thermodynamics.
[1068.34s -> 1070.78s]  I mean that's
[1070.78s -> 1073.98s]  okay.
[1073.98s -> 1075.98s]  Being a Yankee fan
[1075.98s -> 1077.98s]  obviously
[1077.98s -> 1079.98s]  there's something wrong with you.
[1079.98s -> 1081.98s]  Right, of course there is.
[1081.98s -> 1083.98s]  If you go to the doctor
[1083.98s -> 1085.98s]  and you tell the doctor
[1085.98s -> 1087.98s]  when they do a physical exam
[1087.98s -> 1089.98s]  one of the first things they have to ask you is
[1089.98s -> 1091.98s]  still a baseball fan?
[1091.98s -> 1093.98s]  Yeah, yeah I am.
[1093.98s -> 1095.98s]  Yankees? Red Sox? Which one?
[1095.98s -> 1097.98s]  Because it's very important.
[1097.98s -> 1099.98s]  You get a CT scan for that.
[1099.98s -> 1102.22s]  They have to check your whole body
[1102.22s -> 1104.22s]  and make sure it's not like an ulcer
[1104.22s -> 1106.22s]  or something. That could be what's causing it.
[1106.22s -> 1108.22s]  I think
[1108.22s -> 1110.22s]  it's the Lumbego again though.
[1110.22s -> 1113.03s]  Pretty sure.
[1113.03s -> 1115.03s]  What is Lumbego?
[1115.03s -> 1117.03s]  So the uncle character in this game
[1117.03s -> 1119.03s]  says that he has a killer case of Lumbego
[1119.03s -> 1121.03s]  and apparently what that is
[1121.03s -> 1123.03s]  is just his lower back hurts.
[1123.03s -> 1125.03s]  So it's his lower back pain.
[1125.03s -> 1127.03s]  I like to blame a lot of my failings
[1127.03s -> 1129.03s]  on Lumbego these days.
[1129.03s -> 1131.03s]  Am I in your game?
[1131.03s -> 1133.03s]  I might even just be in your game.
[1133.03s -> 1136.10s]  Am I in here?
[1136.10s -> 1138.10s]  Am I with you?
[1138.10s -> 1140.10s]  No, I'm sending you another invite.
[1140.10s -> 1142.10s]  Doesn't look like you're in here.
[1142.10s -> 1144.10s]  Oh god, this guy is going to kill me.
[1144.10s -> 1146.34s]  I hope I can portal out of here.
[1146.34s -> 1148.34s]  Lethal hog. Processing invite.
[1148.34s -> 1150.34s]  Okay, thank god.
[1150.34s -> 1152.65s]  This guy in his whole posse
[1152.65s -> 1154.65s]  was medicinally walking around me
[1154.65s -> 1156.65s]  with their guns out.
[1156.65s -> 1160.87s]  Just portal to it out of the way.
[1160.87s -> 1163.24s]  Were they ghosts?
[1163.24s -> 1165.24s]  No, they were just bandits.
[1165.24s -> 1167.24s]  Okay, because I think that might be
[1167.24s -> 1169.24s]  a glimpse at the DLC.
[1169.24s -> 1171.24s]  Ghost cowboys. We had zombies in the
[1171.24s -> 1173.24s]  previous game and it'll just be ghosts this time around.
[1173.24s -> 1175.24s]  I wonder what their plan is.
[1175.24s -> 1177.24s]  Do they have no plan at all?
[1177.24s -> 1180.42s]  Think?
[1180.42s -> 1182.42s]  Yeah, they have a plan. The plan is to continue
[1182.42s -> 1184.42s]  implementing weapons and cosmetic items
[1184.42s -> 1186.42s]  and selling gold bars
[1186.42s -> 1188.42s]  that you can then buy them with.
[1188.42s -> 1190.42s]  Did you know that
[1190.42s -> 1192.42s]  one of the dudes at Rockstar
[1192.42s -> 1194.42s]  or was it Take Two or something
[1194.42s -> 1196.42s]  said that they didn't feel GTA Online was monetized
[1196.42s -> 1198.42s]  enough? Wait, is that for real?
[1198.42s -> 1200.42s]  Yeah, apparently. Somebody actually said that?
[1200.42s -> 1202.42s]  Yeah.
[1202.42s -> 1206.20s]  And I like Rockstar.
[1206.20s -> 1208.20s]  And they're really good to me. And I think
[1208.20s -> 1210.20s]  that that's ridiculous. That was a highly
[1210.20s -> 1212.20s]  monetized game. What the?
[1212.20s -> 1215.14s]  I think I'm in your game.
[1215.14s -> 1217.14s]  But I don't think I'm in your posse. Is this you up here?
[1217.14s -> 1219.14s]  Hold on. I don't know. Let me just
[1219.14s -> 1221.14s]  make sure.
[1221.14s -> 1223.64s]  Strauss said that. There you go.
[1223.64s -> 1226.07s]  Yeah.
[1226.07s -> 1228.07s]  Yeah, I'm right next to you. Telling that there's a character
[1228.07s -> 1230.07s]  that is a loan shark in this game
[1230.07s -> 1232.07s]  called Strauss.
[1232.07s -> 1237.30s]  Just want to make sure he was dead.
[1237.30s -> 1239.30s]  Hey.
[1239.30s -> 1241.30s]  Thank you.
[1241.30s -> 1243.30s]  Wasn't there
[1243.30s -> 1245.30s]  an Activision
[1245.30s -> 1247.30s]  executive that said they wished they
[1247.30s -> 1249.30s]  could sell a controller that was like $150
[1249.30s -> 1251.30s]  or if they
[1251.30s -> 1253.30s]  could sell their games for like double, they would do it
[1253.30s -> 1255.30s]  if they could get away with it or something.
[1255.30s -> 1257.30s]  I think so. Yeah, I seem to remember.
[1257.30s -> 1259.30s]  I don't know for sure, but that sounds familiar.
[1259.30s -> 1261.30s]  That was a couple years ago, no? Yeah.
[1261.30s -> 1263.30s]  Something ridiculous like that.
[1263.30s -> 1265.54s]  It's just it's a gift
[1265.54s -> 1267.54s]  that keeps on giving. It really is.
[1267.54s -> 1269.54s]  All right.
[1269.54s -> 1271.54s]  I'm trying to join your posse.
[1271.54s -> 1273.54s]  I got you the invite now.
[1273.54s -> 1277.06s]  There's someone mad at me.
[1277.06s -> 1279.06s]  So if someone appears over the ridge and tries to shoot
[1279.06s -> 1281.06s]  us, then
[1281.06s -> 1283.06s]  that's my fault.
[1283.06s -> 1285.06s]  All right. So where's this free horse?
[1285.06s -> 1287.06s]  Is that your horse?
[1287.06s -> 1289.06s]  Yeah, it is. I guess it is now.
[1289.06s -> 1291.06s]  I guess it is yours now.
[1291.06s -> 1293.06s]  So Valentine,
[1293.06s -> 1295.06s]  I'll set a waypoint. Set a waypoint for us.
[1295.06s -> 1297.06s]  And by the way, there
[1297.06s -> 1299.06s]  is- Wait, wait. Valentine chat?
[1299.06s -> 1303.61s]  Oh, okay.
[1303.61s -> 1305.61s]  There's like a 90 to 95 percent
[1305.61s -> 1307.61s]  chance that I'm going to dump us.
[1307.61s -> 1309.61s]  What's that?
[1309.61s -> 1311.61s]  Is that the guy that was trying to fight you?
