[0.31s -> 12.46s]  Hey, what is going on everybody? Jerma here with FaceCamp Fortress 2.
[212.34s -> 216.54s]  Oh my god, we got a hacker! Oh my god!
[217.66s -> 222.40s]  No!
[227.35s -> 232.06s]  I just wanted to make animal noises, and this like hacker had to ruin everything.
[234.54s -> 237.46s]  Report. How do you report him? Where's F7?
[238.64s -> 247.29s]  Abuse report. Let's go. Submit now. There he is! There he is! There's the hacker. Oh my god. What's his name?
[247.49s -> 258.33s]  Hold on a second. That was just such a chain of insane events. Got you. I got you.
[261.69s -> 263.69s]  With the heels spread around.
[264.29s -> 266.29s]  Spread all in your face.
[267.97s -> 275.67s]  Overheal. Overheal. Maybe we'll just win this instantly. That would be pretty crazy. Watch it. Watch it, man. Oh!
[277.70s -> 287.32s]  That pyro is a- holy crap. Oh, I didn't get that pyro on time. Trying to heal everybody. I'm only one person.
[289.85s -> 295.06s]  He died right in front of me. Go, go, go, go, go.
[295.62s -> 302.85s]  Medic on medic. This guy charged? No, this guy's not charged yet. He will be soon.
[303.05s -> 311.84s]  You know, we're gonna go out here. Me and this soldier. Boom! This could be it. This could be it. Right away.
[312.20s -> 318.88s]  Let's go. Cabot. Cabot. Come on. Come on up here. Oh!
[319.48s -> 327.94s]  Get clubbed. Yeah. All right. Well, that's one way to win. Come here. Gee-gee. Wait, that was a spy?
[329.31s -> 337.95s]  Interesting. But anyways, um, let's do one more. One more round because that was, uh, that was a little too quick.
[338.35s -> 346.87s]  Mission begins in 10 seconds. Gonna skip the setup time though, for sure. All right, let's push on out of here.
[347.03s -> 352.97s]  Let's push on out of here with, with, um, as much might and mystery. Whoa!
[353.77s -> 359.23s]  Huntsman sniper uber, you want it? You want a huntsman sniper uber? Is that what you're saying? No, screw that.
[359.91s -> 362.92s]  Here we- no, don't run away from me!
[363.96s -> 373.45s]  Let's get a second uber on this guy. Do we even need it? Oh my goodness. Just running around with an uber.
[373.65s -> 378.84s]  This is bad. With this team, we're crushing this team right now. My goodness gracious.
[379.44s -> 386.18s]  Might as well just run in. Just run in. They probably don't have any defenses. Whoa, yeah, they do.
[386.38s -> 392.74s]  Come on, we need somebody. We need somebody. We need like a heavy. Come on, heavy. There we are. Here we go.
[393.16s -> 400.30s]  Move on up. I'll take the heat. I'll take the heat. Oh, come on. Get rid of that sentry. Oh!
[401.22s -> 410.85s]  Kill that sentry. Oh, come on. I got it. I got the engineer. I got you. I got you guys.
[410.85s -> 425.16s]  I'm only one person. I'm only one person though. You're good. You're good. Come here, man. Come here, sister. Sister. Get that spy!
[425.28s -> 431.20s]  We're gonna win right now. Oh my goodness gracious. That's two in a row.
[431.76s -> 438.74s]  Well, all these teams might need to be balanced, but I've built a views report ready to submit.
[438.74s -> 445.23s]  I don't even know how to... the guy was like changing his name. But anyways, thank you guys so much for watching.
[445.23s -> 447.23s]  I really do appreciate it. That's gonna wrap it up here.
[447.75s -> 453.41s]  Sorry about that hacker, and I'll see you guys all next time. And of course, take care everybody.
