[2.94s -> 9.40s]  No, please!
[352.93s -> 360.85s]  wait, wait. He knows. That same sniper knows there's a dispenser up here now. Yeah, he knows I'm in
[360.85s -> 366.29s]  here. Did you see him? He's up. Yeah, screw you. You're not getting any points. I'll keep preparing
[366.29s -> 388.83s]  it. Yeah, cool. Come on, shoot it again. Shoot it again. He's just wasting his time. That sniper's
[388.83s -> 400.10s]  dead. That sniper is dead. I'm gonna go, I'm gonna, hey, hey, what's, oh my fucking god. Yeah, I left,
[400.10s -> 407.10s]  you know, whatever. You say what you want. I left. Couldn't take it anymore, but what I can take
[407.10s -> 422.70s]  is this guy. Hello? Hello? We have the same hat. Oh my god, that was so close. Oh, that was like two
[422.70s -> 430.85s]  pixels off. How is a boy supposed to get a taunt kill like this? You're just gonna get yourself
[430.85s -> 438.50s]  killed. See, you got headshot. Spy, come on. Just lock him in. He's locked in. He's locked in. He's
[438.50s -> 448.85s]  locked in. He's locked in. Yes. He couldn't move. He was locked in there. Two. That makes two taunt
[448.85s -> 457.49s]  kills. Let's go. Yikes. Crit. I just saved your life, Spy. I just saved your life. Holy shit.
[457.49s -> 476.45s]  No. Aha. Protecting the teleporter. I am the protector. You will never get this teleporter,
[476.45s -> 483.30s]  for I, I just want to, I just want to turn somebody into a fucking turkey. I just want to,
[483.30s -> 490.99s]  I want to turkey somebody. You know what? You're on this corner. Hold on. I can get this entry.
[490.99s -> 498.96s]  Whoa, whoa, whoa, whoa, whoa. He just picked it up. What? What the fuck was that? What the,
[500.77s -> 511.98s]  just, just. So I just realized something. The short circuit does not have a taunt.
[511.98s -> 518.06s]  Why is that? Not even like the default just pistol taunt? Like that's weird. Is that one of the only
[518.06s -> 523.25s]  items in this whole game that does not have a taunt? That's pretty crazy if that's true.
[523.25s -> 532.18s]  Demoman, come around the corner. Here we go. Here we go. Ladies and gentlemen, here's the third
[532.18s -> 541.63s]  taunt kill. Fuck you, man. Come on. That is just so, that is just everything wrong with that.
