[0.66s -> 1.16s]  How's it going?
[227.67s -> 228.87s]  Bouncing duck simulator.
[228.87s -> 230.15s]  Start new game.
[237.58s -> 239.10s]  Stir would hate this game.
[242.14s -> 242.74s]  Oh, that's right.
[242.74s -> 243.02s]  Yes.
[243.02s -> 244.46s]  Durr would hate this.
[248.91s -> 249.27s]  All right.
[249.27s -> 251.99s]  So we woke up, we're in a, we're in a room.
[254.02s -> 254.26s]  Okay.
[254.30s -> 257.06s]  This mouse sensitivity is very high.
[257.06s -> 257.58s]  Hold on.
[260.27s -> 261.67s]  Uh, give me one sec.
[261.83s -> 263.43s]  How do I turn the mouse sensitivity down?
[264.10s -> 264.54s]  I do.
[264.58s -> 264.90s]  Okay.
[264.94s -> 266.66s]  Wait, can I do it through here?
[270.34s -> 272.26s]  How do I change the DPI of my mouse?
[272.94s -> 273.90s]  Does anybody know?
[277.43s -> 280.51s]  How do I affect the DPI of my mouse?
[285.62s -> 286.78s]  You're a grown ass man.
[286.82s -> 287.32s]  Yeah.
[289.46s -> 293.02s]  Wait, do I have to open up my like razor program?
[293.66s -> 294.16s]  Okay.
[294.16s -> 294.66s]  Razor.
[296.56s -> 300.24s]  This is the thing that I force quit every single time it opens, but I'm opening it
[300.24s -> 300.92s]  for real now.
[303.78s -> 303.98s]  Okay.
[303.98s -> 304.48s]  Here it is.
[305.02s -> 305.54s]  Okay.
[306.56s -> 308.60s]  Uh, I don't have performance.
[311.47s -> 311.87s]  Okay.
[311.87s -> 312.63s]  Sensitivity.
[312.63s -> 314.19s]  The number of dots per inch.
[314.81s -> 317.98s]  It's currently at, I'm going to put it at 800.
[318.30s -> 318.94s]  See if that helps.
[320.72s -> 321.24s]  Holy shit.
[321.24s -> 321.96s]  This sucks.
[323.03s -> 323.79s]  How's it in here though?
[326.73s -> 328.25s]  Ooh, that's actually much better.
[328.45s -> 329.37s]  It has to be even lower.
[329.37s -> 332.99s]  Hold on.
[333.17s -> 333.73s]  Even lower.
[333.73s -> 336.05s]  Like one, like 600 probably.
[338.06s -> 338.58s]  Oh my God.
[338.58s -> 339.18s]  This is awful.
[342.28s -> 342.48s]  All right.
[342.48s -> 342.98s]  There we go.
[343.12s -> 343.92s]  I think that's okay.
[344.68s -> 346.08s]  I might have to lower it a little more later.
[346.67s -> 347.79s]  Why did I turn it off?
[354.24s -> 354.74s]  Okay.
[355.99s -> 357.07s]  That's much better.
[357.11s -> 358.31s]  Like a million times, but okay.
[358.31s -> 359.39s]  13, five, six.
[359.39s -> 359.89s]  What does this mean?
[359.91s -> 360.41s]  Zero.
[360.47s -> 360.97s]  What's up?
[363.20s -> 364.72s]  Okay. That's turning music on and off.
[367.59s -> 368.63s]  I mean, we're going to keep the music on.
[370.36s -> 371.00s]  Is there a sprint?
[376.32s -> 376.82s]  What do I get?
[376.84s -> 377.52s]  What do I get a duck?
[383.48s -> 384.20s]  Oh, wait, we're here.
[387.24s -> 389.96s]  Poke is worried that you're going to hate this and be mad at him.
[393.20s -> 393.72s]  That was okay.
[393.72s -> 394.64s]  This is loud.
[394.96s -> 396.16s]  I'm, I'm turning it down.
[399.31s -> 400.19s]  Oh, poke, poke.
[400.19s -> 402.91s]  Our friendship relies on me enjoying this game.
[402.99s -> 403.49s]  Uh oh.
[406.41s -> 407.49s]  He's nervous.
[407.61s -> 408.53s]  I'm going to love it.
[408.73s -> 411.05s]  It's a game where you, you don't have that to play.
[411.95s -> 413.35s]  I love these kinds of games.
[414.83s -> 418.71s]  Poke. One of my favorite games of all time is a game where you clean houses and
[418.91s -> 421.15s]  like hit walls with a fucking sledgehammer.
[421.81s -> 422.85s]  I, we're going to, it's going to be fine.
[427.40s -> 428.28s]  I just got 10 bounces.
[428.56s -> 429.28s]  That's gotta be a record.
[432.64s -> 435.68s]  Okay. So a whole left click and then left go to throw it.
[439.32s -> 440.32s]  Okay. What does right click do?
[443.60s -> 444.32s]  I'm going to do the thing.
[444.72s -> 446.08s]  I'm going to take my bouncy ball.
[446.08s -> 451.41s]  I'm going to run, sprint, hop, hop, hop, jump at the ground as hard as I can.
[453.30s -> 453.98s]  It didn't really work.
[457.57s -> 458.57s]  Can I spawn more than one?
[463.06s -> 463.56s]  No.
[464.13s -> 465.37s]  I only have 27 bounces.
[465.37s -> 469.54s]  What, how do I get more into the corner?
[474.94s -> 477.26s]  I probably get, if I get to a hundred, I bet it changes.
[488.96s -> 490.60s]  I kind of feel like a dog right now, but that's all right.
[498.22s -> 500.14s]  What happens when I get to a hundred?
[506.50s -> 507.14s]  99. All right.
[507.14s -> 508.38s]  This is it. 100.
[510.22s -> 510.72s]  I just got it.
[513.02s -> 513.50s]  Oh shit.
[513.50s -> 515.50s]  All right. So now I can press this button.
[519.45s -> 521.85s]  I have two, I have two ducks in here now.
[523.22s -> 523.72s]  What is this?
[525.36s -> 525.86s]  Health?
[527.18s -> 527.82s]  What do I do with that?
[535.80s -> 537.24s]  Can I feed it to the duck or something?
[540.62s -> 541.54s]  Whoa. Okay.
[541.54s -> 542.04s]  It's bigger.
[546.31s -> 547.91s]  Does this count for more bounces?
[549.02s -> 549.74s]  It was a battery.
[549.78s -> 550.42s]  All right. Well, all right.
[550.42s -> 551.06s]  I get it. I get it.
[551.06s -> 552.30s]  I know. I get the game now.
[557.86s -> 559.02s]  Poke. Don't ever call me ever again.
[559.46s -> 559.96s]  I'm just kidding.
[569.46s -> 571.46s]  I think I actually, I'm going to really like this.
[571.50s -> 572.30s]  I get it.
[574.30s -> 575.86s]  I get what's going on right now.
[576.46s -> 577.10s]  I'm into this.
[581.74s -> 582.34s]  I got to get to two.
[582.34s -> 583.10s]  What? 500?
[585.75s -> 592.14s]  I'm going, I think going in the corner corner, we'll get at least three or four.
[592.14s -> 592.46s]  Right?
[592.50s -> 593.98s]  If we stuff it in here and get it glitched.
[597.84s -> 598.60s]  That's a good strategy.
[598.80s -> 599.76s]  500. I'm going 500.
[604.68s -> 605.18s]  Shit.
[605.32s -> 606.04s]  Whoa. I got more.
[609.50s -> 610.50s]  Can I pick up more than one?
[614.22s -> 615.68s]  These things are worth two.
[616.08s -> 616.58s]  Watch this.
[616.88s -> 617.64s]  Can I pick up more than one?
[627.57s -> 628.07s]  Okay.
[629.04s -> 630.84s]  I love how this game was recommended for me.
[632.08s -> 632.58s]  Hey man.
[632.88s -> 635.20s]  I got a great game that I think you'll really like.
[635.70s -> 636.38s]  Oh, what is it?
[637.10s -> 637.98s]  Baldur's Gate 3.
[638.68s -> 639.36s]  Strategy.
[640.02s -> 641.06s]  RPG elements.
[641.88s -> 643.08s]  There's a lot of decision-making.
[644.20s -> 644.70s]  Not that one.
[645.73s -> 646.73s]  Armored Core 6.
[647.01s -> 647.97s]  Action-oriented.
[648.41s -> 654.45s]  Tons of difficult boss encounters and tons of upgrades to put in your character and make a mech that you can fight with.
[655.29s -> 655.93s]  Not that one either.
[657.05s -> 660.13s]  Dude, I think you'd be a huge fan of Zelda Tears of the Kingdom.
[660.41s -> 664.77s]  You can explore a vast, incredibly large open world.
[665.13s -> 667.09s]  And create any- No, not that one either.
[668.86s -> 670.46s]  I'd like to have you play with toys.
[671.85s -> 672.69s]  Now that one.
[672.81s -> 674.45s]  That's the one for you.
[679.76s -> 682.08s]  I'm just chasing around dog toys.
[685.01s -> 686.53s]  Is this what Otto feels like?
[691.26s -> 692.66s]  He's got Otto brain.
[693.34s -> 694.06s]  Oh, I got another one.
[694.14s -> 694.64s]  Oh, look.
[694.74s -> 695.62s]  Another thing to press.
[698.26s -> 698.76s]  Yes.
[699.73s -> 700.23s]  What is it?
[702.01s -> 702.93s]  All right. This is a big deal.
[704.12s -> 708.56s]  Do I give the battery to the pink one or to the yellow one?
[714.07s -> 716.79s]  Should we keep them the same size or?
[719.46s -> 720.18s]  I'm going for that.
[721.33s -> 722.17s]  To me, that was the right.
[724.77s -> 728.19s]  All right. What about like, wait, I can't pick it up anymore.
[729.46s -> 730.18s]  Why can I not pick it up?
[733.59s -> 734.09s]  How much is it?
[734.11s -> 735.03s]  Wait, I can't pick it up.
[736.68s -> 743.70s]  Oh, that's worth 10 now.
[743.70s -> 744.20s]  I think.
[744.89s -> 745.49s]  All right. I got it.
[746.93s -> 747.81s]  Just keep throwing shit at it.
[754.70s -> 755.38s]  You ruined it.
[755.38s -> 756.10s]  You need to restart.
[757.86s -> 758.36s]  No, I'm good.
[759.14s -> 759.64s]  I'll be okay.
[765.91s -> 766.51s]  Nice. Okay.
[766.51s -> 767.19s]  Thousand.
[772.92s -> 773.60s]  That one's different.
[775.34s -> 777.18s]  Okay. This one is permanently bouncing.
[779.31s -> 779.83s]  We're going to have to.
[779.83s -> 781.91s]  Okay. When we get the next level up, we're giving it to that one.
[784.37s -> 789.29s]  Also, by the way, I do apologize for anybody that does have a dog in the room and you're listening to this with a speaker.
[791.90s -> 792.74s]  Honestly, I can't.
[792.74s -> 793.82s]  There's not much I can do about it.
[794.02s -> 803.58s]  It's either that or turn off the volume, but I'm probably making a lot of your dogs head tilt at your computer right now.
[804.22s -> 805.42s]  And I, for that, I apologize.
[808.51s -> 809.51s]  All right. We got more.
[810.71s -> 811.59s]  Almost at 1500.
[813.15s -> 813.67s]  This one's different.
[813.67s -> 814.35s]  This one's like glass.
[815.18s -> 815.68s]  What is this one?
[817.84s -> 818.60s]  Can I break this one?
[818.60s -> 819.32s]  I'm scared to break it.
[821.47s -> 822.51s]  This is worth a hundred.
[822.95s -> 823.63s]  How much is that worth?
[825.27s -> 825.77s]  Okay, dude.
[826.23s -> 835.31s]  Oh, oh, I don't know if I did that wrong, but whatever.
[838.73s -> 842.33s]  All right. We have to focus on bouncing the big one with the little one.
[842.45s -> 845.21s]  That one's just a permanent stat increases.
[845.21s -> 848.06s]  So I'm gonna play this for at least a couple hours.
[848.10s -> 849.86s]  Like, that's what's happening today.
[854.09s -> 854.59s]  Ow!
[859.80s -> 861.32s]  Is this a pre-recorded stream?
[861.32s -> 861.82s]  No.
[863.66s -> 864.54s]  Wait, I can press the button.
[868.10s -> 868.62s]  All right. All right.
[868.62s -> 870.54s]  All right. This is, this is really important.
[870.58s -> 875.17s]  I'm going to give this to you because I want you to get, that's the right call, right?
[877.98s -> 880.82s]  Min maxing this, you would give them all to this eventually.
[881.18s -> 881.68s]  All right, here we go.
[883.65s -> 884.17s]  What's that giving me?
[886.54s -> 887.46s]  That's 20 each one.
[888.29s -> 889.17s]  All right. Keep that one moving.
[889.61s -> 890.93s]  Can I trap that in a corner or something?
[902.30s -> 904.06s]  Is he going to play this for 52 hours?
[904.74s -> 905.38s]  Not that long.
[907.60s -> 910.60s]  I do want to get to at least a million bounces.
[910.92s -> 911.80s]  Is that going to take a long time?
[914.18s -> 915.62s]  Is that going to take like more than two hours?
[921.25s -> 921.75s]  More.
[922.40s -> 922.90s]  More!
[925.79s -> 927.19s]  Okay. That one, all this one's metal.
[930.61s -> 931.49s]  I wonder if this one breaks.
[934.39s -> 935.07s]  Is that worth anything?
[939.92s -> 940.42s]  I can't tell.
[940.52s -> 941.28s]  That's not very much.
[944.42s -> 946.06s]  Maybe, I guess it moves more?
[947.72s -> 948.22s]  Heavier?
[959.37s -> 959.87s]  Nice.
[963.31s -> 964.35s]  I'm definitely gonna get to a million.
[964.35s -> 964.85s]  Easy.
[968.22s -> 971.58s]  I have so much training playing any video game on the iPad.
[972.87s -> 973.91s]  I'm going to be really good at this.
[979.94s -> 982.58s]  It kind of sounds like they're like yelling at each other or something.
[982.78s -> 994.84s]  He's an iPad baby.
[995.04s -> 996.20s]  I'm already at 10,000.
[996.20s -> 997.32s]  You don't think I'm going to get to a million?
[1002.49s -> 1003.21s]  All right. What do I up?
[1003.25s -> 1004.49s]  I'm going to upgrade this one again.
[1005.05s -> 1006.25s]  It's just too consistent.
[1013.66s -> 1014.42s]  I mean, the game is corrupt.
[1020.42s -> 1022.26s]  Is that going to keep, is that going to keep going the whole time?
[1026.69s -> 1028.53s]  That's not going to stay there the whole time, right?
[1029.86s -> 1033.54s]  Because I don't think I can sit in this room for two, more than an hour,
[1033.82s -> 1034.78s]  listening to this on loop.
[1048.11s -> 1049.15s]  Well, this one's magical.
[1051.06s -> 1051.56s]  What if I do this?
[1052.34s -> 1052.84s]  Shit.
[1061.12s -> 1061.62s]  All right.
[1062.98s -> 1065.70s]  I might have to put my own music on.
[1066.26s -> 1067.10s]  I'm going to have to put my own.
[1067.98s -> 1069.86s]  All right. At what point have I won listening to this?
[1071.06s -> 1072.42s]  Does anybody, anybody want to tell me?
[1072.42s -> 1073.42s]  At what point have I won?
[1076.55s -> 1077.15s]  30 minutes?
[1079.84s -> 1080.76s]  What if I just do it again?
[1085.00s -> 1085.50s]  Get over here.
[1090.18s -> 1095.32s]  Oh, get the fuck over here.
[1105.83s -> 1109.71s]  You're doing, you're doing like what every cartoon character in every single
[1109.71s -> 1111.51s]  piece of media does when they have sugar.
[1118.68s -> 1120.32s]  I don't, I don't think I can, I can't pick it up.
[1128.72s -> 1129.22s]  All right.
[1129.22s -> 1130.84s]  Where's the, where is it?
[1133.96s -> 1134.92s]  No, I lost it.
[1136.08s -> 1137.00s]  Oh my God.
[1150.59s -> 1151.09s]  Shit.
[1152.33s -> 1152.85s]  All right. All right.
[1152.85s -> 1153.29s]  All right. Right.
[1153.29s -> 1154.41s]  Right. I have to just yield it.
[1156.43s -> 1157.19s]  I'm giving it to this one.
[1169.98s -> 1174.30s]  If I knew that I was going to do nonstop Nyan cat, we would not be in this
[1174.30s -> 1176.30s]  scenario right now, but here we are.
[1189.63s -> 1191.43s]  If what, what 50 K is going to give me something good.
[1191.43s -> 1191.93s]  Probably. Right.
[1194.15s -> 1194.95s]  Should I break this?
[1201.88s -> 1202.60s]  All right. 50 K.
[1207.34s -> 1208.02s]  What's this one?
[1209.16s -> 1210.08s]  This one's just a regular one.
[1217.51s -> 1218.07s]  It's a blue one.
[1218.07s -> 1218.57s]  Yeah.
[1219.88s -> 1221.76s]  This thing is somehow not hitting anything in the room.
[1225.95s -> 1226.95s]  What is this giving for points?
[1227.35s -> 1227.99s]  Like 80.
[1231.06s -> 1233.14s]  All right. We got to actually start to use skill here.
[1235.41s -> 1236.81s]  This feels like an experiment.
[1238.83s -> 1239.87s]  A hundred K is going to get something good.
[1239.87s -> 1240.37s]  Right?
[1249.12s -> 1250.04s]  What's pokes high score.
[1254.51s -> 1254.83s]  I should wait.
[1254.83s -> 1255.19s]  Don't tell me.
[1255.19s -> 1255.55s]  Don't tell me.
[1255.55s -> 1255.91s]  Don't tell me.
[1255.91s -> 1256.41s]  Nobody tell me.
[1256.59s -> 1257.11s]  Nobody tell me.
[1257.15s -> 1260.67s]  Uh, clear chat, mods, clear chat, mods, clear chat, mods, clear chat,
[1261.59s -> 1262.35s]  mods, clear chat.
[1262.95s -> 1263.45s]  Nobody tell me.
[1266.44s -> 1268.72s]  I have to, I have to beat pokes, uh, score, whatever it is.
[1281.68s -> 1282.32s]  72.
[1282.36s -> 1283.00s]  I got to get to a hundred K.
[1290.77s -> 1292.29s]  I have to turn this off at some point.
[1292.93s -> 1294.93s]  I personally can't take this.
[1296.72s -> 1298.28s]  I personally don't think I could take this.
[1298.72s -> 1300.96s]  This not the game, this song.
[1302.51s -> 1304.55s]  Look, it's a classic classic song.
[1305.96s -> 1313.96s]  Wait, that's another power up.
[1314.60s -> 1314.80s]  All right.
[1314.80s -> 1316.40s]  Can I please feed it to you?
[1317.75s -> 1318.71s]  Do you turn into something else?
[1324.20s -> 1324.44s]  Come here.
[1324.44s -> 1324.60s]  Come here.
[1324.60s -> 1324.84s]  Come here.
[1332.35s -> 1333.11s]  I'm just gonna stand still.
[1333.15s -> 1333.83s]  It'll hit me eventually.
[1340.50s -> 1341.98s]  It's given a lot of points though.
[1342.46s -> 1342.90s]  Right here.
[1343.18s -> 1347.32s]  Stupid.
[1360.51s -> 1361.63s]  I can't track it.
[1364.13s -> 1365.09s]  Just give it to the crystal.
[1366.44s -> 1367.16s]  Oh, I can't.
[1368.72s -> 1370.76s]  Um, who should I give it to?
[1372.88s -> 1373.80s]  Is this it fully upgraded?
[1373.80s -> 1374.76s]  What about the King?
[1375.62s -> 1375.90s]  No.
[1376.46s -> 1377.46s]  Uh, what about blue?
[1381.86s -> 1382.30s]  No.
[1382.74s -> 1383.54s]  Who can I give this to?
[1387.44s -> 1387.92s]  Whoa.
[1389.72s -> 1390.84s]  Somebody just to throw pink.
[1390.88s -> 1392.76s]  Oh, guys make one.
[1392.88s -> 1393.68s]  Hold on a second.
[1393.72s -> 1394.40s]  I just made.
[1396.85s -> 1398.29s]  Oh dear God.
[1399.27s -> 1400.19s]  Oh dear God.
[1409.06s -> 1418.04s]  Uh, where's wait, I need both of you over here in the corner.
[1418.56s -> 1419.24s]  No shit.
[1419.32s -> 1419.64s]  Come here.
[1422.42s -> 1427.87s]  Can I crouch a hundred thousand bounces?
[1427.87s -> 1428.23s]  Let's go.
[1431.56s -> 1431.88s]  Okay.
[1433.66s -> 1434.34s]  How much is this one worth?
[1434.94s -> 1435.70s]  That's a lot.
[1435.70s -> 1444.36s]  I think this, ah, it's a bomb.
[1444.40s -> 1444.80s]  It's a bomb.
[1444.80s -> 1445.24s]  That's a bomb.
[1445.24s -> 1445.56s]  It's a bomb.
[1445.56s -> 1445.88s]  It's a bomb.
[1445.88s -> 1446.20s]  It's a bomb.
[1446.68s -> 1447.24s]  Just leave it over there.
[1452.34s -> 1454.18s]  I want to shut that off so bad.
[1462.52s -> 1464.00s]  I used to, how do I upgrade?
[1464.98s -> 1466.14s]  Who wants to upgrade?
[1466.18s -> 1466.78s]  What about you?
[1472.82s -> 1473.46s]  Get over here.
[1475.08s -> 1476.20s]  Why can't I upgrade anybody?
[1478.54s -> 1479.14s]  Oh shit.
[1479.14s -> 1479.90s]  That turned gold.
[1493.03s -> 1494.15s]  Should I blow one of these up?
[1495.56s -> 1496.20s]  I'm afraid of this.
[1505.26s -> 1506.06s]  I, we need to make more.
[1517.18s -> 1517.94s]  This is so loud.
[1517.94s -> 1518.86s]  I'm so glad I turned it down.
[1523.00s -> 1527.13s]  I think it's all about making, um, I think I honestly, I think it's all about putting
[1527.13s -> 1529.49s]  on the plock OST in five minutes.
[1530.30s -> 1530.74s]  You know what I mean?
[1540.04s -> 1540.80s]  I'm into this though.
[1540.96s -> 1544.19s]  I I'm definitely into, uh, I want to keep this going.
[1544.19s -> 1545.19s]  I want to get, I gotta get to a million.
[1547.25s -> 1550.61s]  If you're going to open this game, you'd better get to a million points.
[1551.05s -> 1552.21s]  Otherwise, why did you open it?
[1553.23s -> 1554.27s]  Why did you open the game?
[1554.27s -> 1554.55s]  Right?
[1555.03s -> 1555.63s]  I think that's fair.
[1562.57s -> 1567.72s]  Each one of these bounces from the baby is given, uh, at least one.
[1573.77s -> 1574.33s]  He's in the way.
[1574.37s -> 1574.89s]  Let me move him.
[1587.49s -> 1589.01s]  I hate when it flies by my head.
[1589.65s -> 1591.87s]  It's like somebody's zooming by me.
[1594.34s -> 1598.46s]  It's like when a fly flies right next to your head and it's in full stride and you
[1598.46s -> 1602.34s]  get that by your, oh, imagine if they played Nyan cat.
[1606.09s -> 1606.85s]  Another one of these.
[1610.85s -> 1612.53s]  One 50 probably is a milestone somehow.
[1623.94s -> 1625.70s]  I talk about like YouTube shorts.
[1625.74s -> 1626.06s]  Oh yeah.
[1626.06s -> 1630.26s]  I checked out YouTube shorts the other day and oh, I wasn't a big, I wasn't a fan.
[1631.13s -> 1633.33s]  And this is what I'm exposing all of you to.
[1636.16s -> 1638.72s]  There's a, there's a little bit of hypocrisy there.
[1660.13s -> 1661.13s]  I'm just going to focus on this.
[1678.45s -> 1682.75s]  Folks said, dude, he just disappeared from my friends list.
[1689.81s -> 1691.01s]  Just like, oh, he, why is he not?
[1691.05s -> 1692.33s]  Why is it not online anymore?
[1692.33s -> 1692.97s]  What happened?
[1693.13s -> 1695.13s]  I, is he, is he appearing offline or what happened?
[1697.30s -> 1706.57s]  No, if anything, poke, this strengthened our friendship.
[1707.45s -> 1708.65s]  I just want to make sure you understand that.
[1712.61s -> 1714.25s]  This, this strengthened our bond.
[1718.64s -> 1719.44s]  What's the goal?
[1722.10s -> 1723.02s]  Well, that's simple.
[1724.80s -> 1727.44s]  Number on right side of screen goes up.
[1728.20s -> 1728.64s]  That's it.
[1729.52s -> 1731.92s]  It's pretty, I mean, it's pretty self-explanatory, I think.
[1747.93s -> 1749.53s]  Number on screen go up.
[1751.26s -> 1751.78s]  I like.
[1760.00s -> 1764.04s]  Oh, will we, will we, I can't fucking do it.
[1764.84s -> 1769.32s]  Will we reach 500,000 subs today, guys?
[1769.36s -> 1770.32s]  I don't know.
[1770.68s -> 1772.44s]  I have a feeling it's possible.
[1774.44s -> 1778.28s]  Will we cross 200,000 subs tonight?
[1783.48s -> 1786.32s]  What would I have had to have done to get this many subs immediately?
[1790.34s -> 1795.57s]  What would be causing this amount of people to sub to a channel this fast?
[1796.25s -> 1797.05s]  What would it take?
[1799.58s -> 1802.02s]  Is this what, this is what happens if I shove the baseball up my ass?
[1802.02s -> 1802.54s]  Somebody said.
[1812.29s -> 1818.61s]  I'm not, I'm not, I am not shoving a baseball up my ass until we hit a million subs.
[1818.61s -> 1818.97s]  Right?
[1819.97s -> 1820.77s]  Let's just sit here.
[1821.25s -> 1821.73s]  Just what?
[1821.73s -> 1822.41s]  Just holding it.
[1831.52s -> 1833.28s]  I feel like it would be going down.
[1833.48s -> 1834.76s]  This would be going down.
[1835.73s -> 1836.77s]  This would not be going up.
[1836.77s -> 1837.93s]  This would be going down.
[1845.78s -> 1849.86s]  No, this is very, hey, everybody in chat, quiet for a second.
[1850.30s -> 1853.02s]  We're talking about a comedic jokey thing.
[1853.50s -> 1854.78s]  This is not a real thing.
[1854.78s -> 1856.42s]  We're just talking about a jokey thing.
[1856.54s -> 1860.65s]  This is me pretending, please for the love of God, stop it.
[1861.41s -> 1861.89s]  Stop.
[1861.93s -> 1864.85s]  We already crossed a million followers in the channel like a year ago.
[1865.05s -> 1866.45s]  So excuse me.
[1874.26s -> 1874.42s]  All right.
[1874.42s -> 1875.62s]  We'll check back in on that later.
[1881.27s -> 1881.43s]  All right.
[1881.43s -> 1881.95s]  What's the next one?
[1883.12s -> 1884.96s]  Ooh, what are we going to upgrade?
[1885.60s -> 1886.28s]  What can I upgrade?
[1892.96s -> 1893.44s]  The bomb?
[1899.86s -> 1901.06s]  I don't think you can upgrade some of them.
[1902.20s -> 1903.84s]  Some of them just cannot be upgraded.
[1904.68s -> 1905.72s]  What about one of the little babies?
[1918.16s -> 1919.16s]  I got to get my subs up.
[1924.31s -> 1926.63s]  Oh, I farted.
[1929.79s -> 1930.19s]  It's working.
[1930.19s -> 1930.55s]  It's working.
[1941.64s -> 1942.72s]  Oh no, they're going to go down.
[1947.29s -> 1947.69s]  All right.
[1947.69s -> 1948.09s]  All right.
[1948.37s -> 1950.17s]  I have to turn this fucking audio off.
[1950.53s -> 1958.78s]  Is it going to explode?
[1967.28s -> 1970.88s]  That honestly, that sounds like a, that sounds like a video that would be made in
[1970.88s -> 1971.80s]  2023, right?
[1973.32s -> 1974.96s]  On the wall here, I have my sub count.
[1976.18s -> 1979.74s]  I have to be in this room until my subs go over a million.
[1981.32s -> 1984.24s]  I cannot leave the room until it crosses that threshold.
[1995.36s -> 1995.92s]  I need more of these.
[1996.98s -> 1997.30s]  Look at this.
[1997.62s -> 1998.02s]  Look at this.
[1998.30s -> 1998.94s]  There's something here.
[1999.10s -> 1999.90s]  There's something on this wall too.
[1999.90s -> 2000.10s]  Look.
[2001.22s -> 2001.54s]  See this?
[2002.54s -> 2003.50s]  This like panels.
[2003.66s -> 2004.46s]  I'll probably get to open them.
[2004.78s -> 2005.18s]  I bet.
[2007.61s -> 2007.77s]  All right.
[2007.77s -> 2008.05s]  What was that?
[2008.05s -> 2008.45s]  Two 50.
[2008.45s -> 2009.13s]  What happens in two 50?
[2011.95s -> 2013.27s]  Maybe smash them with the metal duck.
[2013.75s -> 2014.03s]  Okay.
[2015.14s -> 2019.06s]  I mean that very clearly, it probably, maybe you upgrade it and it opens to like
[2019.06s -> 2019.94s]  another button to press.
[2020.89s -> 2021.09s]  All right.
[2021.09s -> 2025.67s]  Where is, where is the metal duck over here?
[2029.37s -> 2030.77s]  That was, it's so loud.
[2031.82s -> 2033.18s]  So you say smash this against the wall.
