[0.31s -> 13.50s]  Hey, what is going on, everybody? Jerma here with a Team Fortress 2 gameplay commentary.
[224.17s -> 228.41s]  or during a stalemate, the buff banner is going to help you out big time.
[228.41s -> 232.97s]  Getting the crit screak right there, but it doesn't really do me a whole lot, get myself killed.
[232.97s -> 235.97s]  I think I get maybe two people with that, pretty sure.
[235.97s -> 240.21s]  But now when you start to hear this noise, when you start to hear that,
[240.21s -> 245.21s]  you know you really got to step your game up a little bit because look at where the cart is.
[245.21s -> 249.77s]  It is literally, if somebody sneezes on that cart, we're done.
[249.77s -> 252.77s]  So I get a heavy off guard here, he comes around the corner with his gloves out,
[252.77s -> 255.77s]  wasn't really prepared for anybody, and they end up faking him out too.
[255.77s -> 258.77s]  Watch, he thinks I'm going to come around this corner, but no, I go this way instead.
[258.77s -> 262.77s]  Get the kill on him, do a little bit of backtracking right here, don't want to get myself killed,
[262.77s -> 265.77s]  get lit on fire and run towards the health.
[265.77s -> 272.77s]  And now this is where I want to talk about the black box and medic healing thingamajigga that I was talking about before.
[272.77s -> 278.26s]  So keep your eye on the lower left, I'm going to slow this down a little bit, so let's watch.
[278.26s -> 281.26s]  Take a look, I never get overhealed during this entire time,
[281.26s -> 284.26s]  and look at how many people are coming around this corner.
[284.26s -> 289.26s]  I am able to sustain all this damage because of course I'm being healed by a medic,
[289.26s -> 292.26s]  and because of all the plus 15s I'm getting.
[292.26s -> 294.26s]  There's plus 15 there, plus 15 there.
[294.26s -> 299.26s]  They never get me to a point where I'm in the red, which is incredibly important.
[299.26s -> 303.57s]  Now obviously the counterpoint to this whole thing, the argument that people will have is,
[303.57s -> 310.57s]  Well, you're missing one rocket, and the only gain you're getting is helping your medic out a little bit while he heals you,
[310.57s -> 314.57s]  and he's going to heal you anyway, so you shouldn't really lose that extra rocket.
[314.57s -> 318.94s]  Now I do agree with this to an extent, but if you're on a team with a lot of people,
[318.94s -> 322.94s]  and the medics are going around healing everybody, you're not being pocketed,
[322.94s -> 325.11s]  then definitely yes, this is something to look into.
[325.11s -> 332.11s]  Now if you are being pocketed 100% by somebody, then yes, this is not really the best option,
[332.11s -> 337.11s]  but it still can work, as you saw just right there, it still works very well.
[337.11s -> 341.54s]  And to be completely honest with you, I probably should have switched rocket launchers at this point,
[341.54s -> 346.54s]  or maybe 30 or 40 seconds before this, only because I'm being pocketed right now.
[346.54s -> 351.54s]  But as you can see, there's not that much time left, so I figured why the hell not, I'm going to stick with it.
[351.54s -> 355.54s]  So this is going to be the end of the gameplay guys, less than 10 seconds left.
[355.54s -> 360.72s]  We push them all the way back to their spawn, and they had a chance to cap it a couple of times,
[360.72s -> 368.09s]  so don't ever give up. So I'll see you guys all next time, and take care everybody. See you soon.
