[3.45s -> 13.74s]  Hey, what is going on guys? It's Jerma here again with a Team Fortress 2 gameplay commentary.
[237.86s -> 240.40s]  Oh, I got 17.
[240.40s -> 244.70s]  Hey, you want to go kill the whole team right now? It's like, it's a no brainer.
[244.70s -> 249.88s]  So I just skipped that part right there. That was me building the sentry gun and it took about 30 seconds maybe.
[249.88s -> 254.88s]  It's nothing happened. I didn't die. It was just really boring. So I didn't want to have you guys have to sit through that.
[254.88s -> 257.88s]  But killing that sniper right there, people freak out.
[257.88s -> 263.88s]  I've said this before in other gameplay commentaries that when you get hit by a crit, when you get shot in the stomach by a crit,
[263.88s -> 266.88s]  whether it's a rocket, whether it's a shotgun, doesn't matter.
[266.88s -> 270.88s]  You freak out a little bit and you go, Okay, there's crits. I got to run by.
[270.88s -> 272.88s]  Oh, by the way, one shot kill right there.
[272.88s -> 274.88s]  But you guys know what I mean, right?
[274.88s -> 279.88s]  When you see a crit screen, when a medic pops a crit screen on somebody and their weapons are glowing,
[279.88s -> 284.06s]  you immediately go, Here comes crits. I'm gonna die.
[284.06s -> 288.36s]  The same thing can be said about somebody that has a frontier justice that's glowing.
[288.36s -> 293.36s]  Even when I'm not playing engineer, I could be playing soldier or I could be playing spy.
[293.36s -> 298.36s]  And if I see the glowing shotgun, I go, Oh, shit.
[298.36s -> 301.73s]  And I either back up or I go for another target.
[301.73s -> 303.73s]  That's what goes through everybody's mind.
[303.73s -> 307.16s]  So this is the second sentry that's built to completion now.
[307.16s -> 310.16s]  Get a few kills. That spy was definitely a dead ringer.
[310.16s -> 314.16s]  You can always tell when a spy's a dead ringer when you shoot them one time from far away
[314.16s -> 317.16s]  and it does two damage, but it magically kills them.
[317.16s -> 320.16s]  So dead ringer spies, I do that too, though. Everybody does that.
[320.16s -> 321.16s]  Doesn't really matter.
[321.16s -> 327.40s]  So I got four kills on this sentry and I kind of do something really, really outrageous
[327.40s -> 332.40s]  and not recommended to most people that are playing engineer because we have this one point.
[332.40s -> 334.40s]  We only have three minutes to go.
[334.40s -> 338.40s]  And I destroy this sentry to get the crits.
[338.40s -> 341.40s]  I'm such a greedy bastard right here. You'll see. Ready?
[341.40s -> 344.40s]  Oh, this is a good idea. Yeah, let me just destroy the sentry.
[344.40s -> 348.40s]  But if you're quick enough, you can get a sentry built back to completion pretty quickly,
[348.40s -> 352.40s]  especially when I have that dispenser right there, a full level three dispenser.
[352.40s -> 354.40s]  I'm not worried about it at all.
[354.40s -> 357.40s]  Right now, I'm just curious. I want to try and look around, try and get some more kills.
[357.40s -> 362.40s]  Soldier right in his face, 180 damage. Remember how I said that before, 180.
[362.40s -> 365.70s]  Looking around, perusing, seeing if I can get a shot on somebody, get a kill.
[365.70s -> 369.70s]  I miss a few times, but I get the kill on him anyways from long range crit.
[369.70s -> 371.70s]  Guys, don't be afraid to do this.
[371.70s -> 375.70s]  If you're afraid to do this, if you think you need to stand by your sentry at all times
[375.70s -> 379.70s]  and guard it with your life, I mean, that's true.
[379.70s -> 382.70s]  But it's not true enough where you can't go have a little bit of fun.
[382.70s -> 387.70s]  Remember, a spy is going to try and backstab you and take out your sentry and all your buildings.
[387.70s -> 390.70s]  So what happens if a spy just saps all that stuff right now?
[390.70s -> 394.88s]  The map is small enough where I'm going to be able to get back to at least one or two of my buildings.
[394.88s -> 397.88s]  Preferably the dispenser or maybe even the sentry.
[397.88s -> 404.12s]  It's really not a big deal. If I'm standing here the whole time and I get backstabbed by a spy, it's all gone.
[404.12s -> 406.12s]  Everything is going to be gone.
[406.12s -> 410.30s]  So why not utilize your crits and be able to kill some people?
[410.30s -> 413.47s]  And if the stuff gets sapped, you can just turn around and deal with it.
[413.47s -> 419.71s]  Now, I would not advise this strategy on a large map like upward or bad water
[419.71s -> 423.71s]  or any situation where there's a lot of pressure on the point.
[423.71s -> 428.71s]  If there's a lot of pressure, you really do need to stand back at your sentry and make sure it stays up.
[428.71s -> 430.71s]  Make sure there's a guard for the team.
[430.71s -> 434.21s]  But in a situation like this, it's totally okay.
[434.21s -> 438.21s]  As you saw right there, I let that soldier kill the sentry.
[438.21s -> 441.21s]  I'm not trolling this team, don't worry. I'm not like a troll or anything like that.
[441.21s -> 446.21s]  I did that on purpose because I wanted the crits and I was 100% confident that I could get a level 2 up
[446.21s -> 450.21s]  at least within 10 or 12 seconds, which is what happened.
[450.21s -> 452.21s]  The sentry is now level 2.
[452.21s -> 455.21s]  I'm in a different spot right now because we only have one minute left
[455.21s -> 459.38s]  and they haven't even come close to getting onto the point, not even one time.
[459.38s -> 464.38s]  So just hanging out, shooting people with the shotgun, chilling out here, trying to get some more kills with the sentry.
[464.38s -> 467.38s]  Nothing I can really do right now besides kind of hang out with the team.
[467.38s -> 471.38s]  But in my mind, I've been alive for a long time, about 7 or 8 minutes now.
[471.38s -> 475.38s]  I haven't died yet. So I'm considering, okay, I have a lot of kills.
[475.38s -> 479.38s]  I'm trying to break these records. I knew I already broke at least one record.
[479.38s -> 481.38s]  So I come out here just trying to kill some more people.
[481.38s -> 484.38s]  I know we only have 30 seconds left for me to keep padding my record.
[484.38s -> 486.38s]  Spy comes over here and knows he's a dead ringer.
[486.38s -> 490.38s]  So I turn around when I hit the sentry and I get him right in his face.
[490.38s -> 493.38s]  Counting down now, 20 seconds left in the game.
[493.38s -> 495.38s]  We have this in the bag. They're not going to win.
[495.38s -> 497.38s]  So I want to get some more kills.
[497.38s -> 501.38s]  Foolishly come around the corner with just the regular shots and the frontier justice.
[501.38s -> 503.38s]  And I get plowed by that soldier.
[503.38s -> 507.38s]  So, didn't turn out so well, but I broke a bunch of records.
[507.38s -> 509.38s]  I thought that was really cool gameplay.
[509.38s -> 511.38s]  Three seconds left. We win the game.
[511.38s -> 514.38s]  Thanks everybody so much for watching and so much for supporting the channel.
[514.38s -> 516.38s]  I really do appreciate it.
[516.38s -> 519.38s]  I will see you all next time and take care everybody.
