[0.31s -> 8.59s]  Minecraft, Minecraft, Minecraft.
[218.38s -> 222.38s]  All right, just use the charge attacks to push them back.
[222.38s -> 224.38s]  Wait, what do you mean charge attack?
[224.38s -> 227.38s]  If you double tap, you sprint, and then if you hit them while sprinting,
[227.38s -> 228.38s]  it pushes them back.
[228.38s -> 230.88s]  I got a bone.
[230.88s -> 232.88s]  What just happened?
[232.88s -> 235.88s]  Good job luring.
[235.88s -> 240.70s]  Jerma ran right in there.
[240.70s -> 243.70s]  I used my charge and dodge.
[243.70s -> 248.70s]  This was a nice ice cave until that fateful explosion.
[248.70s -> 249.70s]  There's a sign up here, guys.
[249.70s -> 251.70s]  I knew I saw something earlier.
[251.70s -> 252.70s]  Really?
[252.70s -> 255.51s]  Well, look at this hallway.
[255.51s -> 257.88s]  This looks eerie.
[257.88s -> 259.88s]  All right, I'm making some more snow.
[259.88s -> 260.88s]  I'll be back to check on that.
[260.88s -> 261.88s]  There's something else in there, guys.
[261.88s -> 263.88s]  We'll have to go back in a second.
[263.88s -> 264.88s]  We'll die.
[264.88s -> 265.88s]  Is there?
[265.88s -> 266.88s]  A lot.
[266.88s -> 267.88s]  So it's OK.
[267.88s -> 270.38s]  Junction one, no records.
[270.38s -> 271.38s]  What does that mean?
[271.38s -> 272.38s]  Oh.
[272.38s -> 273.38s]  Start.
[273.38s -> 274.38s]  I got it.
[274.38s -> 275.38s]  Start your zone one record.
[275.38s -> 277.38s]  Oh, no.
[277.38s -> 278.38s]  Bye, Lepter.
[278.38s -> 279.38s]  Oh, no.
[279.38s -> 281.38s]  Did you guys just both fall off?
[281.38s -> 282.38s]  Yes.
[282.38s -> 283.38s]  How am I still up here?
[283.38s -> 285.38s]  I'm like the stupid one of the group.
[285.38s -> 287.38s]  There's a hole in the glass.
[287.38s -> 290.19s]  Oh, I'm looking through it right now.
[290.19s -> 294.19s]  I'm like right below the bridge.
[294.19s -> 295.19s]  Stay here.
[295.19s -> 299.19s]  Just take this stuff and keep it safe.
[299.19s -> 300.19s]  OK.
[300.19s -> 302.19s]  Just don't fall.
[302.19s -> 303.19s]  Hey, guys.
[303.19s -> 305.19s]  There's skeletons in that tower.
[305.19s -> 306.19s]  I know.
[306.19s -> 307.19s]  Watch out.
[307.19s -> 308.19s]  I'm going to get knocked down by them.
[308.19s -> 309.19s]  It's going to be gruesome.
[309.19s -> 312.19s]  It's going to be like the other recording, you and I.
[312.19s -> 315.19s]  Oh, we should not have thrown all those snowballs.
[315.19s -> 317.19s]  Yeah, I need them.
[317.19s -> 319.19s]  Dude, those archers are just aiming for you.
[319.19s -> 321.19s]  You're going to get like toasted.
[321.19s -> 322.19s]  I'm past them.
[322.19s -> 324.19s]  There's a chest all the way down there, though.
[324.19s -> 325.19s]  All right.
[325.19s -> 327.19s]  So I got over to here.
[327.19s -> 330.19s]  I'm going to fill in any blatant holes.
[330.19s -> 332.19s]  So we have at least like a two block.
[332.19s -> 334.19s]  Are they shooting at you?
[334.19s -> 336.19s]  No, I'm just like throwing snowballs at them.
[336.19s -> 338.19s]  We need to make the snowballs into snowballs.
[338.19s -> 341.19s]  Don't throw snowballs.
[341.19s -> 346.01s]  I didn't figure that out until it was too late.
[346.01s -> 347.01s]  All right.
[347.01s -> 349.01s]  Look over there in the corner with all those.
[349.01s -> 351.01s]  I got over here.
[351.01s -> 353.01s]  Should we follow you?
[353.01s -> 354.01s]  Well, you can.
[354.01s -> 355.01s]  I mean, don't fall.
[355.01s -> 356.01s]  Run.
[356.01s -> 357.01s]  Yeah.
[357.01s -> 358.01s]  No, don't run.
[358.01s -> 359.01s]  You don't need to run.
[359.01s -> 360.01s]  Oh, no, don't run.
[360.01s -> 361.01s]  You're out of their reach.
[361.01s -> 363.27s]  That's not a good idea.
[363.27s -> 365.27s]  And watch out for the holes in the ground.
[365.27s -> 366.27s]  Yeah.
[366.27s -> 367.27s]  Watch out.
[367.27s -> 368.27s]  I'm filling in a two wide.
[368.27s -> 369.27s]  How do you make those blocks?
[369.27s -> 370.27s]  Is it four snowballs?
[370.27s -> 372.27s]  Yeah, it's a four snowball thing.
[372.27s -> 373.58s]  All right.
[373.58s -> 378.58s]  So if you guys walk here, it's black ice caves.
[378.58s -> 379.58s]  I have one record.
[379.58s -> 387.01s]  Good thing we didn't make, you know, leather stuff.
[387.01s -> 389.01s]  I just fell in the lava.
[389.01s -> 390.01s]  Yeah.
[390.01s -> 391.01s]  Oh, you fell in the lava?
[391.01s -> 392.01s]  Yeah.
[392.01s -> 394.01s]  That was that was what the was.
[394.01s -> 396.01s]  Oh, that was what that noise was.
[396.01s -> 397.01s]  Yes.
[397.01s -> 398.01s]  That's what that was.
[399.01s -> 401.01s]  I'm about to run out of food.
[401.01s -> 403.01s]  I got I got 13 blocks.
[403.01s -> 405.01s]  There's a tree down there.
[405.01s -> 406.01s]  That's what we need.
[406.01s -> 407.01s]  All right.
[407.01s -> 408.01s]  I'm going to get that tree.
[408.01s -> 409.95s]  All right.
[409.95s -> 412.95s]  So I'm going to fall and I'm going to die.
[412.95s -> 415.90s]  No, you don't say that.
[415.90s -> 417.90s]  I can't believe I died.
[417.90s -> 419.90s]  I see more of those.
[419.90s -> 420.90s]  Take more of these blocks.
[420.90s -> 425.22s]  Take some more of that ice cream.
[425.22s -> 427.23s]  Is that all you have?
[427.23s -> 430.60s]  Yeah, that's all I have.
[431.60s -> 433.60s]  I thought we were saved for a second.
[433.60s -> 434.60s]  Jerma comes to the rescue.
[434.60s -> 435.60s]  No.
[435.60s -> 436.60s]  Oh, I know.
[436.60s -> 438.60s]  Wait, maybe, maybe we do because I have a bunch of clay.
[438.60s -> 439.60s]  All right.
[439.60s -> 442.60s]  I got down here.
[442.60s -> 448.60s]  Oh, we have mine carts and mine tracks, which are useless to us.
[448.60s -> 449.60s]  Here we have some.
[449.60s -> 452.60s]  I'm going to get this tree down.
[452.60s -> 453.60s]  Cut this tree down.
[453.60s -> 455.60s]  We need to save it for Christmas.
[455.60s -> 456.60s]  That is a Christmas tree.
[456.60s -> 459.78s]  If I ever saw one, it's it's nighttime.
[459.78s -> 460.78s]  It's nighttime, guys.
[460.78s -> 463.78s]  Just let you know.
[463.78s -> 466.78s]  So we got to build a shelter like ASAP.
[466.78s -> 470.78s]  It's about to get real nasty.
[470.78s -> 474.98s]  We missed what you missed the block of wood up there.
[474.98s -> 479.11s]  Oh, look down here, guys.
[479.11s -> 483.17s]  Oh, you guys.
[483.17s -> 484.17s]  OK.
[484.17s -> 485.17s]  Oh, my God.
[485.17s -> 486.17s]  I just.
[486.17s -> 487.17s]  Oh, my God.
[487.17s -> 488.17s]  I'm OK.
[488.17s -> 489.17s]  Lepter.
[489.17s -> 490.17s]  I'm not OK.
[490.17s -> 491.17s]  I died.
[491.17s -> 492.17s]  What happened?
[492.17s -> 495.17s]  I dropped down on a pressure plate.
[495.17s -> 499.17s]  Oh, there's just like pressure bomb plates all over the place.
[499.17s -> 500.17s]  Apparently.
[500.17s -> 501.17s]  I will not.
[501.17s -> 502.17s]  Oh, my God.
[502.17s -> 505.17s]  So should I eat this bread parkour over that zombie?
[505.17s -> 506.17s]  What?
[506.17s -> 507.17s]  How hungry are you?
[507.17s -> 508.17s]  How bad are you?
[508.17s -> 509.17s]  I'm not that hungry, but I'm going to die.
[509.17s -> 510.17s]  He's going to make it past the creeper.
[510.17s -> 511.17s]  Yes, he does.
[511.17s -> 513.17s]  If you are going to die, then go ahead and eat it.
[513.17s -> 514.17s]  All right.
[514.17s -> 515.17s]  I'm going to eat it.
[515.17s -> 516.17s]  Oh, God.
[516.17s -> 518.43s]  That was delicious.
[518.43s -> 520.43s]  What did what did you eat?
[520.43s -> 524.61s]  What was your bread selection?
[524.61s -> 527.61s]  It was a piece of old stale sourdough bread.
[527.61s -> 530.36s]  It's all in your mind, man.
[530.36s -> 532.36s]  That was probably like artisan bread.
[532.36s -> 535.66s]  You know, that was like like cheese bread.
