[0.31s -> 12.96s]  Hey, what is going on everybody Jerma here with a crate unboxing video
[373.75s -> 378.12s]  I'm so happy about that strange Scotsman skull cutter. Oh
[381.72s -> 391.40s]  My mood just elevated so much right there crate number 45 series actually, but we've done a few 45s kills
[391.40s -> 396.63s]  Well explosive jumping kind of cool. I guess I'll take it
[396.63s -> 400.71s]  Oh, how sick would it be if I could give away two unusuals?
[400.71s -> 405.75s]  Come on, give me another unusual out of the 45s now
[405.75s -> 416.80s]  We're moving on to the 47s after this one strange skull cutter again. Look at that thing
[416.80s -> 424.67s]  Look at that beautiful hat backwards ball cap. Awesome. Awesome. Awesome. Awesome. I'm glad I got that now
[426.31s -> 439.83s]  Dr. Pepper breps, can we do to us? Is it gonna happen strange force of nature? It's alright
[439.83s -> 443.82s]  I'll take that with the bank and then cash the bank. Ooh
[446.58s -> 450.21s]  daddy like
[450.21s -> 461.72s]  Daddy like just about halfway through just about halfway through guys another hat. I'll take it Snipers professionals Panama
[461.72s -> 471.13s]  Wait, Panama. Yeah, Panama uncrate uncrate those boxes, baby
[471.89s -> 479.23s]  Uncrate uncrate where oh time for like a beatbox of uncrating. Here we go. Ready, by the way strange flamethrower
[479.23s -> 481.47s]  If you didn't see it, here we go
[481.67s -> 494.31s]  shovel
[495.31s -> 499.95s]  Uncrate the loot now engineers killed
[504.73s -> 519.22s]  All right, that was a little weird all the surges stale hype. Oh, yeah, baby medicat actually that things that things pretty cool
[519.26s -> 526.34s]  Come on another unusual strange home wrecker strange home wrecker
[528.88s -> 535.64s]  Sweet straight scatter gun. I'll take that
[536.16s -> 549.31s]  Absolutely. Come on another unusual another unusual. Come on. Let's go strange scatter gun again getting out of the wire here
[549.59s -> 552.67s]  getting down to the wire here boys and girls and
[553.58s -> 557.86s]  Animals if you're watching but the animals are watching this video engineers killed again strange part
[557.86s -> 562.52s]  I don't know if I like that very much because engineers like my favorite class
[566.99s -> 574.98s]  We're in crate series like the newer ones. We're in 54 and 55 right now strange sniper rifle. Hell. Yeah
[579.14s -> 580.62s]  54
[580.62s -> 582.70s]  55 another unusual. Oh
[586.07s -> 595.75s]  Yes, yes. Yes. I like it nerves are getting a little crazy here guys getting a little amped up right now
[595.75s -> 605.78s]  The hell is that surgeon side satchel? What the hell? All right, when I just put this drink down
[605.78s -> 614.01s]  I just splashed it all over the screen. So whatever I can't even like see that's a must-be miscellaneous for the medic getting down here
[614.01s -> 628.29s]  This is the last little bit hotties hoodie. I'm getting a lot of hats. I'm getting a lot of hats hottie city
[628.29s -> 635.25s]  Come on. Come on. Come on. Let me get an unusual hottie city right now kills while ubercharged. That's a good one
[635.33s -> 647.40s]  Sweet almost out of crate 54 moving on to 55 and then we got five special crates another strange sniper rifle
[647.44s -> 660.66s]  That's good trade bait right there. That's good trade bait pyros killed strange part. All right
[663.65s -> 675.38s]  55 strange Medigun really hold on a second. I thought wait strange Medigun is in crate 55
[675.38s -> 688.28s]  I thought it was in like crate like 30. Oh, wow. Yeah. Okay, cool. Cool. Almost through the 55 series
[690.15s -> 700.98s]  Pyros killed again, are we gonna get another unusual so I can give away two we'll see strange Medigun again
[701.14s -> 707.51s]  All right, where this is the last one for the the newer crates then we're gonna move on to crate number one
[707.67s -> 718.34s]  No, baby faces blaster strange. I don't know they didn't have that strange now. All right
[718.34s -> 724.18s]  So the final five keys are gonna be for crate series one, two, three, four and five
[724.18s -> 730.72s]  I don't even think you can get strangers out of these crates. We'll see what happens. Here we go crate series
[730.72s -> 737.99s]  No, no, no, we're gonna go backwards crate series number five. We'll start with that one. We'll do one last crate series five
[737.99s -> 747.19s]  Here we go. The regular power jack. Oh, wow
[747.75s -> 755.80s]  Crate series number four. Yeah, these are I don't think strangers were even introduced until what crate series 20 22 or something
[756.87s -> 760.79s]  Oh nice. I got like a white paint to paint my like new unusual that's being given away
[760.95s -> 773.86s]  Crate series number three getting down to the final three crates the bushwhacker. Oh man. These were not worth opening
[773.94s -> 778.96s]  I'm not even getting strangers for this. Oh when I say that it's gonna be worth it right here
[778.96s -> 782.87s]  It's gonna be worth it right here. Mmm
[784.85s -> 786.21s]  Final key
[786.21s -> 792.90s]  Final crate series number one the first crate series they ever introduced and it's gonna get us an unusual right now. Here we go
[797.68s -> 799.68s]  No, it's the old guadalajara
[802.12s -> 804.55s]  Pyro hat. All right. Well, there you go
[804.55s -> 810.66s]  ladies and gentlemen got a lot of new strangers a lot of new strange parts and most importantly a
[811.06s -> 813.78s]  Unusual hustler's hallmark with the effect of smoking
[814.10s -> 817.94s]  So one of you is going to get this hat in the comment section
[817.94s -> 822.58s]  Just write anything as long as you're not spamming i'm going to pick at random somebody in the comments
[822.98s -> 824.98s]  And one of you guys are going to get that thing. So
[825.95s -> 827.25s]  Unbelievable. I'm so happy
[827.25s -> 829.97s]  I when I when I did this when I when I thought of doing this again
[830.21s -> 833.65s]  Because when I did it last time I did not get an unusual with 40 crates
[833.97s -> 839.46s]  So I thought i'm going to give myself a better chance this time with 50 and I got one so
[840.42s -> 846.68s]  Congratulations to whoever gets picked for that hat check your youtube pms in the next five days
[847.32s -> 849.32s]  I'm going to pick somebody in five days
[849.32s -> 855.24s]  So if you do not check your youtube pm you go to your account and you click on inbox and it's private messages
[855.64s -> 859.48s]  Go there. That's how you're going to know if you won the hat or not. I'm going to pick somebody in the five days
[859.48s -> 865.64s]  So congratulations in advance to whoever wins this unusual hustler's hallmark and i'll see you guys all next time and of course
[866.28s -> 868.28s]  Take care everybody. Thank you for watching
[871.35s -> 873.59s]  You
