[0.31s -> 14.13s]  Hey, what is going on, everybody? Jerma here with The Mighty Quest for Epic Loot.
[137.73s -> 147.73s]  But I find that feature very, very cool, because you can go back and watch and see where people were having trouble in your castle, where they were just plowing through, having absolutely no problem at all, taking out all the monsters.
[147.73s -> 148.73s]  It's an awesome feature.
[148.73s -> 156.73s]  And if they die in your castle, there's a clickable icon in the pinpoint location where they died, where if you click it, you get 125 gold.
[156.73s -> 165.73s]  So they made the defense portion of this game satisfying, because instead of it just being, oh, you have to go and loot castles and attack castles to make any money.
[165.73s -> 169.73s]  No, you can make a pretty decent amount of money if you have a really good defense in your castle.
[169.73s -> 170.73s]  So two thumbs up.
[170.73s -> 171.73s]  That's a cool feature.
[171.73s -> 173.48s]  So moving on to the combat.
[173.48s -> 175.48s]  The combat is pretty straightforward.
[175.48s -> 182.48s]  If you played any action RPG in your life, you have the click to move, click to attack, and a couple of spells at your disposable.
[182.48s -> 184.48s]  Disposable diapers.
[184.48s -> 190.91s]  So there are only three classes in the game right now, two of which are playable right out of the gate.
[190.91s -> 194.91s]  The second you install the beta, you can play as the archer and the knight.
[195.91s -> 202.91s]  The mage, the third and final class as it stands right now, can only be played in the beta if you buy him.
[202.91s -> 205.91s]  You have to buy the mage and buy into the beta.
[205.91s -> 206.91s]  They have tiers.
[206.91s -> 211.91s]  There's the to get into the beta, then there's the other pack, then there's like the founders pack.
[211.91s -> 213.91s]  You have to buy into it to play as the mage.
[213.91s -> 215.91s]  But everything is going to be free to play.
[215.91s -> 216.91s]  You're not going to have to buy anything.
[216.91s -> 217.91s]  Everything will be open.
[217.91s -> 221.91s]  This is just for the beta purposes to test things in advance.
[221.91s -> 224.47s]  But it's really cool looting other castles.
[224.47s -> 229.47s]  It's really cool fighting other people's stuff, seeing how they did things and then maybe stealing their ideas.
[229.47s -> 231.47s]  I've done that quite a few times so far.
[231.47s -> 233.47s]  And the one thing that is not...
[233.47s -> 238.47s]  I know it's a beta and I know I'm talking about the beta right now, but there's not a whole lot of loot in this game yet.
[238.47s -> 241.47s]  There's different rarities, there's different item qualities that drop.
[241.47s -> 244.47s]  You can deck your character out, but there's not very much stuff.
[244.47s -> 248.47s]  There's only a couple of different things you can really get that you really want.
[248.47s -> 250.47s]  And the upgrades come very sparsely.
[250.47s -> 255.47s]  You can take your own gear anyways using either in-game currency or gold that you acquire.
[255.47s -> 262.71s]  And I understand that balance purpose is because you're going up against other players' castles and their money is at stake.
[262.71s -> 265.71s]  Well, their in-game money is at stake and your money is at stake.
[265.71s -> 266.71s]  You have to...
[266.71s -> 275.71s]  Gear, you can't have like crazy overpowered gear because it's more about the strategy of finding ways through castles, putting different skill combinations.
[275.71s -> 278.71s]  That's more important than having an amazing gear set.
[278.71s -> 279.71s]  But it still is important.
[279.71s -> 280.71s]  It still should be there.
[283.95s -> 284.95s]  But you guys get it. You guys understand.
[284.95s -> 288.58s]  So now we're going to talk about the in-game currency and what it does.
[288.58s -> 293.58s]  When you get into the beta, you get 1,500 of these gems, green gems.
[293.58s -> 301.58s]  And what you do with them is when you do various tasks, when you build certain things in your castle, it's going to take time.
[301.58s -> 306.58s]  It's going to take upwards of six hours to complete building sometimes.
[306.58s -> 313.58s]  And how you skip that, just like games like Farmville and the Smurfs Super Fun Village.
[313.58s -> 318.58s]  So some of these Facebook and iOS type games, you can speed up the process by using the in-game currency.
[318.58s -> 326.58s]  Now, it's not to an extent right now where I would say it's completely bogus to have it in the game because there are...
[326.58s -> 332.58s]  While you're having things be building, sometimes they take like 10 minutes, sometimes they take like 45 minutes.
[332.58s -> 335.58s]  But while that happens, you can go and play the other half of the game.
[335.58s -> 340.58s]  You can go and loot dungeons, you can go build your character out, you can go try out new builds.
[340.58s -> 348.58s]  That makes it so it's a lot less painful to have to sit there and wait and force yourself to buy in-game currency to finish your buildings.
[348.58s -> 358.25s]  With that said though, this type of currency and this type of mechanic is really, really treading on a very thin line.
[358.25s -> 361.25s]  Where when you cross that line, you get to pay to win.
[361.25s -> 365.25s]  And they haven't got there yet, but it's right there.
[365.25s -> 368.25s]  It's staring at pay to win in the face.
[368.25s -> 373.25s]  I really hope they don't make anything in this game where it's like, oh yeah, alright.
[373.25s -> 376.25s]  So you want to build your dungeon? Oh, that's cool.
[376.25s -> 380.25s]  If you don't pay this money, then it's going to take you two weeks to build this part of the dungeon.
[380.25s -> 383.62s]  And everyone else has a dungeon way cooler than yours because they already did it.
[383.62s -> 388.62s]  I really hope that doesn't happen because this game is really, really fun, really addicting in its current state.
[388.62s -> 391.62s]  And they're going to be adding a lot of stuff. This is a very early beta.
[391.62s -> 394.62s]  And this is my impression so far on the beta.
[394.62s -> 400.62s]  If you're finding this video months or even years later, this was a first impressions video of the beta.
[400.62s -> 402.62s]  So keep that in mind when you're watching this.
[402.62s -> 404.62s]  It's a fantastic, fun little game.
[404.62s -> 409.62s]  And how you get into the beta, you can sign up for it on the MightyQuest Repaglute site.
[409.62s -> 411.62s]  And they pick people all the time.
[411.62s -> 416.62s]  Or you can get directly into the beta right now for 10 bucks USD.
[416.62s -> 423.62s]  And what that's going to do, that's going to unlock the first two character classes to test the knight and the archer.
[423.62s -> 427.62s]  And it's going to give you 1500 in-game currency to be able to play around with.
[427.62s -> 431.62s]  So if you want to get right into the beta right now, you think this is your cup of tea, then you can do it for 10 bucks.
[431.62s -> 433.62s]  And if not, you can just sign up and hopefully you get picked.
[433.62s -> 437.30s]  And if you don't care at all, then who cares?
[437.30s -> 439.30s]  But that's going to wrap this video up, guys.
[439.30s -> 440.30s]  Thank you all so much for watching.
[440.30s -> 444.30s]  This has been the MightyQuest for Epic Loot, a fun little game by Ubisoft.
[444.30s -> 445.30s]  If you want to check it out, check it out.
[445.30s -> 446.30s]  And I'll see you all next time.
[446.30s -> 448.30s]  And of course, take care, everybody.
