[0.31s -> 14.62s]  Hey, what's going on, everybody? Germa here with Scare Saturdays.
[209.65s -> 210.82s]  You freak.
[210.82s -> 211.82s]  I didn't.
[211.82s -> 212.82s]  I just saw him.
[212.82s -> 213.82s]  You didn't see him?
[213.82s -> 214.82s]  No.
[214.82s -> 215.82s]  Oh, I can act- I can sprint.
[215.82s -> 216.82s]  I can run.
[216.82s -> 217.82s]  I can run.
[217.82s -> 218.82s]  I can run.
[218.82s -> 219.82s]  I can run.
[219.82s -> 222.15s]  I can run.
[222.15s -> 223.15s]  I can run.
[223.15s -> 224.39s]  I can run.
[224.39s -> 225.39s]  I can run.
[225.39s -> 226.39s]  I can run.
[226.39s -> 227.95s]  I can run.
[227.95s -> 228.95s]  I can run.
[228.95s -> 229.95s]  I can run.
[229.95s -> 231.70s]  I can run.
[231.70s -> 233.07s]  I can run.
[233.07s -> 234.07s]  I can run.
[234.07s -> 235.07s]  I can run.
[235.07s -> 236.07s]  I can run.
[236.07s -> 237.07s]  I can run.
[237.07s -> 238.07s]  I can run.
[238.07s -> 239.07s]  I can run.
[239.07s -> 240.44s]  I can run.
[240.44s -> 241.44s]  I can run.
[241.44s -> 242.44s]  I can run.
[242.44s -> 243.44s]  I can run.
[243.44s -> 244.44s]  I can run.
[244.44s -> 245.44s]  I can run.
[245.44s -> 246.44s]  I can run.
[246.44s -> 247.44s]  I can run.
[247.44s -> 248.44s]  I can run.
[248.44s -> 249.44s]  I can run.
[249.44s -> 250.44s]  I can run.
[250.44s -> 251.44s]  I can run.
[251.44s -> 252.44s]  I can run.
[252.44s -> 253.44s]  I can run.
[253.44s -> 254.44s]  I can run.
[254.44s -> 255.81s]  I can run.
[255.81s -> 258.52s]  I can run.
[258.52s -> 259.52s]  I can run.
[259.52s -> 260.52s]  I can run.
[260.52s -> 261.52s]  I can run.
[261.52s -> 262.52s]  I can run.
[262.52s -> 265.81s]  I can run.
[265.81s -> 266.81s]  I can run.
[266.81s -> 267.98s]  I can run.
[267.98s -> 268.98s]  I can run.
[268.98s -> 269.98s]  I can run.
[269.98s -> 270.98s]  I can run.
[270.98s -> 271.98s]  I can run.
[271.98s -> 274.06s]  I can run.
[274.06s -> 275.06s]  I can run.
[275.06s -> 276.06s]  I can run.
[276.06s -> 277.06s]  I can run.
[277.06s -> 278.06s]  I can run.
[279.06s -> 280.06s]  I can run.
[280.06s -> 281.06s]  I can run.
[281.06s -> 282.06s]  I can run.
[282.06s -> 283.06s]  I can run.
[283.06s -> 284.06s]  I can run.
[284.06s -> 286.32s]  I can run.
[286.32s -> 287.32s]  I can run.
[287.32s -> 288.32s]  I can run.
[288.32s -> 289.32s]  I can run.
[289.32s -> 290.32s]  I can run.
[290.32s -> 291.32s]  I can run.
[291.32s -> 292.32s]  I can run.
[292.32s -> 293.32s]  I can run.
[293.32s -> 294.32s]  I can run.
[294.32s -> 295.32s]  I can run.
[295.32s -> 296.32s]  I can run.
[296.32s -> 297.32s]  I can run.
[297.32s -> 298.32s]  I can run.
[298.32s -> 299.32s]  I can run.
[299.32s -> 300.32s]  I can run.
[300.32s -> 302.52s]  I can run.
[302.52s -> 303.52s]  I can run.
[303.52s -> 304.52s]  I can run.
[304.52s -> 305.52s]  I can run.
[305.52s -> 306.52s]  I can run.
[306.52s -> 307.52s]  I can run.
[307.52s -> 308.52s]  I can run.
[308.52s -> 309.52s]  I can run.
[309.52s -> 310.52s]  I can run.
[310.52s -> 311.52s]  I can run.
[311.52s -> 318.46s]  I can run.
[318.46s -> 319.46s]  I can run.
[319.46s -> 321.59s]  I can run.
[321.59s -> 322.59s]  I can run.
[322.59s -> 323.59s]  I can run.
[323.59s -> 324.59s]  I can run.
[324.59s -> 325.59s]  I can run.
[325.59s -> 326.59s]  I can run.
[326.59s -> 327.59s]  I can run.
[327.59s -> 328.83s]  I can run.
[328.83s -> 329.83s]  I can run.
[329.83s -> 331.07s]  I can run.
[331.07s -> 332.07s]  I can run.
[332.07s -> 333.07s]  I can run.
[333.07s -> 334.07s]  I can run.
[334.07s -> 335.07s]  I can run.
[335.07s -> 336.07s]  I can run.
[336.07s -> 337.07s]  I can run.
[338.07s -> 339.07s]  I can run.
[339.07s -> 340.07s]  I can run.
[340.07s -> 341.07s]  I can run.
[341.07s -> 342.07s]  I can run.
[342.07s -> 343.07s]  I can run.
[343.07s -> 344.07s]  I can run.
[344.07s -> 352.16s]  I can run.
[352.16s -> 353.16s]  I can run.
[353.16s -> 354.16s]  I can run.
[354.16s -> 355.85s]  I can run.
[355.85s -> 357.09s]  I can run.
[357.09s -> 358.09s]  I can run.
[358.09s -> 359.09s]  I can run.
[359.09s -> 361.93s]  I can run.
[361.93s -> 364.38s]  I can run.
[364.38s -> 365.38s]  I can run.
[365.38s -> 366.38s]  I can run.
[366.38s -> 367.38s]  I can run.
[367.38s -> 368.38s]  I can run.
[368.38s -> 375.38s]  I can run.
[375.38s -> 376.38s]  I can run.
[376.38s -> 380.44s]  I can run.
[380.44s -> 385.78s]  I can run.
[385.78s -> 386.78s]  I can run.
[386.78s -> 387.78s]  I can run.
[387.78s -> 390.42s]  I can run.
[390.42s -> 395.82s]  I can run.
[395.82s -> 396.82s]  I can run.
[396.82s -> 397.82s]  I can run.
[397.82s -> 399.64s]  I can run.
[399.64s -> 412.72s]  I can run.
[412.72s -> 413.72s]  I can run.
[413.72s -> 417.90s]  I can run.
[417.90s -> 418.90s]  I can run.
[418.90s -> 419.90s]  I can run.
[419.90s -> 420.90s]  I can run.
[420.90s -> 421.90s]  I can run.
[421.90s -> 428.44s]  I can run.
[428.44s -> 429.44s]  I can run.
[429.44s -> 430.44s]  I can run.
[430.44s -> 438.40s]  I can run.
