[18.23s -> 19.43s]  I am back.
[605.18s -> 605.98s]  I'll take it.
[618.12s -> 619.12s]  Your voice is annoying.
[619.12s -> 621.22s]  You should mute your mic must have been a real hardcore.
[622.92s -> 625.04s]  It's me yellow.
[625.14s -> 626.04s]  You're annoying.
[626.04s -> 626.74s]  How's that sound?
[627.04s -> 628.44s]  It has been a minute.
[629.82s -> 630.72s]  Neon yellow.
[634.09s -> 638.29s]  This guy even with a mask on I recognize him from earlier.
[639.19s -> 642.29s]  Tell I know him just vaguely.
[642.39s -> 642.89s]  That's me.
[643.09s -> 643.89s]  Holy crap.
[643.89s -> 645.69s]  You got the freaking anime sword.
[645.69s -> 647.99s]  I thought for sure you'd get one of those little guns like
[647.99s -> 652.89s]  the oh should have to turn the page.
[652.89s -> 653.39s]  Sorry.
[653.39s -> 653.99s]  Everyone's waiting.
[653.99s -> 655.49s]  What's it called like gnomes use?
[655.49s -> 659.36s]  Gnomes.
[664.11s -> 665.81s]  I know you're a badass.
[669.42s -> 672.82s]  Hell doesn't idiot like this seem to remember me perfectly.
[672.82s -> 674.52s]  I'm not gonna skip all the dialogue.
[674.52s -> 676.82s]  But no, we need I'm gonna know what's going on.
[676.82s -> 677.62s]  Okay, man.
[678.82s -> 680.42s]  No, for real.
[680.82s -> 682.52s]  We rolled together for years, bro.
[682.62s -> 684.52s]  Got off to some crazy stuff.
[685.62s -> 687.32s]  You're my sass game, man.
[687.42s -> 688.72s]  The darkness to my light.
[689.22s -> 692.22s]  You know, I saved your life once took a bullet for you, dude.
[692.92s -> 693.42s]  Really?
[694.02s -> 695.32s]  Nah, I'm just messing.
[699.24s -> 699.94s]  I'm not skipping.
[699.94s -> 701.14s]  I'm not skipping anything.
[704.54s -> 705.04s]  Yeah.
[705.64s -> 706.14s]  All right.
[707.83s -> 711.03s]  Seriously, dude, we should team up just like old times.
[712.23s -> 715.13s]  Then I can save you for real from those like demon freaks
[715.13s -> 715.73s]  or something.
[716.23s -> 716.73s]  Yeah.
[717.73s -> 719.13s]  Appreciate the offer.
[719.33s -> 720.23s]  But no, thanks.
[720.63s -> 721.43s]  I work alone.
[721.63s -> 722.83s]  Don't shush shush.
[723.23s -> 724.03s]  Don't shush me.
[724.23s -> 724.83s]  Don't tweet at me.
[724.83s -> 725.63s]  Don't shush me.
[729.03s -> 731.63s]  Like my favorite line from a from a TV show.
[732.53s -> 733.73s]  It could be one of my favorite lines.
[736.11s -> 736.71s]  Don't shush me.
[736.71s -> 737.51s]  Don't tweet me.
[738.87s -> 740.97s]  Just there's so much going on in that sentence.
[740.97s -> 741.57s]  I love it.
[746.09s -> 746.49s]  Sure.
[747.09s -> 749.63s]  Good meeting you.
[753.64s -> 754.14s]  Let's go.
[755.98s -> 757.78s]  This is a pistol.
[759.58s -> 764.22s]  This card ability triggers a second jump right midair.
[765.88s -> 766.98s]  How do I discard a card?
[768.56s -> 774.62s]  Oh, can I have another one of those?
[787.16s -> 788.76s]  Do I only have to have one bullet for it to work?
[789.70s -> 790.40s]  Oh, I see.
[790.40s -> 791.40s]  Okay, you have to collect them.
[791.40s -> 793.10s]  Whoa, that's okay.
[794.30s -> 795.00s]  I get it now.
[806.91s -> 807.41s]  Cool.
[808.64s -> 809.24s]  Cleared it.
[809.34s -> 809.64s]  Oh shit.
[809.64s -> 810.94s]  He's playing a real game.
[812.42s -> 812.82s]  It's a good.
[812.82s -> 813.32s]  It's it.
[813.32s -> 813.62s]  Yeah.
[820.89s -> 821.29s]  Yes.
[834.38s -> 835.58s]  Is this as fast as I can go?
[835.88s -> 836.68s]  I'm assuming.
[836.68s -> 837.08s]  Yes.
[841.57s -> 842.87s]  Didn't even break a sweat.
[842.87s -> 846.19s]  No, I can go even faster than that.
[846.19s -> 846.59s]  Technically.
[846.59s -> 847.59s]  No, not even close.
[850.88s -> 851.58s]  Rank up.
[861.61s -> 863.01s]  I ironically like this game.
[863.01s -> 864.11s]  I mean the game seems fun.
[866.18s -> 868.38s]  Jump on a balloon demon to kill it and bounce into the air.
[876.16s -> 878.66s]  And with a double jump, that would be pretty cool.
[887.86s -> 890.16s]  Oh, I blew it.
[895.13s -> 895.63s]  Here we go.
[907.06s -> 907.96s]  I got to save this.
[925.31s -> 926.81s]  Oh, there's still a demon left.
[926.91s -> 927.71s]  Oh shit.
[927.71s -> 928.01s]  Okay.
[928.01s -> 928.41s]  Hold on.
[930.22s -> 933.12s]  I need to I don't like you being the button to press.
[936.27s -> 953.10s]  I want to be like mouse for like a little too.
[953.10s -> 953.30s]  All right.
[953.30s -> 953.80s]  All right.
[953.90s -> 954.50s]  This game is fun.
[955.20s -> 956.40s]  Oh, just one more try.
[956.40s -> 957.40s]  Just one more try.
[957.40s -> 959.60s]  It really hits you with that one more try.
[986.20s -> 986.70s]  There we go.
[988.81s -> 990.41s]  Yeah, gold medal.
[990.41s -> 991.21s]  Gold medal.
[991.41s -> 991.71s]  Yeah.
[991.81s -> 992.21s]  Yeah.
[992.31s -> 992.61s]  Yeah.
[997.72s -> 998.72s]  Gift collectible.
[1002.89s -> 1004.09s]  This is just the tutorial.
[1008.04s -> 1011.24s]  Okay, is that the alt girl I saw from earlier?
[1013.80s -> 1016.10s]  Hey, mind letting go of my shirt.
[1017.94s -> 1020.94s]  There was this huge demon chasing after me.
[1021.91s -> 1022.41s]  Where?
[1023.11s -> 1023.71s]  Where is it?
[1024.21s -> 1025.71s]  Looks like I lost it.
[1026.71s -> 1027.71s]  It was wrong music.
[1027.71s -> 1031.61s]  You'd protect me if it came back though, right?
[1033.04s -> 1034.24s]  No, sorry.
[1034.44s -> 1035.64s]  I got a boat to catch.
[1036.04s -> 1037.04s]  You're on your own kid.
[1040.09s -> 1043.59s]  You know how I feel about being called kid white.
[1043.99s -> 1048.49s]  I actually don't remember amnesia side effect of dying.
[1048.49s -> 1050.29s]  It seems to voice Andy.
[1051.79s -> 1053.49s]  Seriously, really good.
[1053.49s -> 1054.09s]  Aren't they?
[1054.49s -> 1055.29s]  I got this one.
[1055.59s -> 1057.99s]  I've got this one on lockdown.
[1057.99s -> 1058.59s]  You know what I mean?
[1059.85s -> 1062.95s]  I'll find me somebody that could do this better than me.
[1064.94s -> 1066.34s]  You won't be able to find it.
[1066.54s -> 1067.04s]  You're not.
[1067.04s -> 1067.94s]  I don't think so.
[1068.04s -> 1069.94s]  I've lost some memories too.
[1071.96s -> 1076.26s]  Like I can't even remember how to use a gun which makes this
[1076.26s -> 1078.96s]  whole situation extra scary.
[1081.34s -> 1081.94s]  You will bury.
[1081.94s -> 1083.04s]  No, no, no.
[1083.04s -> 1084.74s]  Bugleberry is more like this.
[1085.97s -> 1089.97s]  You'd like to know where the bugleberry voice comes from.
[1089.97s -> 1093.57s]  It's very easy to tell you although maybe it should be sort
[1093.57s -> 1096.37s]  of a mystery and tell you everything.
[1112.38s -> 1112.88s]  Yes.
[1113.48s -> 1116.68s]  Yes, the inspiration for bugleberry's voice is none other
[1116.68s -> 1119.48s]  than our favorite cartoon character Captain Crunch.
[1121.06s -> 1122.76s]  My cabin crunch cereal.
[1129.37s -> 1130.57s]  A little bit of inspiration there.
[1130.57s -> 1135.16s]  I think there's a lower bomb right there.
[1139.47s -> 1139.97s]  It's a few.
[1139.97s -> 1141.37s]  It's a few different people.
[1141.77s -> 1147.17s]  It's a few different people but bugleberry is like 33%
[1147.17s -> 1147.87s]  Captain Crunch.
[1149.48s -> 1150.28s]  I don't know.
[1150.68s -> 1152.08s]  I should probably get going.
[1153.08s -> 1159.00s]  You wouldn't really abandon a cute girl like me, would you?
[1163.64s -> 1167.64s]  I know you don't remember but you were once a great teacher.
[1168.44s -> 1171.40s]  Mr.
[1171.40s -> 1177.10s]  White I I was well, okay.
[1177.10s -> 1178.00s]  Fine.
[1178.30s -> 1179.60s]  I can spare a second.
[1179.60s -> 1186.22s]  I guess you want to bend your knees a bit arms extended not
[1186.22s -> 1186.72s]  locked.
[1188.12s -> 1189.92s]  Is this good?
[1192.88s -> 1195.18s]  Yeah, but keep it steady.
[1195.98s -> 1199.48s]  You should use both hands and fill any open spaces on the
[1199.48s -> 1200.48s]  grip with your fingers.
[1205.05s -> 1208.35s]  There's something kind of exhilarating about this, huh?
[1208.35s -> 1208.75s]  Mr.
[1208.75s -> 1209.25s]  White.
[1209.55s -> 1213.05s]  I'm just looking through the chat and just seeing just the
[1213.05s -> 1216.05s]  people the people that are not they're not even participating
[1216.05s -> 1216.55s]  in the chat.
[1220.25s -> 1224.65s]  Cold hard metal in my hands that hint of danger.
[1224.65s -> 1227.15s]  Like you made you probably the game is probably muted.
[1227.85s -> 1230.65s]  You probably have no video on you just talking about what
[1230.65s -> 1231.65s]  you had for dinner today.
[1233.84s -> 1236.54s]  Anyway, like this.
[1242.05s -> 1243.05s]  Holy crap.
[1243.74s -> 1245.14s]  Are you sure you forgot?
[1248.65s -> 1250.05s]  I was so much fun.
[1250.25s -> 1251.05s]  Thanks white.
[1251.05s -> 1252.71s]  I owe you big.
[1252.81s -> 1257.71s]  Well, you know, it's like you said I'm a great teacher.
[1258.71s -> 1259.81s]  Just did the thing with space.
[1260.31s -> 1261.31s]  It's violet.
[1261.41s -> 1263.11s]  Don't go forgetting this time.
[1266.91s -> 1268.21s]  Neon violet.
[1272.47s -> 1273.27s]  Violet, huh?
[1274.04s -> 1275.64s]  Here girl shoot.
[1277.34s -> 1279.07s]  All right, it's time.
[1279.07s -> 1282.68s]  Let's uh-huh.
[1283.58s -> 1287.28s]  Purify bombs destroy red breakable walls.
[1287.38s -> 1292.45s]  So did I do that right?
[1292.65s -> 1293.15s]  This work.
[1294.15s -> 1298.63s]  Oh great groups of enemies.
[1300.28s -> 1301.18s]  It takes about a second.
[1309.82s -> 1310.62s]  Not bad.
[1316.90s -> 1317.90s]  Am I grandma keeps that?
[1317.90s -> 1323.06s]  No, I think we I think we've answered enough my grandmother
[1323.06s -> 1326.36s]  asked this question questions for it to last us a few years.
[1326.36s -> 1338.50s]  I think stand near the so you can like rocket jump to give
[1338.50s -> 1340.10s]  you forward momentum to I'm imagining.
[1340.10s -> 1340.50s]  Yes.
[1346.90s -> 1364.89s]  Yeah, Captain Crunch sounds nothing like bugleberry.
[1365.79s -> 1367.79s]  Well, that's why I said it was inspiration.
[1367.79s -> 1370.79s]  It wasn't necessarily a one-to-one impression.
[1381.14s -> 1396.92s]  Is there a boss at the end of this again?
[1400.28s -> 1401.88s]  I didn't mean it didn't want to do that.
[1413.15s -> 1413.95s]  I must have missed it.
[1441.39s -> 1441.69s]  Yeah.
[1441.79s -> 1444.02s]  Yeah, I'm just getting started.
[1444.12s -> 1444.92s]  The bronze medal.
[1454.93s -> 1456.03s]  Nineteen demons.
[1464.06s -> 1464.36s]  Okay.
[1464.36s -> 1465.06s]  Well, I'm fine.
[1472.27s -> 1472.77s]  What the hell?
[1473.37s -> 1473.97s]  Oh, it's health.
[1501.88s -> 1524.13s]  That's how we use the environment bronze bronze is the best no
[1524.13s -> 1525.03s]  expectations.
[1527.06s -> 1529.76s]  You're not in you're not in second place because in second place
[1529.76s -> 1530.66s]  you would feel like damn.
[1530.66s -> 1532.16s]  I wish it was first place easy.
[1532.26s -> 1536.13s]  You just get awarded for being cool, but there's no pressure
[1536.13s -> 1536.83s]  of second place.
[1536.83s -> 1538.63s]  You wish you were first is no pressure first place.
[1538.63s -> 1541.97s]  Give me bronze all day behind you.
[1542.74s -> 1551.72s]  I do that again.
[1551.72s -> 1553.12s]  Somebody and the channel.
[1554.09s -> 1556.69s]  I don't know if mods can do that or not, but demons zero red
[1556.69s -> 1565.51s]  a hundred and the channel if it happens again long time no
[1565.51s -> 1575.46s]  see white neon red nice heard from before this girl is you
[1575.46s -> 1581.20s]  staring quick say something cool white that is massive
[1581.20s -> 1587.14s]  rifle want to taste that's okay.
[1587.94s -> 1590.44s]  Seriously, please don't point that thing at me.
[1590.54s -> 1593.94s]  Would you realize that this is the least effective way for
[1593.94s -> 1598.74s]  you to get me here because barrels very long and the target
[1598.74s -> 1599.84s]  here is now very small.
[1599.84s -> 1602.94s]  So now if I go I dodge my shoulder grab the barrel push
[1602.94s -> 1608.68s]  it over then we're this is this is a problem for you now relax.
[1608.88s -> 1610.38s]  I just like to see you sweat.
[1614.79s -> 1615.79s]  Okay, John.
[1615.79s -> 1618.59s]  In that case you should watch me wipe the floor with demons
[1618.59s -> 1619.29s]  sometime.
[1621.57s -> 1623.97s]  Yeah, I've seen a lifetime of that kind of thing.
[1627.36s -> 1630.56s]  You know, this is actually the first time I've seen you here
[1631.06s -> 1631.96s]  in the competition.
[1631.96s -> 1635.56s]  I mean makes me wonder do you think this will end for us the
[1635.56s -> 1636.56s]  way it did in life?
[1637.36s -> 1641.86s]  See, I'd love to answer that but I woke up with no memories
[1641.86s -> 1642.46s]  of life.
[1643.16s -> 1644.76s]  Not that I don't recognize you.
[1645.46s -> 1650.24s]  It's just the details are fuzzy so far though.
[1650.44s -> 1652.54s]  I feel the strongest connection to you.
[1655.12s -> 1655.92s]  Damn it white.
[1656.52s -> 1660.72s]  Why would you say something so lame to a girl how bizarre?
[1661.12s -> 1663.32s]  I've never heard of a neon with such an affliction.
[1665.98s -> 1666.68s]  Messing with me.
[1666.68s -> 1670.29s]  Are you I have no reason to lie to you.
[1672.41s -> 1673.61s]  Is that so?
[1677.13s -> 1679.93s]  Can't believe God himself decided to bless me with the
[1679.93s -> 1680.23s]  thing.
[1680.23s -> 1684.33s]  I love most a completely clueless boy.
[1685.03s -> 1686.63s]  This isn't fun for me, you know.
[1688.33s -> 1689.63s]  Well, it is for me.
[1690.23s -> 1692.53s]  We could have been lovers in life and you'd be none the
[1692.53s -> 1696.06s]  wiser lovers.
[1697.90s -> 1702.10s]  I could know every last one of your measurements.
[1703.30s -> 1704.60s]  Be serious here.
[1704.90s -> 1706.60s]  You've got a long boat right ahead.
[1707.10s -> 1709.60s]  Maybe you could fill me in on the details of my character
[1710.00s -> 1712.07s]  or even your relationship to me.
[1714.03s -> 1718.23s]  I don't know why honestly, it's probably easier this way
[1718.83s -> 1719.83s]  for both of us.
[1721.20s -> 1725.20s]  What are you going?
[1729.64s -> 1731.34s]  All aboard the ship.
[1731.54s -> 1732.74s]  I thought that was us for a second.
[1733.94s -> 1737.04s]  Strugglers will be returned to oblivion.
[1739.26s -> 1742.06s]  Yes, don't think I made it this far last time.
[1745.46s -> 1747.26s]  This really is my first roadie.
[1747.26s -> 1749.06s]  What happens if I press half bad?
[1750.80s -> 1753.00s]  Looks like that's what happens.
[1754.95s -> 1756.35s]  Bad for a dead guy, huh?
[1758.55s -> 1760.65s]  I feel like we missed something really important.
[1762.46s -> 1764.66s]  I thought it was going to be fast-forward and it was going to be
[1764.66s -> 1768.86s]  like, I thought it was going to be funny, but exactly what I
[1768.86s -> 1769.66s]  expected.
[1770.26s -> 1777.00s]  Why am I so disappointed?
[1779.56s -> 1782.26s]  Want to walk to the Believer's Sermon together?
[1782.46s -> 1784.26s]  I want to fight, I want to fight demons.
[1784.46s -> 1786.26s]  Yo, bro, you made it.
[1788.40s -> 1789.80s]  Kick a lot of demon ass.
[1790.40s -> 1790.80s]  Yes.
[1791.60s -> 1792.70s]  Like it was nothing.
[1793.60s -> 1797.10s]  I'm telling you bro, with our like combined powers, those
[1797.10s -> 1798.40s]  demons are donezo.
[1800.60s -> 1802.10s]  Wait, do we play together?
[1802.50s -> 1803.30s]  Do we switch characters?
[1803.30s -> 1806.00s]  Oh snap, Violet, is that you?
[1806.30s -> 1807.70s]  This is crazy.
[1809.28s -> 1810.78s]  It's like the gang's all here.
[1810.88s -> 1811.78s]  I'm sorry.
[1811.88s -> 1813.28s]  Do I know you?
[1813.38s -> 1815.48s]  Are we all mutuals here?
[1815.78s -> 1816.48s]  Yeah, man.
[1816.68s -> 1818.78s]  Violet was our crew's littlest badass.
[1818.78s -> 1821.48s]  Like this one time I read her diary and she had written this
[1821.48s -> 1823.58s]  crazy fanfic about her and the bot.
[1826.07s -> 1827.67s]  What happened to this guy?
[1829.99s -> 1831.49s]  Oh, that was the I'm done.
[1831.49s -> 1831.89s]  Okay.
[1832.39s -> 1833.39s]  Let me tell you something here.
[1833.89s -> 1835.89s]  So that was the I'm done talking.
[1835.89s -> 1837.49s]  My dialogue cuts off here.
[1837.59s -> 1838.69s]  There is a hyphen.
[1838.99s -> 1840.79s]  Somebody needs to interrupt me.
[1841.09s -> 1844.99s]  What happens a lot of the time is the person will say the
[1844.99s -> 1849.49s]  line with the hyphen there and they'll stop.
[1849.49s -> 1852.09s]  So to be like, oh you and me.
[1852.99s -> 1854.89s]  Oh yeah, and you get cut off now.
[1855.89s -> 1857.89s]  So how you do that and you make that work a little better
[1858.69s -> 1860.59s]  is you just hold the hold it at the end.
[1860.89s -> 1862.39s]  Are you hold that last line?
[1862.79s -> 1866.99s]  Like we were supposed to be going to the grocery.
[1866.99s -> 1869.39s]  Oh, then I'll give me that opportunity to cut me off.
[1871.52s -> 1872.52s]  No one cares.
[1874.12s -> 1876.02s]  This is an acting class out of where the where the hell did
[1876.02s -> 1876.72s]  you think you were?
[1878.30s -> 1879.70s]  This is like a live streamer.
[1879.70s -> 1880.40s]  I play video games.
[1880.40s -> 1882.60s]  No, I'm teaching you acting skills.
[1885.02s -> 1886.12s]  I don't know what you think this is.
[1895.18s -> 1896.68s]  They may be freaks, but
[1897.78s -> 1898.38s]  all right, cool.
[1901.99s -> 1904.49s]  Welcome to Central Heaven.
[1904.79s -> 1908.79s]  It is an honor for your kind to bask in its beauty.
[1908.79s -> 1913.29s]  But remember this is no place you guys it's it's fine.
[1913.29s -> 1913.99s]  Chill out.
[1914.39s -> 1918.39s]  You are here as demon exterminators and demon exterminators
[1918.39s -> 1922.19s]  alone population always spirals out of control this time of
[1922.19s -> 1922.69s]  year.
[1924.53s -> 1929.43s]  It's onerous work, but the possibility of redemption is
[1929.43s -> 1930.93s]  well worth the effort.
[1931.03s -> 1934.83s]  Is it not and on that note we'd like to introduce last
[1934.83s -> 1939.33s]  year's winner of the 10 defending his crown is the vicious
[1939.53s -> 1939.93s]  Hulk.
[1939.93s -> 1942.63s]  We don't even know who neon green is neon green is going
[1942.63s -> 1943.83s]  to be and now it's like all of a sudden.
[1943.83s -> 1946.23s]  No, no, don't skip don't skip with this guy.
[1946.83s -> 1947.63s]  I love neon green.
[1947.63s -> 1948.63s]  Don't skip please.
[1948.73s -> 1953.24s]  Why does it feel like he's staring directly at me?
[1954.04s -> 1961.62s]  Why do I feel so angry greens demons slaying prowess has
[1961.62s -> 1965.92s]  been unrivaled for years, but surely there exists a neon
[1965.92s -> 1970.02s]  green among you all who can compete don't skip don't
[1970.02s -> 1987.69s]  skip what is happen?
[1989.22s -> 1990.82s]  Who are you?
[1992.85s -> 1993.95s]  You should play scorn.
[1995.86s -> 1996.36s]  I already did.
[1997.16s -> 2003.04s]  It was a fun time church is dismissed episode 2 killer
[2003.04s -> 2003.84s]  inside.
[2004.14s -> 2008.25s]  I'm ready to kill some demons and days until judgment.
[2011.48s -> 2013.98s]  Depart for your current assignment lay past assignments.
[2014.58s -> 2015.38s]  Let's go to the beach.
[2016.08s -> 2016.98s]  Enjoy the view of the beach.
[2017.58s -> 2023.56s]  I hate how perfect this beach looks feel like I should toss
[2023.56s -> 2025.46s]  something in there next time.
[2025.46s -> 2036.32s]  I'm gonna throw all right report to Heaven Central Authority
[2037.70s -> 2040.81s]  next thing to do talk to Gabby.
[2041.61s -> 2046.04s]  Hey, I'm here for my assignment.
[2046.04s -> 2048.14s]  You will get new assignments from mr.
[2048.14s -> 2048.74s]  Mikey.
[2048.84s -> 2050.94s]  I'm his secretary and let me talk to him.
[2051.44s -> 2054.44s]  Mikey a cat to just let me read the script.
[2054.44s -> 2057.34s]  This doesn't have to be difficult unless you'd like that.
[2057.34s -> 2057.74s]  Mr.
[2057.74s -> 2062.14s]  White proceed all Neons must achieve a minimum neon rank
[2062.14s -> 2064.64s]  in order to be granted a new assignment.
[2064.64s -> 2068.04s]  What's a neon rank your neon rank is determined by the
[2068.04s -> 2071.24s]  number of gold or ace medals you have earned in prior
[2071.24s -> 2071.74s]  missions.
[2071.74s -> 2074.44s]  I won't be getting any of these more gold or aces means
[2074.44s -> 2075.34s]  a better rank.
[2075.34s -> 2075.84s]  Let's see.
[2076.44s -> 2079.04s]  My neon rank is this that good.
[2079.04s -> 2079.74s]  Like an a-plus.
[2079.74s -> 2080.74s]  I'm sorry.
[2081.14s -> 2082.34s]  You'll need to achieve.
[2083.74s -> 2084.04s]  Mr.
[2084.04s -> 2085.54s]  White Mr.
[2085.54s -> 2086.94s]  White Mr.
[2086.94s -> 2087.44s]  White.
[2088.44s -> 2088.74s]  Mr.
