[0.57s -> 2.84s]  How are you doing?
[487.64s -> 490.06s]  How do you play?
[490.62s -> 497.18s]  I win?
[497.18s -> 499.90s]  Oh, okay, you have to bring the egg to the bottom.
[499.90s -> 501.18s]  Oh, it is like Dig Dug.
[501.98s -> 502.90s]  Did I lose?
[502.90s -> 503.78s]  Oh, shit, okay, hold on.
[504.34s -> 507.58s]  This is cute, man.
[507.58s -> 508.70s]  This is not even, like, bad.
[509.26s -> 510.14s]  This is, like, fun.
[510.86s -> 513.91s]  What is it?
[513.91s -> 514.55s]  Is it a dog?
[517.05s -> 518.01s]  It's times up.
[518.57s -> 519.85s]  It's not times up yet.
[520.57s -> 524.63s]  Oh, the egg broke.
[524.63s -> 526.47s]  Okay, you can't drop that far.
[527.27s -> 528.86s]  I got one more minute.
[528.86s -> 530.78s]  I have one minute left in Duck.
[531.50s -> 535.86s]  All right, don't touch the green stuff.
[536.42s -> 537.14s]  Wait, does it matter?
[537.78s -> 539.37s]  Because it can't fall that far.
[539.93s -> 543.16s]  All right, let's get a heart.
[543.16s -> 545.91s]  Oops, oops.
[545.91s -> 550.02s]  I didn't know Jerma was a retro gamer.
[550.66s -> 552.20s]  Oh, I think I blew it.
[552.92s -> 553.80s]  Did I blow it?
[558.09s -> 559.77s]  No, I'm not done with Duck yet.
[559.77s -> 560.97s]  I'm not done, I'm not done, I'm not done.
[560.97s -> 562.49s]  I want to get to the bottom of Duck.
[562.49s -> 562.89s]  Hold on.
[563.69s -> 564.73s]  I like this one.
[567.11s -> 567.83s]  Times up.
[567.83s -> 568.39s]  It doesn't matter.
[569.86s -> 570.90s]  Oh my god, I get times up.
[570.90s -> 575.16s]  Fine, fine, fine, fine, fine, fine, fine, time's up.
[575.16s -> 575.72s]  God damn it.
[575.72s -> 576.68s]  I wanted to play that one.
[576.68s -> 577.32s]  Maybe I'll go back.
[577.32s -> 578.60s]  Okay, keep Duck on the list.
[579.32s -> 580.58s]  All right, what's up?
[580.58s -> 580.98s]  What's next?
[583.37s -> 586.49s]  All right, 169 for seven minutes.
[588.97s -> 589.85s]  169.
[590.73s -> 592.01s]  What the hell is random number generator?
[597.56s -> 600.70s]  169 is gyrodine.
[600.70s -> 604.15s]  And I see right now it is almost 11 minutes.
[604.15s -> 606.55s]  So at 18 minutes is when I have to stop playing this.
[606.55s -> 608.55s]  This is, I probably should have made it five minutes,
[608.55s -> 610.31s]  but whatever, I have to sleep in the bed that I made.
[611.54s -> 621.00s]  Okay, gyrodine in three, two, one, go.
[621.00s -> 623.67s]  Okay, gyrodine.
[623.67s -> 628.52s]  Whatever, what's going on?
[629.08s -> 631.80s]  Oh, it's a helicopter auto-scroller.
[633.78s -> 634.10s]  Shit.
[635.06s -> 638.82s]  How do I kill things?
[638.82s -> 639.70s]  I can't hurt anything?
[642.55s -> 643.27s]  What?
[643.27s -> 648.47s]  Why can't, why do my bullets not hurt stuff?
[648.47s -> 649.19s]  Is it over?
[649.19s -> 653.69s]  That sucks.
[653.69s -> 655.21s]  It's like a laser tag weapon.
[656.25s -> 657.21s]  Wait a minute, wait a minute.
[657.21s -> 658.57s]  Okay, I was pressing, wait.
[658.57s -> 659.67s]  There's two guns.
[659.67s -> 661.11s]  There's this one, this is just lights,
[661.11s -> 664.22s]  and this one is real bullets.
[664.22s -> 665.18s]  No, it's not.
[665.18s -> 666.38s]  Oh, that's the ground.
[666.38s -> 668.46s]  Holy shit, okay, this is air and this is ground.
[668.46s -> 671.37s]  How am I shooting the cars?
[673.21s -> 675.29s]  Oh, fuck man, gyrodine's pretty good.
[675.29s -> 677.38s]  I'm liking gyrodine so far.
[677.94s -> 689.75s]  They just look like crumpled up pieces of paper.
[689.75s -> 694.82s]  I wonder if this is a boss.
[694.82s -> 699.74s]  I mean, this is just somebody sketched these in five seconds.
[699.74s -> 700.78s]  I can do this.
[700.78s -> 702.06s]  I can sketch these tanks.
[702.06s -> 706.22s]  They're not even symmetrical either.
[706.22s -> 707.34s]  Oh shit, watch out, jets.
[710.82s -> 714.07s]  I can't fucking believe I just lost right there.
[714.07s -> 714.63s]  God damn it.
[714.63s -> 715.59s]  Please spawn right here.
[715.59s -> 716.39s]  Oh my God.
[716.39s -> 718.07s]  Wait, no, no, it's like a checkpoint.
[718.07s -> 722.63s]  Just play Ace Combat instead.
[722.63s -> 734.66s]  You can't really compare gyrodine to Ace Combat.
[734.66s -> 736.10s]  Oh my fucking God.
[736.10s -> 738.58s]  No, it's the control is hard.
[738.58s -> 740.74s]  Why can't you, why can't, why not?
[740.74s -> 747.59s]  Well, because the Ace Combat is a,
[747.59s -> 750.73s]  this game was made in probably 30 minutes.
[750.73s -> 753.69s]  Ace Combat has a team of like 200 people that worked on it.
[753.69s -> 755.45s]  For like four years.
[755.45s -> 763.45s]  You don't just take raw hamburger meat out of the refrigerator.
[763.45s -> 765.56s]  Put it on a plate and say,
[765.56s -> 770.84s]  this is the same thing as the five-star restaurant.
[771.64s -> 773.72s]  Eat my fucking hamburger meat instead.
[773.72s -> 781.22s]  I have literally no idea what that meant, by the way.
[781.22s -> 783.62s]  Like I have no idea what that meant.
[784.95s -> 786.23s]  I said what I, the sentence I just said,
[786.23s -> 788.39s]  I'm saying it like internally in my head now.
[788.39s -> 790.95s]  And like the point I was trying to make is kind of there somewhere,
[790.95s -> 792.39s]  but like I don't know where it was.
[792.39s -> 793.27s]  It was in there somewhere.
[794.49s -> 796.89s]  If you deconstruct that whole sentence,
[796.89s -> 798.89s]  you'll be able to like find out what I was trying to say.
[802.60s -> 804.78s]  It was in there somewhere.
[804.78s -> 805.58s]  He's zonked.
[805.58s -> 807.26s]  No, I'm not, not today.
[807.26s -> 813.06s]  Stop drinking bong water.
[813.06s -> 814.58s]  All right, if I don't get to the end,
[814.66s -> 815.86s]  I'm going to be very mad.
[815.86s -> 817.66s]  This is not even hard.
[817.66s -> 826.52s]  Like I played like 4,000 hours of Binding of Isaac.
[827.32s -> 829.48s]  I can't beat Gyrodyne.
[829.48s -> 840.92s]  I mean, the controller is kind of hard to use.
[840.92s -> 843.03s]  Oh my God, give me a break.
[843.03s -> 843.75s]  Fuck this game.
[844.31s -> 844.87s]  It sucks.
[846.02s -> 846.58s]  Never mind.
[846.58s -> 847.06s]  It's funny.
[851.40s -> 852.68s]  These are excuses.
[852.68s -> 854.38s]  No, they're not.
[854.38s -> 857.59s]  They're...
[857.59s -> 860.39s]  Look, all right, the controller sucks.
[861.34s -> 863.50s]  I press left and sometimes it doesn't go left.
[863.50s -> 864.62s]  Sometimes it just sits there.
[867.69s -> 870.97s]  They 3D printed these controllers, like a thousand of them.
[870.97s -> 877.80s]  It's hard to use.
[877.80s -> 879.24s]  It's fucking hard to do.
[879.24s -> 882.94s]  How much more time is left on this one?
[882.94s -> 886.71s]  Two minutes?
[886.71s -> 887.43s]  All right, whatever.
[887.43s -> 887.91s]  I got it.
[891.82s -> 892.22s]  You know what?
[892.22s -> 893.02s]  Right works fine.
[893.02s -> 893.74s]  Up works fine.
[893.74s -> 894.54s]  Down works fine.
[894.54s -> 895.34s]  It's left.
[895.34s -> 896.54s]  Left like doesn't want to...
[896.54s -> 898.22s]  If you have to push hard.
[898.22s -> 905.54s]  There's a dev in the chat.
[905.54s -> 908.10s]  Well, I highly doubt that.
[908.10s -> 910.66s]  I'm trying to pick up the mermaid and it got me killed.
[910.66s -> 914.26s]  I can't even get past the first two screens of Gyrodyne.
[914.26s -> 915.70s]  This is making me angry.
[915.70s -> 920.98s]  Dev of Gyrodyne.
[926.79s -> 928.23s]  Why am I tapping when I could just be holding?
[932.44s -> 933.40s]  Stop pretending.
[936.12s -> 937.24s]  I'm not pretending.
[937.24s -> 937.72s]  It's hard.
[943.78s -> 947.06s]  You get on General Mills presents Gyrodyne,
[947.06s -> 951.54s]  and you tell me how difficult it is to move around.
[964.50s -> 965.14s]  There you go.
[965.14s -> 967.11s]  There you go.
[967.11s -> 967.75s]  Watch out, watch out.
[970.36s -> 972.60s]  Hurry, do the famous Gyrodyne cheat code.
[972.60s -> 973.88s]  Oh, you're right.
[973.88s -> 975.64s]  Up, up, down, down, down, up, up, up, down, down, down.
[975.64s -> 977.96s]  B, A, B, B, B, B, B, B, B, B, B, B, A, B, A.
[977.96s -> 979.16s]  Left, right, left, right, left, right.
[979.16s -> 984.04s]  B, A, B, B, A, back, B, I, B, O, B, O, B, O, B.
[984.04s -> 987.91s]  Did I get it?
[987.91s -> 989.35s]  No, I was too slow.
[989.35s -> 1003.51s]  I really don't want to be playing Gyrodyne anymore.
[1003.51s -> 1005.14s]  We're going to follow the rules.
[1005.14s -> 1006.18s]  I can't break the rules.
[1006.18s -> 1011.58s]  I have to keep playing.
[1011.58s -> 1012.22s]  30 seconds.
[1012.22s -> 1012.38s]  All right.
[1012.38s -> 1014.54s]  This is going to be the last life, so I better make it count.
[1014.54s -> 1019.90s]  I'm just going to dodge and not care about anything but dodging.
[1019.90s -> 1022.39s]  But I move slower than they do.
[1022.39s -> 1023.43s]  That's why this is so difficult.
[1023.43s -> 1025.38s]  I move slower than the bullets.
[1025.38s -> 1026.82s]  I move slower than all the other things.
[1026.82s -> 1027.54s]  And I made it.
[1027.54s -> 1036.79s]  I made it, I'm good.
[1036.79s -> 1039.51s]  I feel like I'm looking at the Chrono Trigger overworld map.
[1039.51s -> 1043.74s]  God, that makes me want to play that game. Let's just play that game tomorrow. No, no, no, no, no
[1043.74s -> 1054.97s]  No, don't lie to them. Don't lie to them. They'll fucking sniff you out. Don't lie to them. Where are these cars driving?
[1054.97s -> 1059.11s]  Why are they driving up here?
[1059.11s -> 1066.49s]  Off-road, I guess. All right. Oh, I made it. It's the first I've ever been in Jaredine. I can't even see the bullets
[1066.81s -> 1073.53s]  Wow, it looks so much better on your guy's screen. I'm not even kidding from my monitor
[1073.53s -> 1078.42s]  It looks like dog shit, but on your on your screen. It looks wicked good on my screen
[1078.42s -> 1083.22s]  It looks like shit when it's why is it? Why is that? How can your screen look so much better than my screen?
[1083.30s -> 1091.77s]  Whatever. No, it really does. I couldn't see those bullets. I looked over at my preview monitor
[1091.77s -> 1101.21s]  I can see them clearly and we're going next. It was Jaredine. It was pretty sick. There we go. 299 for
[1102.52s -> 1118.42s]  Three minutes. Okay, I can do that. 299 pong pong for three minutes. All right, let's play pong pong
[1121.51s -> 1127.67s]  I'm gonna start the uh, so 1930. Let's start and I'm gonna guess this is pong
[1129.02s -> 1133.50s]  If it's not pong then I don't know what it is pong pong stage one
[1136.97s -> 1145.45s]  Um, what the fuck is happening? What am I driving? Am I a car? Okay. I'm orange car
[1146.87s -> 1149.67s]  I have a bullets or guns or anything. Is it just bumper cars?
[1151.22s -> 1156.15s]  Wait a minute. Is this just a mario party game where you have to bump like yoshi and luigi off the edge
[1160.82s -> 1167.74s]  I think that's what this is. I don't
[1169.66s -> 1172.86s]  I don't know what the goal is
[1173.10s -> 1175.10s]  I have to just dump them into the corners
[1179.40s -> 1181.56s]  I don't have no fucking idea of it
[1183.74s -> 1185.74s]  Uh, what if I drive into one?
[1187.99s -> 1193.35s]  Oh, I was killed but I can't look at when I bump into them they don't go the direction you think they're gonna go
[1196.30s -> 1198.30s]  This doesn't make any fucking sense
[1198.54s -> 1200.62s]  I don't have any bullets or anything either
[1207.42s -> 1209.82s]  See like you think they would they would bounce backwards
[1211.08s -> 1213.08s]  But i'm I go for much
[1218.76s -> 1222.52s]  Why did I switch with him? What the what how is that even fucking possible?
[1223.24s -> 1225.11s]  What?
[1225.11s -> 1230.63s]  We switched places
[1230.63s -> 1237.54s]  Get in there
[1237.54s -> 1246.04s]  Oh, I don't have to do it. Wait, there's two more left. Hey jerma, i'm the dev of what is what is this?
[1246.28s -> 1248.60s]  I look honestly. I don't care what's happening in the game right now. I'm gonna read this
[1250.63s -> 1254.07s]  Hey, i'm the dev of jarodon. This game was the work of two years of work with myself another dev
[1254.15s -> 1257.27s]  He ended up with my wife and I lost custody of my children. Okay. Well
[1267.50s -> 1271.42s]  I'm the dev of jarodon. All right, it's not even careful. How much time is left 19
[1272.38s -> 1274.38s]  20 21 22. I have like 40 seconds
[1285.11s -> 1287.27s]  This is by far the worst one yet. This is the worst one yet
[1288.47s -> 1298.63s]  I cannot bump them when I get close enough. I just I switch places with them 22 30, right? All right
[1298.63s -> 1300.55s]  I don't even care. I'm just gonna wait
[1300.55s -> 1302.55s]  This was I don't even with pong
[1302.81s -> 1304.81s]  ping pong pong pong
[1307.16s -> 1309.16s]  Worst two out of three. All right, let's go
[1311.32s -> 1323.18s]  What we got coming up next is 223 for five minutes. Just get rid of the timer
[1324.10s -> 1330.33s]  That was not three minutes. Yeah, it was 19 20 21 22. All right, 223 for five minutes
[1332.79s -> 1336.98s]  Don't get rid of the timer. I'm just gonna leave it for now. There's like 600 games
[1337.06s -> 1345.77s]  I figured we'd do something interesting for the first like hour or two. All right, 223 is
[1346.41s -> 1348.81s]  Spy versus I want to play spy versus spy right now
[1349.99s -> 1356.94s]  223 is called five days. I'll have five minutes to do five days
[1362.36s -> 1366.60s]  So we're at i'm looking at the stream time right now. We're at 23 minutes and just about 30 seconds
[1366.60s -> 1369.59s]  So five minutes from right now five days
[1371.10s -> 1385.42s]  Okay, five nights at freddy's. All right. Do I okay? I'm just shooting. I can't really aim at them
[1385.90s -> 1389.13s]  I feel like this is how I end up playing x-com
[1394.23s -> 1396.23s]  Oh my fucking god. Okay
[1400.76s -> 1406.42s]  I can't shoot them at an angle. I have to do this for five full days
[1410.58s -> 1412.58s]  How come I just turned them green?
[1413.96s -> 1415.96s]  I can't even aim that direction
[1416.20s -> 1421.88s]  I can only aim aim at specific angles
[1426.42s -> 1433.46s]  I'm not doing that bad
[1434.02s -> 1436.02s]  Drive me fucking crazy
[1442.09s -> 1446.41s]  I feel like i'm playing like an old nintendo scary horror game like maniac mansion
[1447.29s -> 1449.85s]  And the title screen glitched out and it's just repeating
[1452.81s -> 1460.68s]  The cd just is skipping
[1460.68s -> 1463.08s]  Oh, wait, this guy's uh red
[1463.72s -> 1466.39s]  orange
[1466.39s -> 1467.99s]  He was one hit
[1467.99s -> 1469.43s]  Is he just faster?
[1469.43s -> 1477.51s]  This is penis music
[1477.51s -> 1483.70s]  No
[1483.70s -> 1485.30s]  All right
[1485.30s -> 1487.94s]  I'm gonna do i'm done. This is stupid
[1493.22s -> 1499.06s]  Just stop. Yeah, i'm down with this one. I don't even care. I don't care. I can't take this one anymore. I don't care
[1502.78s -> 1505.16s]  Now where we going next?
[1505.16s -> 1508.68s]  The tire no the time. Yeah, fuck the tire the tires. I don't care
[1509.16s -> 1513.08s]  Broke the rules already. I don't care like fuck the timer if it sucks. I don't want to burn my brain
[1516.14s -> 1520.06s]  seven minutes
[1520.06s -> 1521.08s]  All right
[1521.08s -> 1523.08s]  397 is what is it?
[1524.22s -> 1526.70s]  You have to follow the rules 397
[1529.14s -> 1534.02s]  Dr mario, this is a classic. This actually might just be dr mario, by the way
[1534.58s -> 1542.30s]  So do not be surprised if it's just just they just ripped it and put it on here. They did I think
[1543.98s -> 1545.98s]  virus level
[1545.98s -> 1547.98s]  speed music type
[1550.25s -> 1552.01s]  um, okay
[1552.01s -> 1554.01s]  I have a confession to make for all of you watching
[1554.89s -> 1559.61s]  I have no idea how to play dr mario. I don't even I don't understand it. I don't get it at all
[1559.69s -> 1561.85s]  I don't i've never played it more than five seconds at a time
[1565.32s -> 1568.44s]  I have to match like the colors right somehow
[1569.37s -> 1574.94s]  And you get rid of the aliens. I think that's how you play
[1578.79s -> 1581.35s]  And then I can attach it to here and then kill right?
[1582.23s -> 1585.75s]  Is this the game? This is actually dr mario or is it like a weird bootleg version of it?
[1588.73s -> 1594.87s]  Um, oops, there you go. That's fucking best gamer moment. Fuck 2020 moment right there if I ever see one
[1597.46s -> 1607.83s]  I have to attach this to oops. Oh, I fucked it up. It's over. What am I? Oh my god
[1607.91s -> 1615.19s]  I can't I hate these kind of games. I can't I do not like tetris style games
[1615.43s -> 1619.42s]  I can't do them. I get so impatient because the thing goes so slow
[1619.50s -> 1623.18s]  It just trickles down like one two three, but i'm like hurry get the fuck down there
[1623.66s -> 1636.15s]  I have to like think on the fly. No, no, no, no, no, no. No, I don't want to do that. Oh fuck. I'm in trouble
[1638.58s -> 1642.02s]  No, I can't I can't do it gotta go fast. There's no car I can drive. I don't like it
[1642.78s -> 1647.11s]  I don't like it. There's no car to drive. I don't like it. I'm so impatient. I'm so fucked up
[1647.19s -> 1652.06s]  I can't do it. I'm too fucked up to play these games. I can't do it
[1654.68s -> 1662.12s]  I can't do it. I'm too fucked. This is why I got like an f in geometry and shit like every year
[1662.20s -> 1669.75s]  I can't play these games, but I can sing though. Okay, that's worth something
[1672.10s -> 1676.39s]  Fuck i'm so screwed
[1677.35s -> 1679.59s]  Imagine being in like
[1679.59s -> 1686.79s]  Junior high school or high school or something and you get your your test back from the teacher and they're like, oh, uh, jeremy
[1686.79s -> 1691.35s]  Yeah, you didn't like you messed this all up. You didn't like do this correctly. The the angles are all wrong
[1691.91s -> 1697.03s]  Um, maybe could you come after class? Maybe like we could do some tutoring. Excuse me teacher. I can sing though
[1701.50s -> 1710.94s]  That's how you get to the office. Oh, I can sing though. Okay teachers like I don't care cool. That's like great
[1711.82s -> 1718.84s]  I'll get it this time. What a horrible excuse for every scenario
[1721.85s -> 1726.57s]  Mr. Albertson just want to let you know your blood pressure is a little high and your cholesterol is a little high too
[1727.22s -> 1729.85s]  Hey doc, I can sing though. Okay
[1730.33s -> 1731.13s]  uh
[1731.13s -> 1733.10s]  Good good
[1733.10s -> 1743.59s]  Start eating Cheerios and stop ordering fucking hamburgers from uber eats every day. I've made no progress. What's happening?
[1751.11s -> 1753.11s]  But I don't understand like what you're supposed to do in dr
[1753.11s -> 1758.95s]  Mario I get the concept but like I don't I don't care like, you know when you just don't care
[1759.83s -> 1762.71s]  And that's why you can't do it because I just don't care. You know what I mean?
[1764.82s -> 1768.58s]  How many you guys like do you like you staticians and should have looked at this going like oh man
[1768.66s -> 1770.34s]  You see this like wait, you gotta put them right over there
[1770.34s -> 1772.34s]  You could have been over there the blue could have gone over that way
[1773.32s -> 1775.32s]  I don't care. I can sing
[1776.17s -> 1784.49s]  I'm done
[1784.49s -> 1798.86s]  80 uh 88 what's 88? Uh bomber man. Okay, so it's bomber man for a maximum amount of
[1799.67s -> 1804.95s]  Two. All right. No, fuck the timer. I don't care. I was playing until I don't care anymore bomber man
[1809.77s -> 1812.73s]  Is it actual bomber man? Let's see
[1815.43s -> 1817.51s]  um
[1817.51s -> 1820.90s]  Kind of I want to say kind of
[1827.61s -> 1829.61s]  Is this what the original one looks like?
[1834.74s -> 1838.78s]  It's dead
[1838.78s -> 1844.25s]  This is what the original game looks like. Is it I don't think i've ever played the original
[1847.85s -> 1862.39s]  This is actually literally just bomber man. Is it? Oh, holy shit. Cool. This one's fun. I like bomber man
[1862.95s -> 1864.95s]  You know, I used to play bomber man 64
[1864.95s -> 1870.63s]  And bomber man 64 had a very surprisingly fun party game mode where you could have like four people
[1872.42s -> 1874.66s]  It was like a battle system. It was awesome
[1875.06s -> 1899.58s]  Come on go get him. I just didn't kill myself today. Okay good. Oh, why are you avoiding me so well?
[1903.50s -> 1905.99s]  There it is. Got him. Oh my god
[1906.07s -> 1908.50s]  This guy sucks at bomber man
[1908.98s -> 1911.16s]  It doesn't care
[1911.16s -> 1914.12s]  Does that really matter? Okay in in the year 2020
[1914.44s -> 1920.15s]  Does it matter if I can't do the original bomber man very well? I'm gonna die get out what?
[1931.54s -> 1933.62s]  It's funny. Whatever. It's been two days
[1938.52s -> 1943.96s]  You have a certain amount of time to be able to say it's still 2020. Yeah, you get that you get some leeway there
[1943.96s -> 1958.50s]  It's been two days three thirty six. What's three thirty six? It's been three days. Yeah, but whatever it's three days
[1958.50s -> 1962.74s]  So people are oh, yeah, man still saying 2020 shit people still do that shit in march
[1962.82s -> 1963.46s]  Okay
[1963.46s -> 1970.33s]  How many times people when they sign in somewhere or they write something and they have to look up to the clerk or right?
[1970.41s -> 1972.41s]  I look up to the cashier and go, uh
[1973.48s -> 1977.72s]  I don't have any idea what today is or what day it is what time it is and the person has to go
