[0.31s -> 14.95s]  Hey, what is going on, everybody? Germa here with a Team Fortress 2 gameplay commentary.
[287.62s -> 294.62s]  and you don't go back and grind out stars, you have to spend five dollars to even continue the campaign.
[294.62s -> 299.62s]  So at that point, it's not even really free to play. It's more so free to download.
[299.62s -> 306.62s]  And if you want to buy some stuff, then like nudge nudge, like go for it. I don't really like that model.
[306.62s -> 311.62s]  It's a fantastic game. The game is great. I love Plants vs. Zombies 2. It's a very fun game.
[311.62s -> 315.93s]  But that's just kind of like, it's like taking a cup of coffee like I got right here.
[315.93s -> 321.10s]  And you got some very delicious coffee. You got like a Dunkin' Donuts, like fresh brewed coffee.
[321.10s -> 328.10s]  You fill it up like halfway with that. And then like Burger Boy comes over and blows a fucking snot rocket in it.
[328.10s -> 332.10s]  It's like, yeah, the coffee is still good. This is still going to be like a good coffee.
[332.10s -> 338.10s]  But Burger Boy just blew a snot in here. Like I don't want to, I guess I'll drink it.
[338.10s -> 342.10s]  Like that's how I feel about Plants vs. Zombies 2.
[342.10s -> 347.66s]  And the reason why I bring up TF2, and I talked about TF2's free to play system, how I like it.
[347.66s -> 352.66s]  I think it works. And look at Dota 2. Dota 2 gives you everything for free.
[352.66s -> 356.66s]  They unlock all the champions for you. They just want you to go play.
[356.66s -> 361.66s]  And you'll end up spending money just because you like wanted to spend money in the game.
[361.66s -> 366.66s]  Now I know that I understand the argument here that you're talking about multiplayer games.
[366.66s -> 370.66s]  There's not much to a multiplayer game besides the multiplayer.
[370.66s -> 375.66s]  There is no single player campaign in TF2 or in Dota.
[375.66s -> 379.66s]  Now there is a single player campaign. That's the only thing there is to do in Plants vs. Zombies 2.
[379.66s -> 386.66s]  So it's justified that they make you buy things and spend money on things because you downloaded the game for free.
[386.66s -> 392.66s]  And you didn't give them any money at all. Whereas in a multiplayer game, eventually you might do it.
[392.66s -> 394.66s]  You might give money to a multiplayer game.
[394.66s -> 400.29s]  But the whole reason why I'm making this video is because I wanted to say this couple string of sentences
[400.29s -> 403.29s]  that I think really is a good analogy to this.
[403.29s -> 406.29s]  Analogy? Say words, Jerma, correctly, please.
[406.29s -> 409.46s]  A good analogy to this are airlines.
[409.46s -> 416.46s]  And I really don't want to see gaming and the free to play model go down the same road as the friggin' airlines.
[416.46s -> 420.46s]  And those of us that travel frequently will know exactly what I'm talking about here.
[420.46s -> 422.64s]  Once you go through security.
[422.64s -> 426.64s]  Okay, I bought my ticket. I'm ready to go through security. Let's go.
[426.64s -> 429.64s]  You go through security and you're stuck there.
[429.64s -> 433.64s]  You can't leave. You can't just like go to the TSA agent and be like,
[433.64s -> 436.64s]  hey, excuse me, can I like get out of here for like an hour and come?
[436.64s -> 441.64s]  But you can't do that. So everything in the airport is insanely expensive.
[441.64s -> 446.64s]  All the drinks, all the food, because they know you can't go anywhere else.
[447.64s -> 450.64s]  And they have you locked in the friggin' airline in the terminal.
[450.64s -> 453.64s]  So you have to spend the money or else you're just not going to get a drink today.
[453.64s -> 456.64s]  Like that. I don't want that to happen to gaming.
[456.64s -> 460.64s]  I don't want to like install a game and have a pop up window come up and say,
[460.64s -> 463.64s]  hey, thanks for installing the game. Glad you're having a ton of fun.
[463.64s -> 466.64s]  Wait like six dollars now or go fuck yourself.
[466.64s -> 469.64s]  Like I don't want that to happen.
[469.64s -> 473.07s]  And I really feel like we could be getting there soon.
[473.07s -> 475.07s]  So that's really all I want to say.
[475.07s -> 478.07s]  This is not a direct shot at PopCap because in the very beginning,
[478.07s -> 482.07s]  I said I have a lot of respect for PopCap because they make very good games.
[482.07s -> 484.44s]  But I just want to get that throw that out there,
[484.44s -> 487.44s]  throw that idea out there that I really don't want to see that happen.
[487.44s -> 489.44s]  And let me know what you think guys in the comments section.
[489.44s -> 493.44s]  If you still want to be eligible for the Razer Nostromo,
[493.44s -> 496.44s]  then with your comment about this topic,
[496.44s -> 500.44s]  just put Razer Dash and then your comment just so I can be able to know
[500.44s -> 503.44s]  that you still do want this Nostromo,
[503.44s -> 506.44s]  but you want to make a comment on this topic. That'll work too.
[506.44s -> 508.81s]  But yeah, guys, that's going to wrap it up here.
[508.81s -> 510.81s]  Thank you all so much for watching and really do appreciate it.
[510.81s -> 512.81s]  And I'll see you guys all next time.
[512.81s -> 515.81s]  And of course, take care, everybody.
