[22.33s -> 23.67s]  Somebody said,
[191.41s -> 193.78s]  I have to go through and get all
[193.78s -> 195.78s]  the tools and get money again.
[195.78s -> 197.78s]  Because I just delete everything.
[197.78s -> 199.78s]  I don't even sync it with the Steam Cloud.
[199.78s -> 202.60s]  I always say, make sure I do that.
[202.60s -> 204.60s]  And then something goes wrong and I just have to redo everything.
[204.60s -> 208.12s]  Yeah, the farming DLC
[208.12s -> 210.12s]  came out. Also, not just farming.
[210.12s -> 212.12s]  Apparently, you can
[212.12s -> 214.12s]  build your own house
[214.12s -> 218.47s]  from scratch now.
[218.47s -> 220.47s]  Before, that was a big,
[220.47s -> 222.47s]  one of the only cons
[222.47s -> 224.47s]  of House Flipper
[224.47s -> 227.09s]  was I thought that, oh,
[227.09s -> 229.09s]  I can't make a house
[229.09s -> 231.09s]  and put stuff in it.
[231.09s -> 233.91s]  Now apparently you can.
[233.91s -> 235.91s]  I know, it's called House Flipper.
[235.91s -> 237.91s]  That's not flipping houses. That's not flipping a house.
[237.91s -> 241.11s]  But still, I like,
[241.11s -> 243.11s]  I guess there's some more freedom now.
[243.11s -> 245.11s]  I don't know exactly how much, we'll find out.
[245.11s -> 251.12s]  It's just a fun time.
[251.12s -> 253.12s]  Yeah, that's the goal.
[253.12s -> 255.94s]  You guys ready?
[255.94s -> 258.69s]  You guys ready to hang out?
[258.69s -> 260.69s]  In this gigantic collective chat window?
[260.69s -> 263.96s]  While a 37-year-old
[263.96s -> 265.96s]  moron tries to
[265.96s -> 267.96s]  fucking build a house?
[267.96s -> 269.96s]  Alright, let's go!
[269.96s -> 273.41s]  I gotta give myself a little bit of credit.
[273.41s -> 275.41s]  I have like 120 IQ.
[275.41s -> 277.41s]  My performance IQ is like zero.
[277.41s -> 279.41s]  So, I'm not stupid.
[279.41s -> 288.87s]  Anyways, he's a genius.
[288.87s -> 290.87s]  I mean,
[290.87s -> 292.87s]  I mean, you said that. I didn't.
[292.87s -> 294.87s]  You said that.
[294.87s -> 298.39s]  But, blinking?
[298.39s -> 300.39s]  I guess so.
[300.39s -> 310.63s]  Thank you.
[310.63s -> 314.60s]  Alright, let's go. Yeah, you're gonna see.
[314.60s -> 316.84s]  I know, I start every single
[316.84s -> 319.33s]  time. I just want to check the audio.
[319.33s -> 321.33s]  This is not the color that I would want.
[321.33s -> 324.32s]  I just was testing
[324.32s -> 332.56s]  painting and everything again.
[332.56s -> 334.56s]  The DLC came out three days ago.
[334.56s -> 337.12s]  Alright, so we're good. I got time.
[337.12s -> 342.80s]  Why did you make the back rooms?
[342.80s -> 345.62s]  I just picked the first paint that I saw.
[345.62s -> 347.62s]  Alright, we're doing farming.
[347.62s -> 353.62s]  This is it right here. We did this one.
[353.62s -> 355.99s]  We did this one. I don't remember doing this
[355.99s -> 358.61s]  one, but I think we did. I don't know how eventful
[358.61s -> 361.60s]  this one was. Well, let's go.
[361.60s -> 367.92s]  Farm Flipper. It's a new map. Seems kinda
[367.92s -> 372.53s]  big. Alright, that's the one that's available.
[372.53s -> 376.56s]  Let's do that one. Where is Molly?
[376.56s -> 379.32s]  If you're looking for the perfect couple,
[379.32s -> 381.32s]  visit our Joe and Lily
[382.75s -> 384.75s]  Inseparable since childhood, happily married and
[384.75s -> 386.75s]  good ranchers too. And yes,
[386.75s -> 388.75s]  Sury, they're doing so
[388.75s -> 391.95s]  good, yet the locals don't know what this
[391.95s -> 393.95s]  morning Joe and Lily found.
[393.95s -> 395.95s]  Their barn damaged
[395.95s -> 397.95s]  and their favorite cow Molly was gone.
[397.95s -> 400.38s]  The couple might be able to handle one of these
[400.38s -> 402.38s]  issues, but two at once
[402.38s -> 405.90s]  is too much. Let's go. What do we have to go
[405.90s -> 410.44s]  find the cow? This is huge
[410.44s -> 423.42s]  drama. So what do I need to do?
[423.42s -> 429.31s]  Alright, let's go. There we are.
[429.31s -> 439.74s]  I'll take care of that.
[439.74s -> 441.98s]  That's easy.
[445.48s -> 447.48s]  The roof is gone.
[451.98s -> 453.98s]  Plane?
[459.29s -> 461.85s]  I got it. Don't worry. Where is
[461.85s -> 464.41s]  Molly?
[464.41s -> 468.25s]  This is just a Nancy Drew.
[468.25s -> 471.00s]  The Nancy Drew plot. Alright.
[471.00s -> 475.87s]  They got two. Wait.
[475.87s -> 491.10s]  There's a lot of stuff here. Could always just go on the
[491.10s -> 493.10s]  front door. Wait, I can't go in here.
[493.10s -> 501.23s]  Why am I not allowed in the house?
[501.23s -> 503.23s]  Oh, should I remove the drain pipe?
[503.23s -> 506.49s]  What are you doing over there
[506.49s -> 508.99s]  with the drain pipe?
[508.99s -> 511.55s]  I don't know. Just figured I would move
[511.55s -> 514.24s]  it. It's kind of an eyesore.
[514.24s -> 518.40s]  Oh look, I found a cow.
[518.40s -> 521.21s]  The game volume is a little low. I'll turn it
[521.21s -> 526.65s]  up. Keep it as a souvenir.
[526.65s -> 530.17s]  Alright, let me
[530.17s -> 536.43s]  go. Hold on.
[536.43s -> 543.34s]  Where is it? I don't think the music has to be that loud.
[543.34s -> 550.70s]  How's this? Better?
[550.70s -> 553.58s]  The problem with House Flipper is some
[553.58s -> 555.58s]  sounds just explode.
[555.58s -> 561.34s]  Just be careful. We have to test
[561.34s -> 564.73s]  something. Some of this stuff is
[564.73s -> 566.73s]  so loud. So I'd just
[566.73s -> 568.73s]  be aware that it's the mixing
[568.73s -> 570.73s]  on this game was one of those things that was always kind of
[570.73s -> 572.97s]  off. I'll take out the sledgehammer
[572.97s -> 575.34s]  and it'll just be
[575.34s -> 577.34s]  I'll hit a wall and an explosion
[577.34s -> 580.16s]  happens. Oh, also too.
[580.16s -> 582.16s]  The limited
[582.16s -> 584.16s]  items in the Grotto Beast store are
[584.16s -> 586.16s]  leaving tonight.
[586.16s -> 591.28s]  Just to make sure everyone's aware of that.
[591.28s -> 593.77s]  Tonight at 12
[593.77s -> 595.77s]  at 11.59 PM Pacific
[595.77s -> 598.14s]  tonight, the posters
[598.14s -> 600.96s]  the
[600.96s -> 602.96s]  yeah, all three posters are
[602.96s -> 604.96s]  leaving the store.
[604.96s -> 606.96s]  The glow in the dark ghost shirt
[606.96s -> 609.58s]  and hoodie.
[609.58s -> 612.46s]  The glow in the dark one. The
[612.46s -> 614.64s]  original 40 shirt also
[614.64s -> 618.09s]  is going to be gone.
[618.09s -> 620.09s]  Is that what he just said?
[620.09s -> 623.92s]  I thought he said
[623.92s -> 628.14s]  there's a store. Yeah.
[628.14s -> 630.14s]  Yes, there is.
[630.14s -> 639.93s]  But anyways, yes, Grotto
[639.93s -> 648.06s]  Beasts dot net. I feel so
[648.06s -> 650.43s]  bad. Like, wait, what do
[650.43s -> 652.43s]  you mean store? It's like, oh, shit, you don't know.
[652.43s -> 654.73s]  Well, it'll be there.
[654.73s -> 658.83s]  Yeah, you can keep that there for a little bit.
[658.83s -> 667.64s]  Okay, so let me let's clean
[667.64s -> 671.48s]  the fly noise. It was kind
[671.48s -> 674.62s]  of weird. This is one of my favorite parts
[674.62s -> 676.62s]  of the game. This is going to determine how loud it is, by the way.
[676.62s -> 681.10s]  That's not bad. Usually this
[681.10s -> 690.06s]  is pretty loud. It is loud.
[690.06s -> 693.12s]  Oh, well, it didn't look that loud.
[693.12s -> 697.08s]  All right, we're going to clean all this up.
[697.08s -> 699.26s]  But that's the task.
[699.26s -> 711.55s]  It doesn't need to look filled with water.
[711.55s -> 715.58s]  Where did I get that from?
[715.58s -> 719.04s]  Wait, you can have like farm
[719.04s -> 727.42s]  animals and stuff? What's your favorite?
[727.42s -> 732.92s]  Vinny just used your likeness
[732.92s -> 734.92s]  on the screen. That's all right.
[734.92s -> 740.24s]  Vinny has expressed written permission.
[740.24s -> 748.09s]  Don't worry.
[748.09s -> 750.09s]  Yeah, Vinny has expressed
[750.09s -> 752.09s]  written permission to use my likeness.
[752.09s -> 766.04s]  Play the Home Depot
[766.04s -> 772.00s]  song. No.
[772.00s -> 775.84s]  Some of this still looks...
[775.84s -> 779.68s]  Is that shit?
[779.68s -> 781.68s]  Why would I use this? Like use as in...
[781.68s -> 783.68s]  What do you mean use? Oh,
[783.68s -> 785.68s]  I... All right. What?
[785.68s -> 788.56s]  Am I eating it?
[788.56s -> 791.63s]  Where is it going?
[791.63s -> 794.06s]  I probably shouldn't do that.
[794.06s -> 806.54s]  All right. Place a fence and gate. Remove
[806.54s -> 810.00s]  trash. Milk container.
[810.00s -> 813.84s]  Okay. Still dirt everywhere.
[813.84s -> 818.70s]  How is this still dirt?
[818.70s -> 823.05s]  Are all the windows down here clean? All right.
[823.05s -> 825.05s]  I think it's clean now.
[825.05s -> 834.97s]  Wait, window. Looks pretty good.
[834.97s -> 845.77s]  All right. I need a fence
[845.77s -> 851.60s]  and gate. So this
[851.60s -> 853.60s]  is in this room. So clean the dirt. Clean
[853.60s -> 855.60s]  the window is the way. There's one more window.
[855.60s -> 857.60s]  Oh, there's still tons of shit over there.
[857.60s -> 871.15s]  All right. That's three.
[871.15s -> 874.99s]  Oh, it's dirty up here. What's
[874.99s -> 876.99s]  the best way to find Mithril in Terraria?
[879.87s -> 881.87s]  Just take what you just wrote
[881.87s -> 886.80s]  and paste it
[886.80s -> 888.80s]  into a
[888.80s -> 890.80s]  search engine.
[890.80s -> 893.42s]  Wait, what?
[893.42s -> 897.64s]  How's the performing DLC?
[897.64s -> 901.74s]  What are you doing? What?
[901.74s -> 904.43s]  Germa, you haven't tweeted about GrottoBeast
[904.43s -> 906.99s]  once. I've retweeted the GrottoBeast
[906.99s -> 915.44s]  account, though. That counts, isn't it?
[915.44s -> 922.80s]  That you're a fake fan.
[922.80s -> 930.54s]  This dude's farming L's.
[930.54s -> 932.54s]  Can I put this up? How do I make this...
[932.54s -> 934.54s]  Oh, rotate. There we go. Shift
[934.54s -> 938.64s]  and what? I don't think I can move this.
[938.64s -> 961.02s]  Oh, right here. I thought
[961.02s -> 963.96s]  my game crashed. Yeah. I mean, the thing
[963.96s -> 965.96s]  is, I don't really use
[965.96s -> 970.38s]  any social media, like, ever.
[970.38s -> 972.38s]  Besides here and sometimes in
[972.38s -> 975.07s]  the Discord, I just
[975.07s -> 977.07s]  log off, dude. I just log
[977.07s -> 979.88s]  off. I just log
[979.88s -> 982.76s]  the fuck off. All right. That's good.
[982.76s -> 985.58s]  Wait. This is
[985.58s -> 997.93s]  still dirty. All right. Milk container.
[997.93s -> 1000.68s]  All right. This is an enclosure.
[1000.68s -> 1003.31s]  How does this work?
[1003.31s -> 1018.52s]  Like this? There's a gate.
[1018.52s -> 1029.32s]  All right. Cool. Zero
[1029.32s -> 1036.11s]  percent. You just put a baby
[1036.11s -> 1042.25s]  gate there. Wait a minute. Hold on.
[1042.25s -> 1048.52s]  It wants me to put second floor
[1048.52s -> 1051.08s]  and then in this room here.
[1051.08s -> 1053.84s]  All right. Well, it wants me to replace the tiles
[1053.84s -> 1056.46s]  here. I can handle that.
[1056.46s -> 1066.51s]  Oh, he's farming L's.
[1066.51s -> 1070.73s]  Weren't we going to start banning people that said that?
[1070.73s -> 1078.52s]  I always had the impression that we were going to start
[1078.52s -> 1080.52s]  banning people.
[1080.52s -> 1088.08s]  That's what it says in the title. Okay. Almost done.
[1088.08s -> 1097.66s]  Just the first person? Oh, well,
[1097.66s -> 1100.35s]  we can make this kind of funny, though.
[1100.35s -> 1102.35s]  So let's wait for someone
[1102.35s -> 1104.35s]  to say it. And I'm talking like
[1104.35s -> 1106.35s]  half hour from now when everyone isn't doing it
[1106.35s -> 1110.38s]  anymore.
[1110.38s -> 1113.90s]  Just like ban somebody and just talk about, hey,
[1113.90s -> 1115.90s]  I've been live for like 13,
[1115.90s -> 1118.14s]  14 hours. And you
[1118.14s -> 1120.14s]  just ruined the streak. Nobody
[1120.14s -> 1122.14s]  said it. And we were talking about how nobody said it.
[1122.14s -> 1128.60s]  Like, wait, what? No, wait, nobody.
[1128.60s -> 1130.60s]  Not everybody said that?
[1130.60s -> 1132.84s]  No, I've been streaming for like 14 hours.
[1132.84s -> 1135.98s]  Sorry, but you get
[1135.98s -> 1139.12s]  banned. Place a fence and a
[1139.12s -> 1143.72s]  gate. How did I not do
[1143.72s -> 1173.92s]  that? Didn't I do it?
[1173.92s -> 1175.92s]  You have to build on the...
[1175.92s -> 1179.05s]  Dude, I thought this was
[1179.05s -> 1181.05s]  already here. I thought this was
[1181.05s -> 1183.05s]  way too filled in. All right?
[1183.05s -> 1185.05s]  I'm sorry. This is
[1185.05s -> 1187.05s]  filled in. It needs to be
[1187.05s -> 1189.05s]  way more transparent than that.
[1189.05s -> 1191.05s]  This is a white fence.
[1191.05s -> 1193.05s]  I thought this was a white fence, guys.
[1193.05s -> 1196.38s]  I did...
[1196.38s -> 1199.71s]  All right. Whatever. I was like, this shit's
[1199.71s -> 1208.41s]  almost done. All right. Now he
[1208.41s -> 1223.20s]  is farming elves. Okay.
[1223.20s -> 1225.20s]  Someone needs to fill this dude's noggin.
[1225.20s -> 1234.16s]  That's so stupid.
[1234.16s -> 1243.56s]  I wanted to make a big gate.
[1243.56s -> 1258.65s]  All right, cool. That's done.
[1258.65s -> 1261.77s]  There's still dirt somewhere. That's
[1261.77s -> 1264.40s]  done. Okay, here we go.
[1264.40s -> 1270.54s]  Garage door. I want
[1270.54s -> 1272.54s]  to put it here so bad. I want to put
[1272.54s -> 1275.80s]  it right there. It's the poop,
[1275.80s -> 1304.40s]  dude. What the heck?
[1304.40s -> 1306.40s]  Dude, this... All right.
[1306.40s -> 1308.40s]  Isn't this supposed to be here?
[1308.40s -> 1310.57s]  No, that's supposed to be there.
[1310.57s -> 1316.89s]  Okay. I need six fluorescent
[1316.89s -> 1323.42s]  lights. Guys, I'm not trying to make
[1323.42s -> 1325.42s]  this that wonderful looking.
[1325.42s -> 1327.42s]  I'm just trying to do the mission so we can unlock
[1327.42s -> 1364.67s]  the farming stuff. Crumb of a retweet
[1364.67s -> 1367.16s]  would be cool. It's only sponsors.
[1367.16s -> 1371.58s]  I just don't
[1371.58s -> 1373.58s]  use Twitter.
[1373.58s -> 1377.72s]  Like, for anything.
[1377.72s -> 1379.72s]  When I open up Twitter to... I didn't even take
[1379.72s -> 1389.00s]  a sip out of my tea yet. No, I'll tweet
[1389.00s -> 1391.00s]  out a Grotto Beast thing. You know, one of the things, once
[1391.00s -> 1393.18s]  the commercial was out, that was sort of
[1393.18s -> 1395.48s]  like the, all right, let's go.
[1395.48s -> 1398.36s]  There will be a Grotto Beast
[1398.36s -> 1406.41s]  tweet tonight. There will be.
[1406.41s -> 1422.97s]  Maybe back here? How many do we need? One or two?
[1422.97s -> 1427.00s]  Two? Ooh, cool.
[1427.00s -> 1433.26s]  Walk through that gate?
[1433.26s -> 1440.17s]  I'm fine. I got it.
[1442.17s -> 1444.17s]  This is the kind of gate that hurts your hips
[1444.17s -> 1446.41s]  when you walk through it. This thing
[1446.41s -> 1448.41s]  scrapes bone when you walk
[1448.41s -> 1451.16s]  through this. You get wedged in
[1451.16s -> 1453.16s]  and... Ow! Okay.
[1453.16s -> 1462.70s]  My hips hurt. All right.
[1462.70s -> 1467.24s]  Some water?
[1467.24s -> 1476.97s]  Probably in here, right? How is a cow going to fit
[1476.97s -> 1478.97s]  through? We'll see. I'll fix it if I need to.
[1478.97s -> 1489.47s]  If I need to.
[1489.47s -> 1491.47s]  Somebody also...
[1491.47s -> 1494.46s]  In offline,
[1494.46s -> 1496.46s]  like free stream chat, offline chat
[1496.46s -> 1499.21s]  here, there'll be like, oh,
[1499.21s -> 1501.21s]  exclamation point, tweet.
[1501.21s -> 1503.95s]  And since, since
[1503.95s -> 1505.95s]  like the end of February, whatever
[1505.95s -> 1507.95s]  it was, it's been that Wild Hearts tweet.
[1507.95s -> 1510.76s]  It's been like two
[1510.76s -> 1512.76s]  straight months of Wild Hearts ad.
[1512.76s -> 1515.52s]  It's just been two months of an advertisement.
[1515.52s -> 1517.52s]  It's been there every single day.
[1517.52s -> 1519.52s]  Every single day
[1519.52s -> 1521.52s]  it's been there for like two or three
[1521.52s -> 1532.01s]  straight months. They're getting their
[1532.01s -> 1540.78s]  money's worth? Yeah.
[1540.78s -> 1543.34s]  That's so stupid. Fucking Twitter.
[1543.34s -> 1550.32s]  Every time I open up the Twitter app, I like
[1550.32s -> 1552.32s]  just blow the
[1552.32s -> 1562.36s]  dust off. I need milk containers.
[1562.36s -> 1569.02s]  Oh, sell
[1569.02s -> 1571.02s]  the milk container.
[1571.02s -> 1575.63s]  Where are they? Oh, is this a milk container?
[1575.63s -> 1582.84s]  No? What is
[1582.84s -> 1593.08s]  a milk container? Oh, okay. That's
[1593.08s -> 1596.86s]  what I wanted to get rid of. So there's a
[1596.86s -> 1598.86s]  milk container somewhere in here?
[1598.86s -> 1602.30s]  It's not these, is it?
[1602.30s -> 1604.54s]  No, I like placed these.
[1604.54s -> 1606.54s]  Where's these? What is two milk containers?
[1606.54s -> 1608.84s]  Oh, it's these.
[1608.84s -> 1610.84s]  I thought I was looking. Okay. I was like, what the hell
[1610.84s -> 1614.17s]  does it want me to look for? Next to the door.
[1614.17s -> 1617.56s]  Oh,
[1617.56s -> 1619.56s]  boy. We just got a raid
[1619.56s -> 1621.56s]  from Squeaks.
[1621.56s -> 1625.26s]  What's up, Squeaks? And what's up?
[1625.26s -> 1627.26s]  What do you call your
[1627.26s -> 1630.08s]  audience? The Squeak
[1630.08s -> 1633.66s]  Maniacs.
[1633.66s -> 1636.16s]  Thanks for the raid. We just started
[1636.16s -> 1640.70s]  playing some house flipper. Those of you that are
[1640.70s -> 1642.70s]  in this community that have not
[1642.70s -> 1646.28s]  followed Squeaks, stupid
[1646.28s -> 1648.72s]  behavior. No, Squeaks is
[1648.72s -> 1656.01s]  awesome. What do I have to do out here?
[1656.01s -> 1661.58s]  Oh, oh my
[1661.58s -> 1663.58s]  look, there's chickens.
[1663.58s -> 1669.88s]  What? What?
[1669.88s -> 1674.88s]  Follow me.
[1674.88s -> 1676.88s]  What? Hold on.
[1676.88s -> 1678.88s]  Can I have like just a bunch of chickens follow me
[1678.88s -> 1680.88s]  around and help me? How many can I have
[1680.88s -> 1695.34s]  at one time? Cool.
[1695.34s -> 1703.15s]  Did you see the coffee bit Squeaks
[1703.15s -> 1705.15s]  did on stream a few days? Yes, I did.
[1705.15s -> 1708.09s]  It's classic. Pour
[1708.09s -> 1710.09s]  something out as if you're pouring it
[1710.09s -> 1712.09s]  onto your desk, but it goes into another container.
[1712.09s -> 1714.09s]  And then you pour that container out.
[1714.09s -> 1716.09s]  Oh, unbelievably classic.
[1716.09s -> 1724.03s]  You left it open? Oh, shit, I did.
[1724.03s -> 1730.17s]  Wait, wait, wait, wait. Everybody follow
[1730.17s -> 1734.84s]  No, no, I'll lose them. I'm not
[1734.84s -> 1736.84s]  ready for this, but I am ready for like in a couple hours
[1736.84s -> 1738.84s]  to have like 300. Like, I'm just
[1738.84s -> 1740.84s]  gonna have like a chicken army walk around with me.
[1740.84s -> 1752.48s]  I'm back in here. Okay.
[1752.48s -> 1755.29s]  Stop following me.
[1755.29s -> 1757.29s]  Can I give a treat? What is this?
[1757.29s -> 1760.56s]  Really? What could I do?
[1760.56s -> 1762.56s]  Minus one sunflower. Is it bad?
[1762.56s -> 1767.93s]  Grass is kind of tall in here.
[1767.93s -> 1784.04s]  You guys hungry? Okay, I gotta
[1784.04s -> 1786.04s]  make sure no one's following me. I don't want them to be stuck.
[1786.04s -> 1789.18s]  There were three following me. It was
[1789.18s -> 1791.87s]  these three, right? Alright, we're good.
[1791.87s -> 1804.28s]  That's cool. I'm gonna
[1804.28s -> 1817.66s]  blame that on somebody else. They want a
[1817.66s -> 1820.41s]  different window up here.
[1820.41s -> 1831.36s]  Can I break this? What did I just
[1831.36s -> 1833.66s]  do?
[1833.66s -> 1835.66s]  This might be loud. I'm warning you.
[1835.66s -> 1838.03s]  This is actually, this is probably gonna be loud. We need to test
[1838.03s -> 1840.03s]  and see. This is the loudest object in the whole game. Just be
[1840.03s -> 1848.22s]  aware of this. Is there, do I have a ladder?
[1848.22s -> 1862.22s]  Wait a minute.
[1862.22s -> 1866.57s]  Use tool grappling hook? Where's
[1866.57s -> 1877.00s]  a grappling hook? Grappling hook?
[1877.00s -> 1894.35s]  Flashlight, jump,
[1894.35s -> 1896.35s]  crouch, run. Grapple,
[1896.35s -> 1904.99s]  it's in the wheel? Oh, wait.
[1904.99s -> 1906.99s]  Wait a minute. Whoa, drone.
[1906.99s -> 1910.38s]  Oh my god. Okay.
[1910.38s -> 1917.36s]  Hold on. That's pretty cool. That's
[1917.36s -> 1919.36s]  new. That wasn't in the game before.
[1919.36s -> 1933.10s]  Alright, I'm warning you. This is loud.
[1933.10s -> 1935.10s]  I'm warning you. Please turn your volume down.
[1935.10s -> 1938.88s]  We need to test and see how loud it is.
[1938.88s -> 1941.31s]  And I knew it. I knew it was gonna be loud.
[1941.31s -> 1950.91s]  Okay, I need to upgrade
[1950.91s -> 1954.09s]  to
[1954.09s -> 1956.78s]  more faster demolition. I don't have any
[1956.78s -> 1959.79s]  of my old points, but it's alright.
[1959.79s -> 1961.79s]  Okay, so we need beds.
[1961.79s -> 1967.10s]  Get a couple of these.
[1969.34s -> 1971.34s]  Buckets, whatever.
[1971.34s -> 2007.28s]  Maybe these are dirty. Okay.
[2007.28s -> 2025.00s]  How am I gonna fit three of these?
[2025.00s -> 2027.00s]  Dude, get rid of the huge
[2027.00s -> 2031.04s]  pile of shit.
[2031.04s -> 2044.92s]  That's not just poop, isn't this?
[2044.92s -> 2046.92s]  I don't know why I was thinking of that. I didn't
[2046.92s -> 2049.10s]  finish my thought. There's another squeaks bit that was
[2049.10s -> 2051.40s]  really funny for all the
[2051.40s -> 2055.04s]  squeak maniacs that are here.
[2055.04s -> 2057.40s]  When he had the thing
[2057.40s -> 2059.40s]  transcribing him talking
[2059.40s -> 2062.03s]  and he muted his mic and just started
[2062.03s -> 2064.03s]  talking shit. And he was just
[2064.03s -> 2066.03s]  transcribing everything he said.
[2066.03s -> 2071.79s]  Pretty good. They're already gone.
[2071.79s -> 2075.95s]  Oh, well, whatever.
[2075.95s -> 2078.57s]  So why can't I place this?
[2078.57s -> 2080.57s]  Do I have to break all this first?
[2080.57s -> 2092.60s]  Yeah, see, it's like, oh, it needs to be bigger.
[2092.60s -> 2096.25s]  How do I replace this?
[2096.25s -> 2099.39s]  Sell it? Yes.
[2099.39s -> 2106.94s]  Loud. Incoming.
[2106.94s -> 2111.85s]  Oh, cool.
[2111.85s -> 2116.52s]  That's good. Look at this.
[2116.52s -> 2118.52s]  Look at how clean it is and look at how nice
[2118.52s -> 2147.52s]  it is.
[2147.52s -> 2149.52s]  Dude, it's 3am and we shouldn't be mowing.
[2149.52s -> 2167.74s]  Alright, I did it. Look at that.
[2167.74s -> 2170.11s]  So much cleaner.
[2170.11s -> 2172.80s]  All the lights are on the ground.
[2172.80s -> 2174.80s]  Oh, I
[2174.80s -> 2177.48s]  didn't do shit on the ceiling.
[2177.48s -> 2179.48s]  Uh, whoops, forgot that
[2179.48s -> 2187.04s]  was the thing I had to do.
[2187.04s -> 2201.31s]  Back home. You've received the
[2201.31s -> 2203.31s]  architect tool. Congratulations.
[2203.31s -> 2205.31s]  You've unlocked a new tool. From now on
[2205.31s -> 2207.31s]  you can build structures.
[2207.31s -> 2211.53s]  I've been playing this game for six, seven,
[2211.53s -> 2215.05s]  eight years. It's been a long time coming
[2215.05s -> 2218.83s]  for this. From now on you can build structures. Use
[2218.83s -> 2220.83s]  the architect tool and place the foundation
[2220.83s -> 2222.83s]  on the ground, then select its borders
[2222.83s -> 2225.64s]  and give it a desired shape. Okay.
[2225.64s -> 2227.64s]  Finally press the E key to erect the building.
[2227.64s -> 2231.66s]  New tool. To plot a field
[2231.66s -> 2233.66s]  select a hoe from the tools menu.
[2233.66s -> 2235.66s]  Choose a field with Q plus
[2235.66s -> 2238.41s]  that middle mouse button
[2238.41s -> 2264.01s]  and click on the ground. Okay.
[2264.01s -> 2268.81s]  House building. Paint
[2268.81s -> 2270.81s]  gun. What's the paint gun?
[2270.81s -> 2274.46s]  What? Okay.
[2274.46s -> 2280.16s]  Most of these tools are new.
[2280.16s -> 2294.43s]  Just go back here. Okay. Paint gun.
[2294.43s -> 2301.71s]  Alright. Change size.
[2301.71s -> 2312.14s]  Well, this is way faster.
[2312.14s -> 2324.80s]  That's so much faster.
[2324.80s -> 2327.74s]  Okay, cool. What about the drone?
[2327.74s -> 2337.40s]  Alright, where am I? Am I the drone?
[2337.40s -> 2353.92s]  Can I fly the drone in the house?
[2353.92s -> 2356.80s]  You can. Okay, that's weird.
[2363.84s -> 2367.68s]  What happened? What the fuck?
[2367.68s -> 2369.68s]  That thing's a cheap piece of shit.
[2369.68s -> 2379.77s]  That thing's a piece of shit. Alright, what's the next
[2379.77s -> 2384.44s]  mission? 89 missions
[2384.44s -> 2387.52s]  to do on Happy Ranch.
[2387.52s -> 2393.21s]  Huh? Wait, I can just buy one?
[2393.21s -> 2395.21s]  Wait, what do you mean I can buy a
[2395.21s -> 2424.96s]  cow? Why?
[2424.96s -> 2427.32s]  I'm just looking out and there
[2427.32s -> 2432.38s]  is a cow here. Okay.
[2432.38s -> 2434.38s]  Well, follow me because you should probably be in the...
[2434.38s -> 2439.44s]  Oh, this is a bad idea. Can I make a
[2439.44s -> 2441.44s]  bed? I need to make a cow bed.
[2441.44s -> 2453.00s]  Can you fit in here? Wait, goats?
