[0.31s -> 14.53s]  Hey, what is going on, everybody? Jirban here with a Team Fortress 2 gameplay commentary.
[223.70s -> 227.70s]  No, no. God, no, because that would suck because I spend so much money on games to begin with.
[227.70s -> 231.70s]  I'm glad that games are a lot cheaper now, especially if you're on PC.
[231.70s -> 237.70s]  If you're on console, you're still looking at about like $50 to $60 for every pretty much major retail release.
[237.70s -> 245.70s]  But on PC, we have the Steam sales, the Stales, we have the Steam sales, we have Amazon, we have get a good old games.
[245.70s -> 250.88s]  We have a lot of places that give us high discounts on games, but the point still stands.
[250.88s -> 255.88s]  Nobody is really willing to pay $80 anymore for a default standard game.
[255.88s -> 262.88s]  Now you can go to the manufacturing side of things and say, well, Jerma, the reason why they are not $80 anymore
[262.88s -> 267.88s]  is because cartridges were crazy expensive to make and discs are a lot cheaper.
[267.88s -> 269.88s]  Yeah, that makes a whole lot of sense. That does make sense.
[269.88s -> 278.92s]  But people are really, really hesitant nowadays to spend even like $15 to $20 on a game now that's new.
[278.92s -> 283.92s]  I'm guilty of doing this. I am guilty myself of doing this, and I'm trying to figure out why this is.
[283.92s -> 287.92s]  A game will come out on Steam that I know is supposed to be pretty good.
[287.92s -> 291.92s]  I've seen reviews on it. I've heard people talk about it, and it's like $25.
[291.92s -> 298.16s]  And I'm sitting there in my chair going, it's a little too, it's a little fucking expensive, ain't it?
[298.16s -> 302.16s]  And then I go back in time and I'm like, wait, I used to spend $80 on games.
[302.16s -> 305.16s]  What am I talking about? Why is that such a big deal?
[305.16s -> 315.16s]  Why is a game being like $17 or $16, $15, whatever your regional equivalent is, why is that such a big deal now?
[315.16s -> 316.16s]  I don't know.
[316.16s -> 322.66s]  And especially considering that graphical fidelity in games has gone really through the roof in the last 10 to 20 years.
[322.66s -> 326.66s]  You guys remember like Tomb Raider, remember old PlayStation 1 Tomb Raider
[326.66s -> 328.66s]  with like the triangle block boobs?
[328.66s -> 332.66s]  Like that's an iconic picture when you're talking about graphical fidelity.
[332.66s -> 339.09s]  But I know most of these games that come out nowadays are a little less graphical fidelity.
[339.09s -> 345.09s]  They're very retro. They're very stylized. They're not so much, hey, look at our crazy graphics engine as it is.
[345.09s -> 348.09s]  Hey, look at this fun gameplay that I created. I understand that.
[348.09s -> 351.46s]  But I'm just trying to piece the pieces together.
[351.46s -> 353.46s]  And if you guys have any ideas in the comments, please let me know.
[353.46s -> 359.46s]  But why are we okay with paying that much money back then but not okay with it now?
[359.46s -> 362.46s]  I guess that's the question of the video.
[362.46s -> 364.63s]  So that's going to wrap it up, guys. I hope you enjoyed.
[364.63s -> 366.63s]  I'll see you guys all next time.
[366.63s -> 367.63s]  Thank you so much for watching.
[367.63s -> 368.63s]  That's going to wrap up the video.
[368.63s -> 375.78s]  And of course, take care, everybody.
[375.78s -> 379.78s]  You probably expected a weird sound sometimes like I do at the end of my videos.
[379.78s -> 381.02s]  I don't know.
[381.02s -> 382.02s]  Kind of got old.
