[0.31s -> 13.38s]  Hey, what is going on, everybody? Jermaw here with a Team Fortress 2 gameplay commentary.
[334.94s -> 337.94s]  It's good to switch over at the last second before the height meter fills up.
[337.94s -> 339.94s]  And wait, maybe get yourself in a better situation.
[339.94s -> 341.94s]  If nobody's around, you probably shouldn't be using the mini crits.
[341.94s -> 345.94s]  But it shouldn't be something that you're just actively thinking about.
[345.94s -> 346.94s]  It should be something that's in the back of your head.
[346.94s -> 349.94s]  Because when you start to go, oh, wait, I don't want to use those crits now.
[349.94s -> 350.94s]  Oh, damn it.
[350.94s -> 352.94s]  Oh, and you switch out and you switch back and you switch out.
[352.94s -> 359.12s]  You're giving your brain something else to do rather than actively pursuing a point or attacking somebody.
[359.12s -> 364.12s]  And most of the time when you're in that situation when there's nobody around, like I said, that's okay.
[364.12s -> 368.12s]  But if there are people around, if there's at least one or two enemies around, just let the crits happen.
[368.12s -> 369.12s]  You don't have to store them.
[369.12s -> 375.12s]  You don't hoard them and think of a time when it would be a better situation for it because the thing is going to pop right back up in no time.
[375.12s -> 377.12s]  The hype meter fills pretty quickly.
[377.12s -> 382.12s]  So don't be afraid to just let the crits roll out as long as there's a couple people around.
[382.12s -> 385.81s]  But that is going to conclude this video, guys.
[385.81s -> 387.81s]  Thank you all so much for watching.
[387.81s -> 388.81s]  I really do appreciate it.
[388.81s -> 389.81s]  And I'll see you guys all soon.
[389.81s -> 392.81s]  And of course, take care, everybody.
