[3.45s -> 12.36s]  What is up guys, it's Germa here with another gameplay commentary.
[274.08s -> 276.08s]  Sorry, Chicken, I got you.
[277.08s -> 282.32s]  Get the assist on that demo man and then smash myself right into a grenade.
[282.32s -> 286.32s]  But again, that's what you want to do as a demo man using the demo night setup.
[286.32s -> 292.32s]  You want to make people think that you're running away or make people think you're vulnerable and then smash them, baby.
[292.32s -> 296.50s]  So we have one second left and now there's overtime.
[296.50s -> 298.50s]  And we end up actually winning this. It is a great...
[298.50s -> 302.50s]  Look at this, just chaos on the point. I love chaos on the point.
[302.50s -> 303.50s]  It's a whole lot of fun.
[303.50s -> 307.50s]  Get a bunch of assists, get a bunch of kills in that little short period.
[307.50s -> 310.93s]  And now we are the winners of the game.
[310.93s -> 312.93s]  That is not the end, guys.
[312.93s -> 317.30s]  I know some of you might have thought that was the end, but it is not the end.
[317.30s -> 324.30s]  I have a couple of small bonus clips of me just destroying people as the Heavy,
[324.30s -> 329.30s]  using the killing gloves of boxing and the Buffalo Steak Sandwich,
[329.30s -> 333.30s]  getting the crit so you can crit, crit, crit over and over and over again.
[333.30s -> 340.78s]  And it was pretty funny. I played like this for an entire game for at least probably maybe 20 to 30 minutes.
[340.78s -> 342.78s]  This is all I was doing.
[342.78s -> 344.78s]  So I hope you enjoyed these bonus clips.
[344.78s -> 347.78s]  I'm not going to really commentate on them because it's pretty self-explanatory.
[347.78s -> 349.78s]  You'll get to see what I do.
[349.78s -> 352.78s]  You're actually seeing it right now, so I hope you're laughing.
[352.78s -> 356.78s]  Just absolutely crushing people, getting in front of a spawn room door and stuff like that.
[356.78s -> 360.78s]  Just one, two, three, four.
[360.78s -> 363.78s]  Let me just say this before this ends, before these little bonus clips are over.
[363.78s -> 367.78s]  Guys, this is actually a pretty legitimate setup.
[367.78s -> 374.32s]  If you can kill one person with these gloves, you will just go on a tirade.
[374.32s -> 377.32s]  As you can see, I'm not an expert at melee.
[377.32s -> 381.32s]  I just go on a complete and total catastrophe with these things.
[381.32s -> 384.32s]  And you can kill like four, maybe five people in a row.
[384.32s -> 388.32s]  You can kill like five people in one second.
[388.32s -> 392.32s]  Just by going one, two, three, four, and get a line of people.
[392.32s -> 394.94s]  It's like a chain stab.
[394.94s -> 397.94s]  But anyways, guys, I want to say thank you so much for watching.
[397.94s -> 398.94s]  You guys are awesome.
[398.94s -> 404.94s]  I hope you enjoyed this little goofy couple of gameplays of Demo Night and Heavy Freak Show.
[404.94s -> 405.94s]  So thank you all for watching.
[405.94s -> 410.21s]  Take care, everybody, and I hope to see you all next time.
