[0.31s -> 16.77s]  This is not fair. Here's what I'm playing with. Floppy disk, ash cheeks, Illidan from Warcraft.
[614.15s -> 617.78s]  Oh, well, then I'm gonna scream.
[619.78s -> 629.08s]  Yeah, living room set, baby. Who wants it? 799? 799? 799?
[629.08s -> 631.70s]  Holy crap, no!
[631.70s -> 633.94s]  I think somebody's on knife.
[633.94s -> 635.94s]  Yeah, it's almost the end of the game. You almost got me.
[636.94s -> 639.12s]  No! I could have gone that knife.
[639.12s -> 641.12s]  I'm terrified right now. I'm terrified.
[642.12s -> 644.12s]  Where is he? Yes!
[644.12s -> 646.12s]  Did you get him? On the AFK.
[647.12s -> 649.12s]  I had to get it. There we go.
[650.12s -> 653.81s]  Well, I want to thank my parents for raising me properly.
[653.81s -> 656.81s]  I want to thank Jerma for being a good sport while I stole all his kills.
[656.81s -> 658.81s]  And Gigi, that's pretty much it.
[658.81s -> 660.81s]  That's pretty much it.
[660.81s -> 662.81s]  GG.
