[3.13s -> 4.33s]  All right, let's go.
[1189.67s -> 1191.46s]  Don't, it's me doing that.
[1191.46s -> 1193.78s]  The books, I was gasping as the audience.
[1193.78s -> 1197.00s]  The book's heavier than its slender spine suggests.
[1198.71s -> 1199.27s]  It's the game.
[1199.27s -> 1199.91s]  It's the game.
[1201.26s -> 1203.66s]  It's gone meta.
[1203.66s -> 1204.54s]  Look at this.
[1204.54s -> 1207.83s]  It's full of strange stories.
[1207.83s -> 1208.55s]  It's you.
[1208.55s -> 1209.59s]  No, no, no.
[1209.59s -> 1210.55s]  You can, you want to narrate this.
[1210.55s -> 1210.87s]  Go on.
[1210.87s -> 1211.11s]  Go ahead.
[1211.11s -> 1212.23s]  Oh, I thought I was reading it.
[1212.23s -> 1213.59s]  But no, I, yeah.
[1213.59s -> 1214.55s]  Anyone can narrate.
[1214.55s -> 1214.87s]  All right.
[1214.87s -> 1216.15s]  It's full of strange stories.
[1216.15s -> 1220.34s]  The folklore of folk long forgotten.
[1220.34s -> 1224.78s]  Candlelight leaping strikes no significant bell.
[1224.78s -> 1227.90s]  It's the weird story of a child watching candlelight
[1227.90s -> 1230.30s]  against the ceiling and wishing himself through it
[1230.94s -> 1234.04s]  to a far realm without grownups.
[1234.04s -> 1237.00s]  Wait, why, how old am I?
[1237.00s -> 1237.64s]  What?
[1237.64s -> 1239.34s]  Why am I reading this book?
[1239.34s -> 1240.22s]  Why do I have this?
[1241.54s -> 1243.30s]  Maybe you just, maybe you're an adult
[1243.30s -> 1244.90s]  and you just want to go where there's no other grownups.
[1246.89s -> 1252.79s]  Gift of the Inscriptor proposes an unlikely legend
[1252.79s -> 1257.35s]  that one spider-limbed woman crafted all written language.
[1257.35s -> 1260.87s]  She trapped ants between vellum and pressed them so long
[1260.87s -> 1265.45s]  and relentlessly that they became letters.
[1265.45s -> 1270.55s]  Mama Thunder Roast's horn spins the yarn of a mother
[1270.55s -> 1272.63s]  who drank so much and laughed so freely
[1272.63s -> 1274.79s]  that she grew a beautiful spiral horn.
[1274.79s -> 1276.44s]  Her children were very proud.
[1276.68s -> 1279.28s]  Huh?
[1279.90s -> 1285.11s]  I did that.
[1291.22s -> 1293.43s]  This book.
[1300.06s -> 1301.56s]  What's happening with this?
[1301.56s -> 1303.16s]  There's room in it for another story.
[1306.12s -> 1308.50s]  I'm stuck here.
[1308.50s -> 1313.53s]  But all right, this is how I'd start it.
[1313.53s -> 1315.85s]  Here in my yondering country.
[1316.17s -> 1319.85s]  Thomas writes, words are ready.
[1320.41s -> 1322.81s]  Omens have formed in the fabric of everything
[1322.81s -> 1324.97s]  and he's beginning to recognize them now.
[1324.97s -> 1325.47s]  Okay.
[1326.09s -> 1327.61s]  Some are just misgivings.
[1327.61s -> 1328.89s]  They've crept through his body
[1328.89s -> 1330.89s]  like the sourceless aches one wakes with.
[1331.85s -> 1333.13s]  Others are more substantial.
[1333.69s -> 1337.93s]  Now they seem lightning plain, a promise of thunder.
[1337.93s -> 1340.39s]  Somebody just called me a theater kid and it made me mad.
[1340.39s -> 1340.89s]  Hold on.
[1342.63s -> 1344.23s]  Time that person up for five minutes.
[1344.23s -> 1348.55s]  From the wild black woods where birds once belled,
[1348.55s -> 1350.81s]  a hateful silence churns.
[1353.75s -> 1355.11s]  Pain lights Thomas's head.
[1359.96s -> 1360.68s]  What?
[1360.68s -> 1361.40s]  Oh, I'm fired.
[1361.40s -> 1361.88s]  I made it.
[1364.55s -> 1366.31s]  He lowers his bleary eyes.
[1367.56s -> 1370.76s]  His story lies before him in luminous script.
[1370.76s -> 1373.24s]  Empty pages have sprouted behind it.
[1373.24s -> 1379.74s]  Why do I feel powerful?
[1379.74s -> 1382.81s]  Okay. What do you do?
[1382.81s -> 1386.17s]  I pull out a spoon.
[1386.17s -> 1387.21s]  Open wide, beast.
[1387.21s -> 1388.41s]  I'm getting out of here.
[1388.41s -> 1391.96s]  All right.
[1392.04s -> 1394.04s]  So this is a, you're fighting a rager.
[1394.04s -> 1396.28s]  This is going to be a solo combat for you.
[1396.28s -> 1396.78s]  Okay.
[1398.33s -> 1400.01s]  It charges without seeing.
[1400.01s -> 1402.09s]  And you've got actions.
[1402.09s -> 1406.04s]  I believe you can still cast spells as a wizard with a spoon.
[1406.04s -> 1407.16s]  Oh, that's right.
[1407.16s -> 1407.64s]  I'm a wizard.
[1407.64s -> 1408.14s]  Okay.
[1408.36s -> 1410.17s]  Where is this beast?
[1410.17s -> 1413.21s]  So you have to see him for him to appear.
[1413.21s -> 1413.77s]  I don't know.
[1413.77s -> 1415.83s]  Oh wait, attack scenery?
[1415.83s -> 1418.55s]  Yeah. So what you want to, so what you can do as a wizard
[1418.55s -> 1422.55s]  is you can basically imbue a piece of scenery with a spell
[1422.55s -> 1423.99s]  and then the following turn,
[1423.99s -> 1427.67s]  you can throw the thing you imbued at the beast.
[1427.67s -> 1430.55s]  So if you imbued a table or a fireplace,
[1430.55s -> 1433.69s]  you could throw a flame at the beast on the next turn.
[1433.69s -> 1434.25s]  Oh, okay.
[1434.25s -> 1435.05s]  So I could.
[1435.05s -> 1436.73s]  So you can see how there's like a link
