[0.31s -> 12.39s]  Hey, what is going on, everybody? Yo, what's up? How you doing? How you been? How's your day?
[198.23s -> 203.55s]  Something that can take out sentry guns or help push the team into the intelligence room.
[203.55s -> 206.58s]  And the answer is very simple, and a lot of you guys can relate to this.
[206.58s -> 211.42s]  Sometimes you just want to play a certain class and you're doing well with that class.
[211.42s -> 215.10s]  You're not like, you know, just going zero points and not doing anything for the team.
[215.10s -> 217.82s]  You're doing pretty well and you don't really feel like changing.
[217.82s -> 221.26s]  And that class changes for me all the time.
[221.26s -> 228.02s]  So sometimes I'll jump on Demoman and play absolutely terribly and I'll jump on Spy and be doing well.
[228.02s -> 233.50s]  You just fit into the mood of the class that you happen to be playing at that given time.
[233.50s -> 236.70s]  As you can see right there, there's a sentry is literally right there.
[237.06s -> 238.62s]  That scout was pretty brave.
[238.62s -> 243.10s]  I give you two thumbs up for trying their scout, but it was going to be very difficult for you to get out of there.
[243.10s -> 244.98s]  And me, I'm just backing myself up.
[244.98s -> 249.38s]  I don't want to get in any trouble here because I know I'm on a streak.
[249.38s -> 256.62s]  And when you get on a streak like this, when you get like eight, nine, ten kills in a row and you can probably reach to one of the records you hold.
[256.62s -> 260.64s]  I think the record I have for scout kills in one life is 16.
[260.64s -> 263.48s]  And I just barely don't get it in this gameplay.
[263.48s -> 265.08s]  And you play a lot differently.
[265.08s -> 269.60s]  And when you know that you could get that little thing to pop up and say, hey, you know, you passed your record.
[269.60s -> 271.08s]  It's like, oh, nice.
[271.08s -> 274.72s]  But you play very cautiously when that happens because you don't want to die.
[274.72s -> 284.66s]  Dying is like the worst thing when you know you're on a good streak because the times when you would have risked trying to do something, you will pull back and you'll be a little bit more cautious about it.
[284.66s -> 288.18s]  That's kind of what I was doing here, kind of playing the field a little bit.
[288.18s -> 291.94s]  And I guess it brings me to the question of the video, so to speak.
[291.94s -> 295.18s]  Doesn't have to be as scout, doesn't have to be as any particular class.
[295.18s -> 300.26s]  But what is the highest amount of kills that you have in one life?
[300.26s -> 302.22s]  Is it 40 with a demo man?
[302.22s -> 303.62s]  Is it like 30 or something?
[303.62s -> 310.54s]  I think my highest, I'm pretty sure my highest is with the heavy and it's like 27 or like 35 or something.
[310.54s -> 315.34s]  I can't remember, but I know it's just about 30, if not a little more than 30 with the heavy.
[315.34s -> 321.42s]  I'm going to assume that most of us have most of those with the heavy or one of the big power classes.
[321.46s -> 325.30s]  But maybe differently, maybe some of you guys have that with sniper or spy or something.
[325.30s -> 327.74s]  Let me know and we're going to end the video there, guys.
[327.74s -> 330.04s]  So just a quick little casual commentary.
[330.04s -> 332.40s]  It's been a beautiful couple of days here in Boston.
[332.40s -> 334.44s]  Hopefully some of you guys are enjoying the summer.
[334.44s -> 336.72s]  Hopefully some of you guys are getting out of school right now.
[336.72s -> 339.72s]  Some of you seniors in college are probably already out.
[339.72s -> 345.84s]  And congratulations if you happen to have graduated from either high school or college in the last couple of weeks or in the weeks to come.
[345.84s -> 347.40s]  And I'll see you guys all next time.
[347.40s -> 349.88s]  And of course, take care, everybody.
