[0.31s -> 14.06s]  Hey, what's going on guys? Jerma here with a Team Fortress 2 gameplay commentary.
[144.22s -> 151.22s]  They both have the same function times, they both act the same way, except of course they have a little bit different clip size, I'm sure you know.
[151.22s -> 156.22s]  And the quicker switches between different weapons or items with the Reserve Shooter.
[156.22s -> 161.76s]  Now that out of the way, think of the Reserve Shooter as a double-barreled shotgun.
[161.76s -> 166.50s]  And what do I mean by that? Pretty much I'm talking about pellet spread.
[166.50s -> 169.50s]  Now let's really break this down for a second here.
[169.50s -> 175.50s]  If I launch somebody in the air, on average with the Reserve Shooter, I'm probably, depending on where they're standing,
[175.50s -> 181.86s]  I'm probably going to do 40 to 80, maybe 50 to 80 damage if I'm good and close or at medium range.
[181.86s -> 190.28s]  Now if I do the same thing with the shotgun, you're talking maybe 25 to 40 damage from medium range, medium close range.
[190.28s -> 196.28s]  So really it's going to take two shots from your shotgun to equal one of the Reserve Shooter mini crits.
[196.28s -> 203.28s]  So that's why I say it's sort of like a double-barreled shotgun, and that totally, 100% relies on pellet spread.
[203.28s -> 208.28s]  Because on paper, on no bullet spread servers, it's going to be quite different.
[208.28s -> 213.28s]  But because there is spread in this game, you're never going to see the same numbers over and over again.
[213.28s -> 218.52s]  Now this would not be the case at all if they had different pellet spread mechanics.
[218.52s -> 225.52s]  But like I said in the beginning, they're both the exact same shotguns with just a little bit different tweaking here and there.
[225.52s -> 233.95s]  So if you put yourself in the position to think that this is a double-barreled shotgun, in your mind there's really six shots.
[233.95s -> 238.95s]  You only get to shoot three times, but you're shooting six bullets. That's what goes on in my brain.
[238.95s -> 243.95s]  And it really does help you out because instead of just freaking out going, there's only three shots, I can't hit anybody,
[243.95s -> 251.95s]  just slow down a little bit, launch somebody in the air, get that one shot on them, tell yourself in your brain that you just shot two,
[251.95s -> 255.95s]  that's a double-barreled shotgun, of course, I just did double damage, extra damage.
[255.95s -> 258.95s]  And you aren't doing extra damage, you aren't doing double damage.
[258.95s -> 264.95s]  Well technically you are, because what is it, a mini-crit 130% or 30% extra or something like that.
[264.95s -> 267.95s]  But it's the pellet spread that allows you to think like that.
[267.95s -> 277.38s]  Now where this shotgun really, really is not good is if you are missing pellets or you're not a great shot with your shotgun.
[277.38s -> 284.38s]  Because if you miss once or you miss twice, it's like missing four or five times with the normal shotgun.
[284.38s -> 290.62s]  So I would say before equipping the reserve shooter, try and get more confident with your regular shotgun.
[290.62s -> 298.49s]  And can you guys hear that? What are you doing? My dog is just literally digging in my bed, he's not going to go anywhere.
[298.49s -> 303.49s]  You are not going to go anywhere, I hope you know that, you're going to stay here, you can't dig through a bed, maybe you can.
[303.49s -> 305.49s]  I should be careful with that.
[305.49s -> 312.86s]  But anyways you get the idea, the reserve shooter is a little more advanced, a little more difficult to use.
[312.86s -> 320.86s]  So again I would suggest not using it until you're more familiar with the shotgun, you play with the shotgun for a while, then switch to the reserve shooter.
[320.86s -> 325.86s]  And I'll tell you right now, it took me a while to get these couple of little gameplay clips here.
[325.86s -> 331.86s]  I'm not that good with it, I've been trying to get better with it, trying to figure out a couple of different options to use it.
[331.86s -> 336.86s]  But hopefully some of this stuff can give you guys some tips and hopefully improve your reserve shooter game.
[336.86s -> 339.86s]  But that's going to be the end of the video, hopefully you guys enjoyed it.
[339.86s -> 342.86s]  Thank you so much for watching guys, I really do appreciate it.
[342.86s -> 348.03s]  And I will see you all next time, so take care everybody.
