[20.73s -> 32.18s]  Hello, and welcome to the easy bake oven stream. I don't can you hear me? Can you guys hear me?
[598.52s -> 605.67s]  No, I don't have any oil. Can I just like use my like forehead? Oh
[606.88s -> 612.32s]  Fuck I didn't know I was gonna need oil. Oh, it did said it didn't need that said everything's in the package. It didn't say it
[612.92s -> 617.60s]  It's all right. We're gonna this might be a disaster. I'm gonna lick it. No, I'm not that's disgusting
[617.60s -> 620.67s]  All right, here we go. It'll just be a little crusty
[620.67s -> 623.23s]  I'll just have to like I'll just have to like fucking get up there and like
[623.87s -> 630.99s]  It'll be fine this thing this thing just started ticking it was like
[632.17s -> 640.35s]  It's like a bomb. No, what the fuck is that? That it was ticking. I don't have any butter
[640.35s -> 649.94s]  I'm in like I'm in a studio right now. I didn't bring any butter. Alright, let's start
[649.94s -> 656.33s]  Let's make the sauce pour one marinara sauce mix and one and a half teaspoons. This is a teaspoon
[656.49s -> 667.78s]  What is this? What is this? Is this a teaspoon or is this a tablespoon by the way?
[667.78s -> 674.29s]  Why can't they just be one two, three four or five? Why does that tablespoon teaspoon a pinch a dash a
[675.21s -> 678.09s]  Tap none of just one two, three, four or five
[678.25s -> 681.65s]  Why does it have to be like that just why I don't understand why teaspoon and tablespoon
[682.52s -> 692.57s]  Tablespoon should be two teaspoons should be one or zero. All right marinara saw. Where's that marinara's mix artificially flavored?
[692.57s -> 700.05s]  Oh, you really grandma didn't make this. Are you sure maybe she did? Okay
[701.05s -> 706.05s]  Pour one and a half pour the marinara sauce mix into a bucket. I'm gonna put it in here
[706.09s -> 720.08s]  Can you see what I'm doing here? All right, let's take a look. Okay in there. It looks
[720.68s -> 732.83s]  Looks like fun dip. Don't knock that over. All right strawberry fun strawberry mint fun dip. All right, there it is
[732.83s -> 740.76s]  Oh, that's a smell that I've not smelled in my life
[741.28s -> 749.60s]  Okay, so then pour one and a half teaspoons of water into into bowl stir the mixture with a spoon and set it aside for later
[749.76s -> 762.85s]  Okay, so here's one why does it have to be this hard kind of fucking spoon is flat
[763.25s -> 782.20s]  Alright, don't freak out. What the what's a magic trick? This is a magic trick. Whatever. I don't care one
[782.36s -> 787.62s]  Okay, that's one and a half. I think okay. Let's stir it up. You ready
[787.62s -> 794.82s]  Okay, you guys and you guys you guys doing it at home. I feel like it needs to be more than that
[794.82s -> 808.26s]  I need more water than this. Can you guys like hear this sounds actually doesn't even look that bad
[808.26s -> 815.49s]  I need more water but not that much because I don't want to be too runny. All right, I go like that
[817.92s -> 825.70s]  Little bit more just one more. There we go. Okay, good. Stop. Stop. Stop. I'm not gonna fucking spill it
[825.70s -> 837.27s]  All right. That's a good consistency. How is this gonna make a pizza? This is one
[837.27s -> 843.89s]  This is one spoonful of baby food. This is not a where's the pizza? This is gonna go on a pizza
[843.97s -> 859.15s]  How how big is this pizza? Okay. Well, this seems to be that's mixed up pretty well
[859.39s -> 866.56s]  No, no, no, no, no do not drop that in here. Oh can't I can't do that. That looks pretty good, right?
[866.60s -> 875.24s]  Would you say powdered pizza? That's what the yeah, I know guys if you ever had what is how's my hair?
[875.24s -> 878.12s]  I got I had a quarantine haircut. Kim gave one to me
[879.43s -> 885.89s]  Have you guys have had the Lunchables pizza? It's disgusting. I know remember that lunchables has nothing to do with this dream
[885.89s -> 890.87s]  I just give my opinions on some products. These are my personal opinions. They don't have nothing to do with this dream
[890.87s -> 892.87s]  I think they're gross and
[893.51s -> 897.31s]  This is kind of what it is. It's just looks like this. All right, this is gonna start to solidify
[898.03s -> 906.44s]  Okay, okay now make the cheese pour one garlic herb cheese mix and water into a bowl and stir the mix with a spoon and
[906.44s -> 913.10s]  Set it aside for later. Oh shit. I gotta get some more bowls. I have like five bowls. All right set that aside
[913.10s -> 922.90s]  We don't need that right now. Okay, make the cheese one garlap garlet the ferv. I can't even read garlic herb cheese
[922.90s -> 927.08s]  No, don't pour it into here. Oh, this is gonna be so bad
[927.28s -> 933.65s]  You guys don't understand the the bowls just keep increasing in size. This is the smallest bowl
[933.69s -> 936.41s]  I have the next one up is like this big
[936.41s -> 943.02s]  It's gonna be just like spread like a thin layer on the edges of it is it's gonna be bad use a sink
[943.06s -> 955.92s]  I'm not gonna make this into sink. No, this is this is like clean water and I'm not I'm not gonna make this in the sink
[955.92s -> 961.50s]  How am I supposed to get all this equipment into the sink? How am I supposed to do that? Use the bathtub?
[961.74s -> 969.66s]  No, I'm here we go garlic herb cheese mix and then just a little bit of water, right?
[969.66s -> 977.48s]  Okay, I gotta I gotta wipe that off. Wait, wait, did you see my jaw my jaw?
[977.48s -> 988.87s]  I just like snapped I pogged so hard. I took broke my jaw. What the fuck? Okay, this is what you're supposed to use
[988.87s -> 991.47s]  All right. All right garlic herb cheese mix
[995.51s -> 1002.66s]  Cocaine you know what I'll be honest with you. I gotta be completely real here
[1002.70s -> 1008.38s]  This smells like the shit that they sprinkle on the Pizza Hut pizza and I kind of like it
[1008.38s -> 1011.21s]  I actually don't even think I want to I don't think I want to add water to this
[1011.21s -> 1016.35s]  I kind of think I want to keep it like this, right?
[1016.35s -> 1019.11s]  Why would I want to add water to this is it gonna turn is it gonna turn?
[1019.11s -> 1019.91s]  Okay, hold on
[1019.91s -> 1026.36s]  Is it gonna turn orange is that'll turn me off forever if it turns orange when how much water do I need?
[1026.44s -> 1046.41s]  Half one and a half teaspoons of water. Okay, I'm just gonna look this is I this there's only so much sauce
[1046.41s -> 1051.15s]  There's such a little amount of sauce that I don't want to waste it all and I don't want to eat it
[1051.15s -> 1055.39s]  I don't want I don't want to go like this. Mmm, cuz I don't I'll probably throw up by the way
[1055.39s -> 1057.39s]  And just in case I throw up. I just want everyone to know
[1059.08s -> 1063.88s]  I've got a fucking trash bag over here. So I just like put my head in the trash bag puke in here
[1064.12s -> 1066.12s]  That's the goal and it'll work
[1066.24s -> 1073.82s]  I'm just gonna like wrap it up and puke it off camera and like turn mute the microphone. Oh my god
[1073.82s -> 1100.88s]  Don't say puke. Okay, one and a half teaspoons. We're gonna do it slowly. This is not enough water
[1100.88s -> 1107.36s]  Oh, wait a minute. This is like turning into like blue cheese. Oh
[1113.84s -> 1123.57s]  That's cottage cheese. Don't say cottage cheese. Don't say cottage cheese
[1123.61s -> 1133.03s]  I think it's supposed to look like this. It's supposed to be like pretend to be cheese, right?
[1133.07s -> 1137.96s]  This is gonna be sprinkled on top. This thing's gonna burn. I think is this gonna light on fire
[1138.24s -> 1144.28s]  No, why would this thing is made for eight-year-olds? Why would it be like that? Okay, this is good. That looks pretty good
[1144.28s -> 1151.45s]  Right. What do you guys think scrambled eggs like the okay scrambled eggs
[1151.55s -> 1156.11s]  But the very end of the scrambled eggs after you scramble the fuck out of them and you're done the shit
[1156.11s -> 1161.82s]  That's left like in the pan. That's all around the sides and shit. Don't why am I saying this? Okay
[1161.82s -> 1168.24s]  Now what make the cheese make the glaze
[1168.72s -> 1175.37s]  Pour one egg wash mix and two tablespoons of water into a bowl stir the mixture with a spoon and set it aside
[1175.37s -> 1183.04s]  How much bullshit am I gonna have to fucking to use all this just for this tiny little like iPhone case?
[1183.20s -> 1189.25s]  Hold on get that out of the way. I'm gonna have to fucking wipe that down
[1189.61s -> 1195.82s]  All right. Next is the is the glaze egg wash. I gotta get the balls
[1195.82s -> 1198.42s]  Just are gonna keep getting more and more comically oversized
[1200.10s -> 1303.04s]  I'm the only fucking idiot on earth that gets a children's toy
[1303.48s -> 1318.83s]  And gets bulls designed to make food for like 10 people keep getting bigger burn out of room
[1318.83s -> 1322.21s]  All right, I don't need the lids then he's gonna go rotten or what?
[1322.21s -> 1333.20s]  How come I do an egg wash? Oh, I gotta make sure these eggs stay fresh
[1333.20s -> 1345.60s]  I got it. All right clean as you clean as you go, right clean as you go
[1345.60s -> 1348.84s]  I'm not gonna make a fucking mess. You know, I mean clean as you go
[1351.15s -> 1353.71s]  my puke bag
[1354.03s -> 1360.76s]  And the best thing about this is like if I want to spit something up if I want to like spit out what I have
[1360.76s -> 1362.68s]  Like I said, I just I just wrap my head around this
[1362.68s -> 1367.04s]  You don't even know what happened and I just like let it feel like just worm out of my mouth
[1367.04s -> 1369.80s]  You won't even know what happened
[1369.80s -> 1377.05s]  Like I can literally just go like that and just go and you won't even know what's next egg wash
[1377.33s -> 1388.20s]  Egg wash and two tablespoons of water. This is egg wash, right? This is yellow
[1388.20s -> 1394.77s]  I hate the smell of eggs like a raw egg is
[1395.86s -> 1397.86s]  Enough to drive me crazy
[1397.90s -> 1405.68s]  Do you guys hate that too us of raw egg has a very distinct gross smell and I don't I don't like it
[1405.68s -> 1419.74s]  So what I was saying before, you know
[1419.74s -> 1424.85s]  When like when I was setting this all up and I was like, you know
[1424.85s -> 1426.61s]  Getting the cameras ready and getting like getting you know
[1426.61s -> 1428.01s]  Going to the beach and getting to the fucking beach
[1428.01s -> 1431.57s]  I was just like looking at the table and over the other setup and everything
[1431.57s -> 1440.80s]  I just said kind of under my breath. What the fuck am I doing this eating sand?
[1441.36s -> 1451.64s]  It does kind of look like sand. All right, I got a this is just broke
[1451.72s -> 1462.90s]  It's just fucking broke and it just broke. How am I supposed to I'm just gonna use my hands
[1462.90s -> 1468.48s]  It actually just broke it actually did look at look at this. It's a that's like a clean weird break
[1468.52s -> 1478.38s]  Can I put just push it back together? Okay. No, that's all right. I gotta get this
[1478.70s -> 1485.06s]  Okay, we're almost at the part where I make the dough get this out of my way
[1485.06s -> 1490.88s]  I need to like where's my where's my towels? Thank you
[1490.88s -> 1510.51s]  You know, I got to fill another one of these with water and just cuz this is not gonna work
[1510.75s -> 1523.65s]  Actually, it kind of is. Yeah, it's good. It's a really fucking matter. I should have got like ten to these tools
[1532.57s -> 1539.86s]  Somebody said this is cursed. Why it's it's an easy bake oven. What's wrong with this? What is it? Nothing wrong
[1542.18s -> 1544.44s]  It's contaminated it's not
[1545.02s -> 1552.96s]  Contaminated guys all this came from the same fucking factory. What do you mean contaminated?
[1552.96s -> 1562.08s]  This all came from the same conveyor belt in between in between like pushing out glue. This is the same factory
[1562.22s -> 1563.74s]  This is my opinion. There's a joke
[1563.74s -> 1567.42s]  I just want to make sure that you know that Hasbro had nothing to do with this and this is me making up a satire on
[1567.42s -> 1569.66s]  What could possibly be going on in a weird factory?
[1569.74s -> 1572.36s]  There's nothing to do with they'd have nothing to do with this and I have nothing to do with them
[1572.38s -> 1582.20s]  These are just my comedic opinions on things that aren't even real to joke and it's the satire
[1582.20s -> 1590.86s]  It's a parody of moment. Okay, what do I do water? How much water two tablespoons of water?
[1590.86s -> 1607.54s]  This is actually like fun though. Can I be honest? Is that too much water? What is this supposed to be?
[1607.54s -> 1613.02s]  What cut what kind of what do you do? What Pete's what do you do with pizza? This is what is this?
[1613.02s -> 1617.15s]  How is this a pizza? This is this is like dog puke
[1619.59s -> 1623.63s]  This is not I have to use the spoon. I know just get rid of the handle
[1623.67s -> 1640.72s]  Just get rid of the I get rid of the handle whatever if this still works. It's just annoying. Okay, what's what is that?
[1640.72s -> 1647.14s]  What's the FDA or the what FTC say about food being out for how long there's 20 minutes, right?
[1647.14s -> 1651.44s]  They use it like food can be sitting out before it starts to be like poison. What is it? Somebody knows it
[1651.46s -> 1671.24s]  That's this is this is not I don't like that. This is just to like make the dough look like it's cooked two minutes
[1671.24s -> 1680.62s]  I can't believe that thing just broke in my hand. That's unbelievable. Best part about this is because there's so little stuff
[1680.62s -> 1682.92s]  I've realistically just have to like wipe
[1683.26s -> 1688.71s]  Wipe wipe wipe and then just like to be ready for the next one because this is barely anything
[1688.75s -> 1696.74s]  All right, make them now. It's time to make the pizza. We need one pizza dough and one
[1704.22s -> 1708.86s]  Nothing like in there, right? Okay, we need one pizza dough mix and one tablespoon of water
[1708.86s -> 1723.25s]  There are two pizza dough mix is why spit spit you want me to spit in this no
[1723.45s -> 1739.15s]  I'm not spitting in this are you guys fucking crazy? Why are there two? Why are there two of these? Okay ports?
[1739.15s -> 1746.24s]  I'm whatever. I don't know why there's two you make two pizzas spit in it. I'm not gonna spit in this bowl
[1746.24s -> 1752.00s]  I'm not even I think I think that's like not even allowed on twitch. Can you spit on twitch is spitting allowed on twitch?
[1753.12s -> 1755.12s]  Can I like spit is that allowed?
[1757.26s -> 1764.01s]  Spit switch. Am I gonna get like banned for like spitting in this bowl? Oh water
[1764.23s -> 1778.76s]  I've been looking no, that's not a good transition there. Okay. Okay. I'm almost ready
[1778.96s -> 1795.36s]  How long does it take to cook six pizzas six split the dough into six pieces and what a small balls
[1795.68s -> 1803.00s]  How am I supposed to me? How do you what do you mean? Are they supposed to be like bagel bites? What is the oh?
[1804.16s -> 1813.16s]  Shit, they're supposed to be little bagel bites. I thought it was gonna be like a like a like a I don't know
[1813.16s -> 1821.11s]  I don't like like it's like a Sicilian style like a like a square or something. I don't know. Okay, let's go
[1821.11s -> 1824.32s]  This I have to start using my hands. Oh boy, how much?
[1825.00s -> 1837.99s]  One tablespoon of water that's way more than a tablespoon shit. It's okay. Okay use your hands
[1838.59s -> 1869.60s]  Stir and press the mixture together until you get dough with my hands. Where's that shitty little thing? This is not pizza dough
[1869.88s -> 1878.22s]  How is this pizza dough? It's ruined. I need more water. Wait, wait, wait, wait, wait, wait, wait
[1878.74s -> 1883.72s]  There's a hair in this. I can't use this anymore. I have to go to a new one
[1883.72s -> 1888.40s]  There's hair in here. Look, there's like a speck of something in there. Can you guys see in there?
[1888.60s -> 1898.19s]  Do you see the one speck of some kind of foreign debris? I can't even use this now. I hate that shit
[1898.23s -> 1902.72s]  I hate it. Okay, that's enough water. Put this book put this back down
[1902.76s -> 1907.65s]  Why did I have to do the complicated one first? This is definitely like the most complicated one
[1907.65s -> 1912.65s]  Why couldn't I just dump the brownie packet into the fucking ground and then just stir it up with my finger and put it in there?
[1912.65s -> 1928.14s]  That's what the next one's gonna be. This is not this is not pizza. This is not pizza dough. This is gonna be
[1928.66s -> 1933.62s]  Like crackers. This is the bottom of the Lay's potato chip bag
[1933.98s -> 1939.12s]  This is not this is the shit that you like dump out because it's not even edible
[1939.24s -> 1950.76s]  Yeah, and you think you get all cute you dump the fucking bag up and it goes half in here and like
[1951.46s -> 1955.70s]  75% go around and you crunch it it hits the floor and you like cut all around your teeth
[1955.70s -> 1969.50s]  I need more do I need more water somebody help him what use my hands
[1969.50s -> 1980.97s]  I'm not putting my fucking hands in this disgusting. I have to do I have to use my hands
[1980.97s -> 1988.94s]  I have to knead the dough. Okay, hold on. I
[1989.34s -> 1994.14s]  Okay, that thing started making weird noise
[1994.46s -> 1996.46s]  Where do I put this um
[1996.58s -> 2010.93s]  That's this just dough. Hold on. I need a like this, right? You go like like stand up for this
[2011.13s -> 2029.92s]  Why don't I just make one big pizza? Why do I have to make six more?
[2029.92s -> 2037.32s]  I need to you didn't have to do it. Just do it somebody somebody call OSHA. He didn't wash his hands
[2039.80s -> 2051.11s]  Okay, this is as good as it's gonna get like that. Okay. How are you supposed to make six?
[2051.43s -> 2060.75s]  This you don't make six out of this this is one this is smaller
[2060.75s -> 2073.11s]  I don't have to make a pizza. What does it say flatten each ball of dough?
[2073.11s -> 2106.68s]  Like a pancake and shape it into a circle. Okay, here we go. Is this too big? Holy fucking shit
[2106.76s -> 2114.16s]  Okay, but I gotta make it nice. All right, I'm doing like three
[2114.16s -> 2122.00s]  This is I feel like this is gonna bake into the pan and never come up like this is gonna be part of the pan
[2122.24s -> 2127.88s]  Okay, let's do another one. You don't have any oil. I
[2129.36s -> 2136.60s]  Didn't say I needed oil. I don't need oil. Do I use CBD oil?
[2136.60s -> 2150.46s]  I don't have CBD oil just spit on it. It's gotta be something I can butter
[2150.46s -> 2154.89s]  I do I thought it was all gonna be inside of the packages. I think it'll be alright
[2154.89s -> 2163.62s]  I think it's gonna be alright. Okay, here we go. I'll just I won't put it in there for that long go to the store. I
[2165.08s -> 2168.80s]  What do you want? Just leave the stream on well, I go to like a grocery store
[2169.32s -> 2174.96s]  Alright, how about this if this is a fucking disaster?
[2174.96s -> 2181.23s]  I'm going to like just go to a store and I'll put on like if the fucking I don't know put on like
[2181.31s -> 2195.23s]  Spongebob Squarepants OST. I'll be back unironically. Yes. Okay, here we go. Okay, I'm gonna do like two cuz this is just this is ridiculous
[2195.59s -> 2211.57s]  Take us with you. I know what taking you with me. How many fucking people are here?
[2211.57s -> 2219.63s]  I didn't they're like eleven fucking thousand people here. What are you doing here? What the hell are you doing here?
[2219.63s -> 2226.80s]  Why are you here right now? Oh my god shit. I gotta make this I gotta do this good
[2226.80s -> 2229.40s]  Then I can't just I can't believe I don't have any fucking cooking spray
[2229.40s -> 2235.48s]  Alright, I'm doing four the one thing that I fucking couldn't eat it. I didn't bring any of it
[2235.48s -> 2246.48s]  There's two packets. There's no way you make six out of this. No fucking way
[2246.48s -> 2254.45s]  In fact, how am I gonna even put like the sauce on here? This doesn't make any sense. It doesn't make any sense
[2254.45s -> 2264.82s]  I can't even fit this one on there. How small did they want you to make these? All right. Yeah. Oh, here we go
[2264.82s -> 2277.71s]  I'm ready on the next part. Oh, I ripped it in half, right use a pastry brush
[2278.31s -> 2290.66s]  To spread some glaze on top of the dough. What the eight-year-old has a pastry brush
[2290.78s -> 2305.78s]  It's it says you can use your finger. Okay, the glaze wait. This is like oil, right? Hold on
[2305.82s -> 2319.36s]  Wait, can I put this on the bottom too? This is like oil, isn't it? It's like a glaze. No, don't don't what do you mean?
[2319.36s -> 2331.52s]  No, why it's a it's like a it's like a glaze you're gonna burn it
[2331.52s -> 2353.39s]  No, am I didn't say that doesn't say could burn careful. I think that looks alright. Why would have this much glaze?
[2354.27s -> 2360.40s]  It smells
[2360.40s -> 2371.76s]  Okay, if I could like bring you here with me right now, this smells like it's like it's like it's like it's implanting me somewhere
[2371.76s -> 2375.08s]  Like I'm going somewhere right now. I'm like on a journey. I'm going to I'm going somewhere. Where am I going?
[2375.08s -> 2390.24s]  It's summertime. It's summertime. There's a hot dog vendor sausage vendor. Not hot dog toxic fumes. What? All right
[2390.24s -> 2394.11s]  Fuck. Never mind hot dog vendor sausage vendor
[2394.13s -> 2406.79s]  It's like the air the air that's coming off of the guy that makes those sausages that at the kiosk. Okay, that's good enough
[2407.19s -> 2426.20s]  This is fucking eight-year-olds. Yeah, right more like I'm just gonna wash my hands in here
[2426.20s -> 2438.82s]  I'm not gonna need the water anymore. Yeah, that makes sense. I'm gonna that's all right sausage sweat
[2439.24s -> 2443.86s]  Okay now spread the marinara sauce on top of the pizza
[2443.86s -> 2448.16s]  Be sure to save half the sauce for your second batch of pizzas. No, thanks
[2448.16s -> 2458.57s]  I think I think it's going in the trash. This trash is gonna smell so bad. Thank God
[2458.57s -> 2464.14s]  It's one of those like double ultra ones. All right, let's put the sauce on here. This is good for now
[2464.26s -> 2467.40s]  Okay, so sauce goes on top and
[2471.82s -> 2501.21s]  Can you see I did it? Right? That's what you do. You go you go middle out
[2501.49s -> 2520.50s]  What are those? What are those pastries that have like the raspberry filling in the middle?
[2520.58s -> 2527.94s]  What are those things called? You know talking about the little the cookies with the raspberry jam in the middle
[2528.08s -> 2535.37s]  That makes me want to eat those. I think this is too thick. I think that's the problem
[2535.37s -> 2544.58s]  How hot is it gonna get in there? I'm it's like freaking me out
[2544.58s -> 2549.43s]  I don't know why I feel like I'm gonna push that in there and like just like
[2550.35s -> 2567.49s]  Burger King commercial is gonna like be up the top here. I'm afraid of this. All right, that's enough sauce. That's enough sauce
[2567.49s -> 2574.74s]  That's enough sauce. That's a good amount of sauce. I think okay. I'm gonna put that in there now. Let's put the cheese on there
[2574.74s -> 2580.20s]  I think the cheese is supposed to not be solid
[2580.48s -> 2583.74s]  They're making it look like you can squeeze it out of a bag
[2586.30s -> 2591.10s]  Spoon the cheese into a plastic sandwich bag and cut a small hole in the corner squeeze out strings of cheese
[2591.74s -> 2608.03s]  Hey, hey, this is this is like they you this is like they do in the restaurants with that big glob of mozzarella
[2608.55s -> 2627.88s]  See and this is gonna spread out there. They are that I don't like a lot of cheese on my pizzas
[2627.88s -> 2634.64s]  How does that look? Can you see?
[2635.24s -> 2640.93s]  For some reason on the back of all the Ritz crackers boxes. This is what's on the back every single time
[2640.93s -> 2643.53s]  I don't know why I don't know who the fuck does that shit
[2643.53s -> 2648.45s]  I don't know who puts like sauce and like cheese and like Dorito powder on there. It's Ritz crackers
[2648.53s -> 2657.44s]  But I don't know why that they do that. All right now it's ready time to bake. All right bake for 12 minutes
[2658.00s -> 2665.24s]  12 fucking minutes. I thought this is gonna be like give 10 5
[2665.62s -> 2670.72s]  It's a twitch 12. All right. Now I gotta which way does it go in?
[2670.96s -> 2680.64s]  Okay, you go like this like this is the way it goes like that. How does it go?
[2680.64s -> 2699.26s]  I need to I need to know how this works. Look at the picture. No, it like goes in like oh, oh, yeah
[2699.66s -> 2702.21s]  The thing on top, okay, here we go
[2702.21s -> 2732.59s]  I think it's stuck in there what if I get stuck in there and I like have to pull it out of the wall
[2732.83s -> 2743.37s]  Is it in there timer timer? What time is it? I don't know ten minutes start the time
