[22.33s -> 23.53s]  Hey, what's up?
[178.54s -> 181.26s]  An amendment to the faq we saw a couple days ago
[182.30s -> 184.62s]  A lot of really good news with grotto beasts
[185.26s -> 193.67s]  I'm also going to show the box today. I'll make sure to show you what you're getting. There are some things missing from this box
[195.08s -> 196.78s]  because
[196.78s -> 198.06s]  They were
[198.06s -> 202.81s]  Yeah, I didn't mind out of the grotto beast group chat is gonna be mad at me if I say anything else
[205.11s -> 209.19s]  Yeah, some things are missing from this box. I just want to give you a basic idea of what you're what you can expect
[213.67s -> 220.07s]  But that's the plan
[220.07s -> 221.91s]  That's the plan for today
[221.91s -> 228.33s]  No, this is by the this is not an unboxing. This is not an unboxing. This is essentially
[229.37s -> 231.37s]  These are printing samples
[231.91s -> 233.43s]  Is what these are
[233.43s -> 235.43s]  Because everything is still in production right now
[235.91s -> 238.79s]  So these are printing samples just want to show you what you're planning on getting
[245.19s -> 250.47s]  No, there's no i'm not gonna be there's no pack openings. That's not i'm just this is these are printing samples for you to see
[250.55s -> 258.94s]  What is being printed?
[258.94s -> 260.70s]  Unbox, please
[260.70s -> 262.70s]  It doesn't exist. I'm telling you
[264.20s -> 268.20s]  All right, but anyways very excited. It's been going incredibly well
[269.42s -> 274.62s]  Everybody on the grotto beast team is is completely blown away. It's been more than we ever thought
[275.34s -> 276.30s]  so
[276.30s -> 277.90s]  People go over it all
[277.90s -> 281.66s]  But I want to obviously not do it immediately i'm gonna do the same thing like we did a few days ago
[281.66s -> 283.58s]  I'm gonna play hylix for a little bit
[283.58s -> 287.35s]  And then we'll move into that
[287.35s -> 289.35s]  So let's go you guys ready
[290.62s -> 292.62s]  Heard this game is a little weird
[293.51s -> 301.11s]  But let's uh, let's just chill and play it gonna be kind of a chill stream today. I really well besides maybe the grotto beast stuff
[302.09s -> 302.81s]  but
[302.81s -> 304.81s]  Uh, I kind of want to just relax
[304.81s -> 311.42s]  That's what we're gonna do
[311.42s -> 313.43s]  Let's see what we got here
[313.43s -> 320.41s]  There it is. I wonder how loud this game is gonna be
[322.49s -> 324.17s]  I gotta get comfortable
[324.17s -> 330.70s]  I gotta get comfortable
[330.70s -> 333.00s]  I think it's arrow keys
[333.00s -> 335.08s]  Yeah, i'm not comfy right now. This is a
[335.62s -> 337.35s]  Bullshit
[337.35s -> 341.19s]  There we go. All right, let's get started
[342.82s -> 345.03s]  Here we go
[345.03s -> 346.39s]  cool
[346.39s -> 348.60s]  hylix
[348.60s -> 351.35s]  If you want me to explain what this game is
[351.43s -> 358.07s]  Um, I don't I have no idea. All I know is that it's a it's a game. Let's go
[372.78s -> 374.44s]  psychic land
[374.44s -> 388.92s]  Miraculously purifies the chemicals people hark out of a field. It is a chemical below a product. It is a memory
[389.32s -> 393.46s]  beside truth
[393.46s -> 395.46s]  Meanwhile, give me king of the moon
[396.02s -> 397.78s]  Works a engine
[397.78s -> 410.16s]  Beside the shrunken vessel memory the title what you guys are gonna get me in trouble
[411.12s -> 418.40s]  Thus your story begins act one. Okay
[421.62s -> 444.55s]  Interesting, so it's arrow keys or wsd. Yeah arrow keys interesting. All right, so this is a different character
[444.79s -> 474.37s]  It's your life savings. You got 53 bucks 53 bucks. It's not that's not a lot. Meow. Is that cat learned?
[475.09s -> 475.79s]  a
[475.79s -> 477.79s]  Blative hollow
[477.81s -> 493.88s]  Pleather what did I learn? This is a horror game. I don't think it's a horror game
[493.88s -> 501.01s]  I think it's more of a surreal experience learned a blative hollow leather
[501.25s -> 515.01s]  So you're gonna people are gonna be like, oh wow. Yeah, he what is that? I think it just makes noise
[518.58s -> 528.80s]  Outside you accidentally crushed it. Oh shit. Oops trash can lid was found. Okay, I got a trash can lid
[529.12s -> 546.88s]  But yeah, I want to go upstairs bugs. Those buzz. It's buzz. Maybe you should bathe
[547.36s -> 558.29s]  Okay, your flesh and will were restored toilet paper was found. Okay, cool. I got toilet paper warm burrito was found
[558.61s -> 567.65s]  Let's wait what you sure that's what that is. I don't I don't
[568.21s -> 574.76s]  Yeah, I don't know about that one. I don't know about that one. That's fucking gross
[575.16s -> 583.04s]  All right. Do I have a okay? Hold on. Yeah, I did as you see I did just want to make sure that I could capture this game
[583.04s -> 586.53s]  So I did open it for like two minutes. I didn't do anything
[586.53s -> 591.84s]  I didn't touch anything but we can just save over this. There we go
[594.98s -> 602.52s]  Things warm burrito plus one revives dead and restores 50 flesh. Okay
[603.62s -> 615.51s]  Instruments outfits can be worn. Wait, I can I can wear this. These are items. Okay, that's cool get dressed
[615.83s -> 626.80s]  Okay, trash can lid and toilet paper. Is that doing anything?
[626.88s -> 651.38s]  For me, I have a pistol a trash can lid and toilet paper. I'm ready chip chip chip
[656.16s -> 657.68s]  Oh, yeah
[657.68s -> 664.50s]  More this is animals acquired a vegetable. Ooh, okay
[664.98s -> 679.12s]  Can I take them all I think I can this is bad. This is bad. I'm not be doing this
[679.36s -> 693.70s]  This is just kind of like a garden like a vegetable garden or something things. Oh shit. I have 13 vegetables
[694.02s -> 708.39s]  50% of flesh and removes a negative status. Okay. Well, actually it is a good thing to have a weird house
[708.63s -> 723.20s]  Okay, hold on. What about back here? He's finally playing it. I know a lot of people were waiting for this
[723.44s -> 730.96s]  All right, who are you for the northeast is the juicy city of bang refrit?
[731.46s -> 739.84s]  May its apparel endure a thousand years inside correct fire, but far beyond government
[740.08s -> 741.30s]  What doth
[741.30s -> 750.24s]  Deli kitley remember our sustenance of field to the northeast is the forbidden city of azul
[750.62s -> 767.08s]  Nurpan may its vacuum endure that what's going on change the soundtrack. Is this guy just dancing in here?
[768.87s -> 775.49s]  Wait, how do I get out of here? Oh, I like this song. Oh, it's just random. Okay, it's random text generation
[775.57s -> 793.28s]  That's funny. I don't want to miss any easter eggs. Whoa. Okay, where do I go?
[793.60s -> 810.15s]  Also nor upon the forbidden city actualize despite another crystal extrudes below her sound not below her product
[810.39s -> 823.75s]  Everybody's so weird remarkably falsify burning extra eyes. He considers it near a high lick memory
[824.15s -> 829.96s]  What is high lick ahead lies mount morn footh?
[830.36s -> 845.80s]  Beware of the wicked cone cultists all these things talk welcome to azul norpan the forbidden city
[845.88s -> 852.00s]  I grow the insects chest over here. There's a stick of dynamite in the box. Of course you take it
[852.08s -> 874.63s]  Yep, hold on. What about over here and go up here pardoned fate. He was pleasantly smearing another wheels
[875.54s -> 892.58s]  Cavity. Oh what you want to use the tub? It's going to be 25 bucks. No, thank you. You stink
[895.80s -> 900.05s]  No, i'm not spending that I like this letter
[900.21s -> 913.84s]  So do I need to talk to anybody like should I be talking to anyone or is it just kind of just random nonsense?
[914.08s -> 919.22s]  You can learn special abilities from the televisions which are scattered throughout this realm. Ah
[919.94s -> 927.97s]  Sorry, I did that already. I got one when fighting a flesh stash
[928.45s -> 931.81s]  You must attack then rest and then guard lest you suffer the creatures
[932.39s -> 939.32s]  Really the night pawn gorma is said to be immune to the deadly touch of ambulant skulls
[939.64s -> 942.42s]  He resides on an island of the west behind a sealed door
[942.74s -> 954.92s]  My armors will raise your maximum flesh points some have additional bonuses behold their magnificence
[955.32s -> 967.75s]  Torso should I buy one of these is it worth getting some of the stuff looks like it can take about one or two hits
[967.83s -> 972.64s]  And then it's gone
[972.64s -> 977.49s]  3 000 bucks. What the hell are you talking about? You only have 53 bucks. Yeah
[978.26s -> 985.32s]  Uh, no, I don't want it. It's too expensive
[993.97s -> 1003.49s]  Please speak at me over the counter. Oh, sorry. You heard about our bleak cellophane
[1003.73s -> 1011.03s]  Quick describes this as a milspec bio mod allows wearer to wield two weapons
[1011.27s -> 1016.68s]  Formed into a nugget for easy portability 20% of wearers normal attacks inflict poison
[1016.84s -> 1027.22s]  Okay, so it's a bunch of okay. This is a bunch of like status armor. Oh wait television television
[1027.78s -> 1033.20s]  Microwaves of yeah, you don't have frozen. Yeah, I do. Oh, no, that was a toilet burrito
[1033.52s -> 1039.41s]  Frozen burritos can be effective projectiles feel safe when you walk outside
[1040.96s -> 1056.29s]  Oh what 50 50 bucks nice title, dude. I didn't make the title. My title is really boring and plain
[1061.35s -> 1071.44s]  Uh, should I was there another way to go? I had a perfectly plain title. It was plain
[1071.68s -> 1083.78s]  Let me ask you something when you get a bagel do you get a plain bagel does it have to be something wacky?
[1086.64s -> 1090.96s]  When was the last time you had a plain bagel just a plain just regular bagel
[1091.20s -> 1095.89s]  I feel like to me it's got to be there's got to be something on it everything bagel
[1096.45s -> 1104.88s]  Seeds, you know like cheese on it and stuff like that, you know, they bake them with stuff in it
[1105.04s -> 1110.13s]  I'd like a plain bagel, but I don't think i've had one in a long time. It's usually like an everything bagel onion bagel
[1110.13s -> 1115.54s]  Yep, onion bagel everything bagel is what I buy. I don't buy plain bagels. It's kind of interesting
[1118.18s -> 1119.54s]  All right, so I did that
[1119.54s -> 1123.19s]  I've seen this need an instrument
[1123.59s -> 1132.80s]  I buy this I buy the bat i'm gonna buy it. I don't care. It's probably stupid
[1133.04s -> 1151.92s]  People can be really mad at me about it. There we go. So they're wait. This is like I have weapons and items
[1160.76s -> 1167.97s]  Shrish found meat. Yeah, that trash man
[1170.37s -> 1174.13s]  Those of you that have been around for a long time. Do you remember that was a sub sound for a while?
[1174.45s -> 1181.92s]  That was one of my favorites. Yeah
[1182.00s -> 1186.42s]  The trash man
[1186.42s -> 1190.29s]  Okay, let's go. Wait, I didn't go in here. You're the bug guy, right?
[1190.77s -> 1196.93s]  She's more beast than prison now. Did I go in here? Yes. All right, so let me leave
[1197.01s -> 1207.72s]  I got what I wanted. Let's explore the rest of this place the bird sound
[1208.20s -> 1213.40s]  You know the bird sound I actually am sad that I did because a sub sound is like, okay
[1213.48s -> 1215.48s]  everybody pause for a second the
[1215.96s -> 1219.91s]  We're gonna the funny line is gonna be said the bird sound
[1220.55s -> 1226.90s]  Ruined old streams because it was just noise that just would happen randomly instead of it being like
[1227.38s -> 1232.66s]  I'm in the middle of saying something or talking. It's oh, hey guys. And by the way, here's what we're what
[1234.26s -> 1237.70s]  The trash man everybody stops and we just listen to it for a second
[1238.02s -> 1242.58s]  But eventually it got to a point where it was so in the background
[1243.36s -> 1246.00s]  That you would just randomly talking over me would be like
[1250.18s -> 1257.73s]  I've gone back and watched old vods and gone. Oh, but turn that off. Okay, so I looked at that
[1257.81s -> 1259.09s]  Let's look at this
[1259.09s -> 1279.59s]  Can I go that way? Whoa, can I not leave yet? Can we just listen to this for a second? You watch yourself?
[1280.88s -> 1284.08s]  No, but sometimes I'll go back and just check on old vods and stuff
[1284.08s -> 1287.60s]  You know, you never know. I just want to know I want to see if what kind of
[1289.43s -> 1293.43s]  Something interesting too is I've been doing this for like 12 13 years now
[1293.59s -> 1298.31s]  That's kind of interesting sometimes just to go back and be like what was I like like five years ago two years ago
[1298.39s -> 1300.39s]  Eight years ago interesting sometimes
[1300.95s -> 1309.67s]  So looking at old photos. I mean, I don't do this that often
[1309.99s -> 1313.78s]  This is maybe like once every maybe like once every year or two
[1313.86s -> 1326.56s]  I'll go back and look at some stuff interesting and we've done this on stream before. What do you mean?
[1327.34s -> 1348.96s]  Mysterious tower do not touch the ambulant skulls or you will die to initiate warp make contact with the central node
[1349.18s -> 1361.36s]  Unauthorized access is discouraged. Thank you for understanding. Am I gonna fight mirror delusions may rock this sort of chemical
[1366.53s -> 1370.13s]  Warp access is currently infested creature spirit the dotted red line
[1370.37s -> 1380.20s]  It will not cross it. Enjoy your time in the warp access like a safe zone. What does it go? Are these enemies?
[1383.46s -> 1389.76s]  These are enemies
[1389.76s -> 1411.27s]  Okay. Whoa. Oh my god. I'm gonna die. How do I run? How do I run? I'm gonna die
[1411.43s -> 1413.99s]  I think i'm gonna die right now. When's the last time I saved the game? How do I run?
[1414.31s -> 1419.88s]  I haven't saved the game in like 20 30 minutes. How do I run? You can't am I in trouble?
[1420.12s -> 1435.46s]  Wait, I could eat a bunch of vegetables. Is that am I all right?
[1435.78s -> 1451.36s]  Should I just you can't run should I just eat vegetables and just make it happen? Wayne was slain
[1454.02s -> 1470.32s]  What what the hell just happened? So this is the afterlife feel free to crash on the couch
[1470.72s -> 1478.64s]  You can use the machine over there to convert any meat you found into flesh points
[1478.96s -> 1487.41s]  I have a meat deposited one meat into the grinder your maximum flesh point rose, too
[1487.65s -> 1501.86s]  That's cool. And these are fast travel points. I get it. But where am I?
[1502.18s -> 1524.36s]  Where did I end up hot dog was found creepy. You can build sand castles on the beach. Try using the space bar
[1528.71s -> 1531.78s]  What oh cool
[1531.86s -> 1553.25s]  All right, hold on. I don't care if this takes me like half an hour. Oh, sorry nice
[1567.08s -> 1586.00s]  No, I want I want just like yeah like that. There you go. That's not bad toss fish into the ocean
[1587.03s -> 1609.28s]  No, okay. Well, uh, yeah, maybe maybe you belong in there. You all right?
[1609.52s -> 1617.25s]  I I didn't know this was I thought this could have been poisoned for all I know
[1617.49s -> 1630.80s]  I think I can hear a tv set behind this wall if I had dynamite I could put
[1631.76s -> 1656.68s]  This is where you learn abilities learned calibration. I love this game. Hilux 2 is also really good
[1660.44s -> 1672.29s]  No, i'm into it. I'm into it for sure powers. Okay guards and heals 30 percent temporarily increases in mightiness
[1674.98s -> 1699.52s]  Very cool. Let me actually save it though, bro. Are you high? Wait, what are you doing back out here? Are you drunk?
[1699.84s -> 1708.69s]  No, like I told you for the last like couple of years the last like a year and a half two years
[1708.77s -> 1710.13s]  I have not at all
[1710.13s -> 1715.03s]  It's just it's just I have such attention problems in the first place
[1716.07s -> 1719.83s]  That it became really clear that I was just fucking myself up so bad
[1719.91s -> 1726.39s]  Even when not even just like taking a little sometimes so it's just like no no, not anymore
[1726.71s -> 1742.04s]  Not anymore. Can I throw these into the ocean? Wait rest on the couch take a nap?
[1742.12s -> 1744.12s]  Yeah, take a nap on the couch. I'm just probably full heel
[1744.12s -> 1753.38s]  I'm with the lilies floats the moth the mole along his galleries goeth in the dark earth. Okay, so that's a full heel
[1756.93s -> 1766.08s]  Responsible germa. Yeah, I mean, I don't know such an active crystal to tether the portal
[1771.57s -> 1781.12s]  Oh, this is where I'd be teleporting to. All right, let's go to the orange one. Very cool. All right this game
[1781.68s -> 1803.35s]  Just leveled up it and me caring about it juice box. This is back in the city, but I didn't have the juice box
[1803.59s -> 1814.34s]  All right. So this so this is like the town with the shops. This is my house
[1814.74s -> 1820.10s]  This is a some kind of monument or tower or something. This was where I got killed
[1820.42s -> 1834.77s]  So where do I go from here? Go back to that other place and just try not to die or try to avoid don't fight anything
[1834.93s -> 1848.12s]  Just avoid stuff. Yeah
[1848.68s -> 1875.68s]  So many of them access warp where we going oh god, what's this thing? I want a paper cup. What is that?
[1876.08s -> 1897.28s]  Well, I know what a paper cup is. But what is that fucking brain mysterious glyphs and vegetal motifs adorned?
[1897.68s -> 1919.38s]  So this is a key. Okay. Oh dear. I'm kind of scared about where I am right now
[1921.22s -> 1932.47s]  If I touch these is it a fight? I'm afraid I don't want to touch anything. Oh, no
[1932.47s -> 1947.12s]  Okay, good somebody's house over here. It is somebody's house. You got a lot of money in there
[1949.03s -> 1955.48s]  All right. Do you want a paper cup? Um, this vault is off limits, please go away. Thank you in advance for your cooperation
[1958.16s -> 1968.12s]  It's like i'm gonna have to destroy you if you don't leave you made me do this
[1969.22s -> 1986.69s]  Most delay day I summon thee. Holy shit. Oh, yeah
[1987.25s -> 1990.72s]  Yes
[1990.72s -> 1995.75s]  That's weird
[1995.75s -> 1996.95s]  Everybody missed
[1996.95s -> 2005.46s]  22
[2005.46s -> 2010.80s]  Oh, all right. I'm gonna reload. I'm gonna reload. I just want to see what happened. I just want to see what happened
[2010.88s -> 2030.15s]  I'm reloading. I won't I promise I won't save scum. Uh, how do I oh I can't save scum. Yeah
[2030.71s -> 2038.12s]  Dying. Okay, you're supposed to very I get it. I get it
[2038.28s -> 2051.24s]  But I want to I want to go back there. Okay, does the yoinkies flunky
[2051.56s -> 2060.53s]  I think that's a that's not quite that plus the yoinkies flunky is something I I you guys gave that term
[2061.30s -> 2066.10s]  To a little thing I did on the dollhouse stream. I mean that wasn't a dance
[2066.18s -> 2075.22s]  That was just you guys called it that so I mean, is that really a dance? I said it
[2075.54s -> 2089.09s]  Did I make that up? No, I didn't. All right. So I think I think I saw everything I need to see here
[2089.09s -> 2097.48s]  Let me see. What about the pick? Can I take the paper cup anywhere here? I feel like I might be able to
[2097.48s -> 2116.53s]  What about can I go that way like up there? How do I get down there? All right, I gotta find a way up there
[2141.32s -> 2167.96s]  Get out of the way cult permits nothing to leave mournful in this way. They hope to promote a reverse erosion. What's this stuff?
[2174.03s -> 2179.06s]  Everybody's hitting the yoinkies flunky. Oh, this is mount mournful
[2182.76s -> 2197.28s]  These enemies holy shit. There's a lot of money 50 bucks
[2199.20s -> 2211.88s]  Does this have controller support? Can I plug my controller in and move or no? No, okay doubt it
[2211.96s -> 2219.27s]  What about this?
[2219.27s -> 2239.00s]  So should I just be avoiding enemies because i'm not strong enough just collecting money. Oh teleporter. Yes
[2239.40s -> 2251.76s]  What is going on in here? Is this tv? That's tv, isn't it? Is that not a tv sleep here?
[2252.00s -> 2276.87s]  Um paper cup if I sleep in here, what do I do with this? Is this a tv?
[2277.11s -> 2286.15s]  I don't think this is a tv the cup you found it. I'm an expert in the usage of the paper cup
[2286.39s -> 2293.96s]  Please allow me to accompany you one day. We may come across another artifact from the old times which will require the paper cup
[2295.56s -> 2302.80s]  Uh, okay magnificent. I will guide you when the time comes isn't a party member
[2310.77s -> 2343.48s]  What do you have dirk party member? Can you watch this tv? Where on earth are we now? What is this?
[2343.80s -> 2368.55s]  This is weird. What's the x for? Okay. Is that an enemy? I don't know. What's an enemy or a friend?
[2369.57s -> 2372.37s]  I am the sage of brains. I grant you my token
[2373.33s -> 2380.77s]  Got sage's token seek my siblings the sage of computers and the sage of death. It will also give you tokens
[2381.09s -> 2392.07s]  But therein lies the path to the enlightenment. Nice. This is the life. This is the life. I like the little birds. It's cute
[2392.15s -> 2398.42s]  I like them. All right, I feel like that's important
[2398.66s -> 2414.98s]  Should we use the paper cup here?
[2414.98s -> 2420.53s]  We can use a paper cup with this machine your companion places the paper cup into a recess on the front of the machine and
[2420.95s -> 2427.83s]  presses a small blue lever fluid flows from the reservoir into the paper cup you drink it and
[2428.23s -> 2440.02s]  Your will is permanently increased by 25 points. Oh hell. Yeah, very nice
[2441.80s -> 2455.65s]  Maybe we could uh, fuck some stuff up now. Do you think i'm strong enough? We got uh, two people here i'm going for it
[2460.39s -> 2482.64s]  Okay, we got attack cone cultist attack cone cultist. All right, I can I can do it. I love the snap. It's cool
[2482.96s -> 2503.91s]  What about um, I think i'm all right. All right wayne's crew was victorious 150 bucks who died
[2503.99s -> 2509.51s]  Oh, I thought it was wait. Can I like do anything with that? I think scary. I don't like that thing
[2509.75s -> 2530.26s]  All right. Do you have any special attacks panorama can confuse enemies? Let's try it. Okay confused. Oh shit
[2549.41s -> 2551.01s]  Use vegetable
[2551.01s -> 2557.09s]  That's cool looking
[2557.09s -> 2559.41s]  I think i'm all right. Yeah, let's kill
[2560.37s -> 2562.80s]  Take another uh vegetable
[2562.88s -> 2580.66s]  Good and clean it up
[2581.30s -> 2588.00s]  150 bucks frozen burrito meat meat meat
[2588.56s -> 2594.13s]  All right, easy. I don't want to I don't want to aggro that thing. All right. I'm good for now. I'm good for now
[2594.13s -> 2595.49s]  I don't I don't want to die
[2595.49s -> 2597.09s]  There's a tv right here
[2597.09s -> 2607.06s]  Get over here get over here
[2607.12s -> 2609.12s]  space shurikens
[2610.88s -> 2619.83s]  Cool this game looks neat. This game is pretty neat. I don't want to miss anything though. Hold on
[2627.03s -> 2645.70s]  Shit. All right. I don't want to get like collapsed on is that it? Okay. Yeah, that's it. I got a lot of money
[2645.78s -> 2654.85s]  I'm gonna go buy stuff. Oh, this is more money money money. You found 50
[2655.59s -> 2669.81s]  Money, make sure I don't miss it. Yep. See this is why it's kind of like a maze too. It's fun
[2670.05s -> 2683.32s]  If I aggro this thing am I dead dead dead like no like guaranteed. Oh fuck. I'm terrified of this thing
[2683.32s -> 2707.88s]  I don't know how strong it is 103 bucks. Damn. Uh, let's take out one more. Oh, what is that double damage and
[2709.33s -> 2714.32s]  vegetable to wain
[2714.32s -> 2738.79s]  44 colon statue that thing's got to go first. I think it's got a lot of health
[2739.59s -> 2752.05s]  I think we're all right
[2752.05s -> 2763.28s]  Yeah, we're good
[2763.28s -> 2771.30s]  175 meat meat a lot of meat for the uh, the meat grinder. He said it. Oh my god. He said it finally finally
[2773.67s -> 2775.67s]  clip clip that
[2776.23s -> 2777.91s]  Get that part
[2777.91s -> 2782.15s]  Drag forward to a timeline clip the end of that 12 seconds. Got it upload
[2782.79s -> 2801.62s]  Is there more money? I thought there was more money somewhere
[2806.82s -> 2834.34s]  Uh, i'm gonna have to fight. Okay. This is not great probably causes enemies to fall asleep. Um, let's try it. Damn it
[2834.82s -> 2836.45s]  Oh, no, we're good
[2836.45s -> 2841.83s]  Did they all fall asleep? Okay, two of them did
[2848.26s -> 2850.66s]  All right. We gotta we we gotta do some damage
[2852.64s -> 2854.71s]  calibration on you
[2854.71s -> 2857.72s]  and then you do
[2857.78s -> 2859.08s]  shurikens
[2859.08s -> 2863.48s]  Here it is. Oops. I don't know the I don't know the order. Oh, um, oops it is
[2864.36s -> 2871.64s]  Why they wait, they all got it. Wait, why did they all get it? They all got it. What just happened
[2872.72s -> 2875.88s]  They all just got it
[2875.88s -> 2882.98s]  Why did this do it to everybody?
[2882.98s -> 2885.30s]  They get it from okay. They got it from the statue. I was gonna say what?
[2887.67s -> 2890.36s]  Come on, man
[2890.36s -> 2892.36s]  Thankfully, two of them are still asleep
[2892.36s -> 2906.56s]  Juice box, right? Yeah
[2906.56s -> 2911.75s]  Cool. All right, they're asleep
[2914.79s -> 2916.79s]  Now I now that I have mightiness up
[2917.84s -> 2919.84s]  Let's do this
[2920.00s -> 2923.67s]  That's gonna be huge
[2923.67s -> 2925.67s]  54 damage right now get out of here
[2927.25s -> 2930.29s]  Oh that one was asleep. I'm an idiot. It's all right. I'll get it. I figured it out
[2931.01s -> 2941.96s]  I don't think I need to eat anything or I think i'm good
[2947.76s -> 2949.76s]  Backgrounds are really trippy. They're really crazy
[2954.79s -> 2956.44s]  All right
[2956.44s -> 2958.44s]  I think I want to go buy stuff
[2958.68s -> 2961.06s]  Is there anywhere I can go from here? Is it just that's it?
[2961.62s -> 2986.77s]  I think that's it. I did the paper cup here. I already got it. Yeah, I have a lot of money
[2986.85s -> 2996.12s]  I'm gonna go buy stuff. I want to watch this but the visuals are giving me a headache
[2996.52s -> 3000.74s]  Should there be something in the title? It just says like the you know, hey like
[3001.86s -> 3006.23s]  Visuals are like kind of trippy or something. Probably not a bad idea
[3006.71s -> 3015.54s]  I guess it's not too too bad, right? Not enough for like a warning
[3016.34s -> 3018.76s]  I don't know. What do you guys think?
[3018.76s -> 3033.41s]  Maybe like an eye strain warning
[3034.37s -> 3037.38s]  It's fine. It's fine. It's fine
[3040.21s -> 3042.45s]  It doesn't seem dangerous. No, I don't think so
[3045.54s -> 3046.90s]  eye strain
[3046.90s -> 3048.90s]  warning eye strain incoming
[3049.46s -> 3053.94s]  I said this actually is fine for me. I'm very sensitive to stuff like this and I've
[3054.42s -> 3070.48s]  Um, i've been okay
[3070.48s -> 3072.08s]  oops
[3072.08s -> 3074.44s]  I didn't mean to do what did I just do skip?
[3077.33s -> 3079.33s]  warning don't watch
[3084.37s -> 3085.65s]  Stop missing
[3085.65s -> 3088.08s]  Oh my god, we're gonna die
[3088.08s -> 3091.72s]  finally
[3091.72s -> 3095.56s]  Oh my god
[3095.56s -> 3097.56s]  Are we this oh wicked with blind?
[3099.48s -> 3101.00s]  Okay, well
[3101.00s -> 3112.07s]  You know something that removes this status effects, right?
[3124.15s -> 3128.28s]  Veggies do
[3128.28s -> 3130.28s]  I have a lot of money
[3131.19s -> 3170.90s]  We gotta go. I have like a couple at least two or three thousand bucks. Don't I? All right. What do you sell? Okay
[3171.52s -> 3174.66s]  turbo tendons
[3174.66s -> 3176.66s]  allows where to wield two weapons
[3177.99s -> 3184.52s]  20% of where's normal attacks inflict poison. Okay, so should should somebody have poison or is this too expensive for right now?
[3185.16s -> 3202.96s]  Get cellophane how many like two three? I don't want to spend that much. All right, i'll get two
[3209.30s -> 3212.90s]  This is i'm gonna get this so I want someone to have that
[3213.06s -> 3230.15s]  So this is this prevents blind and this is poison poison damage and then they no prevents blind set
[3230.15s -> 3258.76s]  That's actually huge right now anything else for me to purchase. There's another strap too in there. Yeah, what do you got l?
[3261.41s -> 3276.88s]  Giant metal dome apparel too large to be worn with any other armor. What does it do plus 50 plus 50 what armor?
[3282.37s -> 3284.36s]  I mean, that's pretty good
[3284.36s -> 3293.43s]  So but I can't wear this with anything else so I wouldn't be able to have this and the sunglasses on i'll get it
[3293.67s -> 3326.18s]  Okay, is that worth it? What is it? What stats is it increasing 30 30 everything looks the same
[3326.26s -> 3347.59s]  It's just an armor rating. Well, might as well give that to you. It's flesh slash health. Oh, okay
[3347.99s -> 3359.27s]  Oh that may okay. Look at 140 health. Holy smokes. That's a lot. My tortoise is watching this stream
[3359.51s -> 3372.90s]  She hates you but I think she likes the game. Okay, I think that's good
[3373.14s -> 3386.18s]  Can I where do I buy vegetables like i'm running out? Is there another there's another store here, right?
[3386.34s -> 3398.87s]  Or can you only get them from the garden? They grow infinitely. Oh that I was gonna say that makes sense
[3398.87s -> 3414.60s]  Um, um, um, somebody said that song was scratching their frontal lobe. I feel like I may have missed a secret or two here
[3427.59s -> 3432.32s]  Maybe I have trashcan
[3432.48s -> 3461.09s]  I already got it. Didn't I or is there another trash can? Oh there is 47 bucks in here. Check the tv again
[3464.10s -> 3490.04s]  Okay, something else. Um, all right now i'm pretty decked out now. I'm going to do that other stuff
