[3.32s -> 5.32s]  It's Spy. Spy.
[261.10s -> 263.85s]  All right, gentlemen. I'll be putting up a dispenser up here.
[263.85s -> 265.85s]  Don't worry.
[265.85s -> 267.85s]  Let me get this thing up here. Don't worry about that.
[267.85s -> 270.41s]  I'm just gonna get some stuff up here.
[270.41s -> 272.41s]  Barack Obama plays engineer.
[275.41s -> 279.38s]  So what's your favorite class, Barack?
[279.38s -> 285.90s]  So the thing is, let me be perfectly clear.
[285.90s -> 287.90s]  As the engineer, I want to give everybody a shot.
[287.90s -> 293.41s]  And, you know...
[293.41s -> 297.80s]  They're fucking spawn camping us.
[297.80s -> 300.55s]  I see that, yeah.
[300.55s -> 306.27s]  People love America. I have arms to solve your practical problems.
[306.27s -> 312.22s]  Actually, Barack Obama's voice kind of does fit on the engineer.
[312.22s -> 316.22s]  If you replace the engineer's voice with the Barack Obama lines...
[316.22s -> 318.90s]  How are you even back...
[318.90s -> 320.90s]  And you're telling me that wasn't a headshot.
[320.90s -> 326.17s]  I don't know what language in what world that's not headshots.
[326.17s -> 331.90s]  But I'll just die again for like a 50th time.
[331.90s -> 334.53s]  If I get an Uber, I'll give it to you.
[334.53s -> 338.53s]  If you give me that Uber, you're gonna be very sad.
[338.53s -> 340.53s]  Just gonna let you know.
[340.53s -> 343.98s]  If you give me that Uber, you are going to cry.
[343.98s -> 345.98s]  Oh, turn around. Holy crap.
[345.98s -> 348.22s]  Don't die.
[348.22s -> 350.53s]  Body shield. Sniper body shield.
[350.53s -> 352.53s]  Alright, you want to go meet people?
[352.53s -> 354.53s]  Wait, I'm gonna grab this health and that'll be it.
[354.53s -> 358.53s]  Alright, do you want to go like metaphorically and physically meet people?
[358.53s -> 360.53s]  Yes, let's do it.
[360.53s -> 362.53s]  Alright, we're gonna go meet the red team.
[362.53s -> 364.53s]  Oh, you actually have meat. Okay, let's go meet people.
[364.53s -> 366.53s]  Let's go meet some friends.
[366.53s -> 370.41s]  Alright, let's go meet this engineer and this whole team.
[370.41s -> 372.41s]  Meet the sniper!
[372.41s -> 374.71s]  Chop chop, mate.
[374.71s -> 376.71s]  Chop chop, mate.
[376.71s -> 377.71s]  Oh crap.
[377.71s -> 379.71s]  Hey, chop chop, mate.
[379.71s -> 384.19s]  Damn it.
[384.19s -> 386.43s]  Well, that's where I...
[386.43s -> 388.43s]  That was one of the better Ubers I've had recently.
[392.14s -> 394.14s]  We actually killed people that time.
[394.14s -> 396.14s]  We actually got a couple kills.
